,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,108.0900,108.2800,106.9400,106.9400,8849977,December,Friday,2017,JPM,-0.007885703683087563,5,12
1,7,2017-12-28,107.4000,107.8400,107.1601,107.7900,7428401,December,Thursday,2017,JPM,0.005316172355903819,4,12
2,8,2017-12-27,106.6700,107.2900,106.6700,107.2200,8816072,December,Wednesday,2017,JPM,0.0018688095683050162,3,12
3,9,2017-12-26,107.2000,107.9900,106.4000,107.0200,7383122,December,Tuesday,2017,JPM,-0.004001861330851622,2,12
4,10,2017-12-22,108.1300,108.4600,106.8050,107.4500,10017748,December,Friday,2017,JPM,-0.0035240656589074974,5,12
5,11,2017-12-21,106.6300,108.0700,106.5600,107.8300,12227285,December,Thursday,2017,JPM,0.015922366685509684,4,12
6,12,2017-12-20,107.6100,107.7305,106.0900,106.1400,12991794,December,Wednesday,2017,JPM,-0.0034738522204488267,3,12
7,13,2017-12-19,107.2900,107.4900,106.4400,106.5100,12026582,December,Tuesday,2017,JPM,-0.004207180254300567,2,12
8,14,2017-12-18,107.3100,107.6300,106.4800,106.9600,12633719,December,Monday,2017,JPM,0.00772564537403423,1,12
9,15,2017-12-15,105.7200,106.5200,105.2000,106.1400,29181431,December,Friday,2017,JPM,0.014141028090961245,5,12
10,16,2017-12-14,106.0150,106.4500,104.6400,104.6600,12981961,December,Thursday,2017,JPM,-0.008056108425741716,4,12
11,17,2017-12-13,106.7000,107.1100,105.4800,105.5100,14873861,December,Wednesday,2017,JPM,-0.01254094525035086,3,12
12,18,2017-12-12,105.9200,107.3700,105.5400,106.8500,13974084,December,Tuesday,2017,JPM,0.011645521681499618,2,12
13,19,2017-12-11,105.7200,106.0600,105.3100,105.6200,10542969,December,Monday,2017,JPM,-0.0029264608703861252,1,12
14,20,2017-12-08,105.0800,105.9400,104.3400,105.9300,13426210,December,Friday,2017,JPM,0.01252150640412925,5,12
15,21,2017-12-07,103.9500,105.1850,103.7300,104.6200,13352416,December,Thursday,2017,JPM,-0.002954350519393903,4,12
16,22,2017-12-06,105.4100,105.7600,104.5250,104.9300,15276021,December,Wednesday,2017,JPM,-0.007472569050321529,3,12
17,23,2017-12-05,107.1700,107.4100,104.1200,105.7200,17157120,December,Tuesday,2017,JPM,-0.011500701262272126,2,12
18,24,2017-12-04,107.7300,108.4000,106.7700,106.9500,23576608,December,Monday,2017,JPM,0.020612653879186912,1,12
19,25,2017-12-01,104.9000,105.3160,102.2000,104.7900,19683510,December,Friday,2017,JPM,0.0025832376578646217,5,12
20,26,2017-11-30,104.7400,106.6600,104.0400,104.5200,23945890,November,Thursday,2017,JPM,0.007615925961631081,4,11
21,27,2017-11-29,102.4100,104.2200,101.9600,103.7300,21105546,November,Wednesday,2017,JPM,0.02338200473559594,3,11
22,28,2017-11-28,98.2100,101.7000,97.9700,101.3600,16659336,November,Tuesday,2017,JPM,0.035025017869907,2,11
23,29,2017-11-27,98.3100,99.1300,97.9300,97.9300,10640797,November,Monday,2017,JPM,-0.0039666395443448575,1,11
24,30,2017-11-24,98.8300,98.9000,98.2600,98.3200,3680043,November,Friday,2017,JPM,-0.0032441200324412754,5,11
25,31,2017-11-22,99.0300,99.5239,98.5900,98.6400,7339392,November,Wednesday,2017,JPM,-0.0029313656120489866,3,11
26,32,2017-11-21,99.5000,99.5500,98.9100,98.9300,9754591,November,Tuesday,2017,JPM,-0.0008079991920007907,2,11
27,33,2017-11-20,98.4500,99.1450,97.7600,99.0100,9439004,November,Monday,2017,JPM,0.00886488689627068,1,11
28,34,2017-11-17,97.8200,98.4100,97.5700,98.1400,8989195,November,Friday,2017,JPM,-0.003351274499847652,5,11
29,35,2017-11-16,98.5300,99.0600,98.3100,98.4700,9766570,November,Thursday,2017,JPM,0.0028516142173337523,4,11
30,36,2017-11-15,96.3900,98.7400,95.9500,98.1900,15301763,November,Wednesday,2017,JPM,0.009458209108666616,3,11
31,37,2017-11-14,97.3400,97.7800,96.8500,97.2700,10011823,November,Tuesday,2017,JPM,-0.0060290210504803125,2,11
32,38,2017-11-13,96.6900,98.0500,96.6200,97.8600,9238254,November,Monday,2017,JPM,0.0035893754486718728,1,11
33,39,2017-11-10,97.8100,98.3400,97.5000,97.5100,9237057,November,Friday,2017,JPM,-0.0012291303902488,5,11
34,40,2017-11-09,97.1200,98.2150,96.8100,97.6300,13680076,November,Thursday,2017,JPM,-0.00010241704219587378,4,11
35,41,2017-11-08,98.2700,98.3700,97.1500,97.6400,18524671,November,Wednesday,2017,JPM,-0.011240506329113917,3,11
36,42,2017-11-07,100.5600,100.7500,98.2500,98.7500,15207594,November,Tuesday,2017,JPM,-0.020142885493153413,2,11
37,43,2017-11-06,101.3400,101.6874,100.6600,100.7800,8103382,November,Monday,2017,JPM,-0.006212405088255551,1,11
38,44,2017-11-03,101.1000,101.5250,100.7300,101.4100,7059798,November,Friday,2017,JPM,-0.001771827935820522,5,11
39,45,2017-11-02,100.8700,101.7650,100.1600,101.5900,8667658,November,Thursday,2017,JPM,0.006638921918351186,4,11
40,46,2017-11-01,101.1000,101.7000,100.7300,100.9200,8334064,November,Wednesday,2017,JPM,0.0030812046516251095,3,11
41,47,2017-10-31,101.3700,101.7000,100.5700,100.6100,8582219,October,Tuesday,2017,JPM,-0.007888768366038825,2,10
42,48,2017-10-30,101.1300,101.9300,100.8700,101.4100,8835379,October,Monday,2017,JPM,-0.0035373882283580567,1,10
43,49,2017-10-27,101.4300,102.2263,101.0500,101.7700,9854515,October,Friday,2017,JPM,0.0002948692746215956,5,10
44,50,2017-10-26,101.3500,102.4201,101.3200,101.7400,13044172,October,Thursday,2017,JPM,0.006927949326999095,4,10
45,51,2017-10-25,101.2500,101.4500,100.1900,101.0400,12852002,October,Wednesday,2017,JPM,0.0011890606420927917,3,10
46,52,2017-10-24,99.8800,101.1900,99.7600,100.9200,12867365,October,Tuesday,2017,JPM,0.015904972820616047,2,10
47,53,2017-10-23,99.5100,99.9900,99.2400,99.3400,9081984,October,Monday,2017,JPM,-0.001708371017988159,1,10
48,54,2017-10-20,99.2800,99.8900,98.7301,99.5100,15245764,October,Friday,2017,JPM,0.014269697278564935,5,10
49,55,2017-10-19,97.1900,98.2000,97.0900,98.1100,9131766,October,Thursday,2017,JPM,0.0012246147566078636,4,10
50,56,2017-10-18,98.1500,98.5500,97.6300,97.9900,9971531,October,Wednesday,2017,JPM,0.0037902069248103906,3,10
51,57,2017-10-17,98.0700,98.1790,97.3200,97.6200,10222345,October,Tuesday,2017,JPM,-0.0022485690923957366,2,10
52,58,2017-10-16,96.3400,97.9500,96.3400,97.8400,12390156,October,Monday,2017,JPM,0.020655122052993993,1,10
