,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,54.1200,54.1500,53.5800,53.5800,3931277,December,Friday,2017,USB,-0.006858202038925014,5,12
1,7,2017-12-28,53.9200,54.0100,53.7050,53.9500,3216021,December,Thursday,2017,USB,-0.0022193452931384768,4,12
2,8,2017-12-27,54.0900,54.2264,53.8950,54.0700,3682804,December,Wednesday,2017,USB,0.0011109053878911733,3,12
3,9,2017-12-26,54.4900,54.6700,53.8300,54.0100,2799110,December,Tuesday,2017,USB,-0.008262945280940192,2,12
4,10,2017-12-22,54.6600,54.8500,54.1500,54.4600,3786057,December,Friday,2017,USB,-0.0012836970474967959,5,12
5,11,2017-12-21,54.6900,54.8100,54.2550,54.5300,3880382,December,Thursday,2017,USB,0.004976041282712922,4,12
6,12,2017-12-20,55.0500,55.1800,54.0695,54.2600,5524145,December,Wednesday,2017,USB,-0.0054985337243402535,3,12
7,13,2017-12-19,55.0500,55.1300,54.5400,54.5600,5828074,December,Tuesday,2017,USB,-0.004016064257028091,2,12
8,14,2017-12-18,54.9800,55.1600,54.6500,54.7800,5284342,December,Monday,2017,USB,0.005137614678899103,1,12
9,15,2017-12-15,54.6000,54.9200,54.2300,54.5000,11020587,December,Friday,2017,USB,0.006463527239150535,5,12
10,16,2017-12-14,54.6300,54.8500,54.0800,54.1500,4452185,December,Thursday,2017,USB,-0.008241758241758294,4,12
11,17,2017-12-13,55.4400,55.6200,54.5700,54.6000,5000179,December,Wednesday,2017,USB,-0.01621621621621619,3,12
12,18,2017-12-12,54.6500,55.8100,54.6500,55.5000,6032051,December,Tuesday,2017,USB,0.004161389542247093,2,12
13,19,2017-12-11,55.2500,55.5800,55.1150,55.2700,3855865,December,Monday,2017,USB,-0.0016257225433525344,1,12
14,20,2017-12-08,55.1000,55.3600,54.5100,55.3600,4335749,December,Friday,2017,USB,0.008378870673952658,5,12
15,21,2017-12-07,54.3500,55.0800,54.2300,54.9000,4404379,December,Thursday,2017,USB,0.005678695731818926,4,12
16,22,2017-12-06,54.7400,55.0300,54.4250,54.5900,3806274,December,Wednesday,2017,USB,-0.004195549069682541,3,12
17,23,2017-12-05,55.6300,55.8000,54.6550,54.8200,6004108,December,Tuesday,2017,USB,-0.014560488944813989,2,12
18,24,2017-12-04,55.7700,56.4250,55.6300,55.6300,6470241,December,Monday,2017,USB,0.01329690346083796,1,12
