level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
1417,2018-01-05,185.5900,186.9000,184.9300,186.8500,13042388,January,Friday,2018,FB,0.013671133293549513
1416,2018-01-04,184.9000,186.2100,184.0996,184.3300,13554357,January,Thursday,2018,FB,-0.0018411220014077816
1415,2018-01-03,181.8800,184.7800,181.3300,184.6700,16595495,January,Wednesday,2018,FB,0.017914232168448903
1414,2018-01-02,177.6800,181.5800,177.5500,181.4200,17694891,January,Tuesday,2018,FB,0.02810835316785662
1413,2017-12-29,178.0000,178.8500,176.4600,176.4600,10028758,December,Friday,2017,FB,-0.008205935251798446
1412,2017-12-28,177.9500,178.9367,177.6800,177.9200,11008996,December,Thursday,2017,FB,0.001688998986600512
1411,2017-12-27,176.5500,178.4400,176.2600,177.6200,9296258,December,Wednesday,2017,FB,0.009261889880106799
1410,2017-12-26,176.6300,177.0000,174.6700,175.9900,8726829,December,Tuesday,2017,FB,-0.006828442437923136
1409,2017-12-22,177.1400,177.5300,176.2300,177.2000,8462491,December,Friday,2017,FB,-0.0014088475626937167
1408,2017-12-21,177.9400,178.6800,177.0500,177.4500,11050969,December,Thursday,2017,FB,-0.002473438641857315
1407,2017-12-20,179.8100,179.8100,177.3600,177.8900,11754823,December,Wednesday,2017,FB,-0.009024566876497157
1406,2017-12-19,179.9500,180.0800,178.2200,179.5100,14769239,December,Tuesday,2017,FB,-0.007244773808207069
1405,2017-12-18,181.0100,181.3000,179.7500,180.8200,17014337,December,Monday,2017,FB,0.003552003552003476
1404,2017-12-15,179.0200,180.4934,178.3600,180.1800,26225100,December,Friday,2017,FB,0.010034194741857842
1403,2017-12-14,178.2900,180.3601,177.6800,178.3900,13393757,December,Thursday,2017,FB,0.0005047672462141054
1402,2017-12-13,177.3000,179.1600,177.2500,178.3000,14406776,December,Wednesday,2017,FB,0.0075723327305605975
1401,2017-12-12,178.6000,179.1800,176.6000,176.9600,16675275,December,Tuesday,2017,FB,-0.011617515638963271
1400,2017-12-11,179.3000,180.2200,178.8000,179.0400,12630207,December,Monday,2017,FB,0.00022346368715079354
1399,2017-12-08,181.5300,182.2800,178.7401,179.0000,19377310,December,Friday,2017,FB,-0.006328411235705487
1398,2017-12-07,175.8000,180.3900,175.8000,180.1400,19588217,December,Thursday,2017,FB,0.023173917982505874
1397,2017-12-06,172.5000,176.7700,171.9000,176.0600,20059293,December,Wednesday,2017,FB,0.018688885031533816
1396,2017-12-05,170.4500,175.3800,169.0100,172.8300,20028656,December,Tuesday,2017,FB,0.00793141657432795
1395,2017-12-04,176.2900,176.5700,170.7900,171.4700,24184006,December,Monday,2017,FB,-0.020731010850942293
1394,2017-12-01,176.0300,177.4800,172.3400,175.1000,19966643,December,Friday,2017,FB,-0.011739473981262063
1393,2017-11-30,176.8500,178.2750,175.2000,177.1800,25127073,November,Thursday,2017,FB,0.01170559013304409
1392,2017-11-29,181.8900,181.9700,174.0000,175.1300,41843917,November,Wednesday,2017,FB,-0.039962723385593646
1391,2017-11-28,183.5100,184.2500,182.0900,182.4200,13761926,November,Tuesday,2017,FB,-0.003332786974812947
1390,2017-11-27,182.5600,183.7300,181.9900,183.0300,12249740,November,Monday,2017,FB,0.0013677645256592625
1389,2017-11-24,180.4000,183.1500,180.2900,182.7800,9426010,November,Friday,2017,FB,0.010560070769060632
1388,2017-11-22,181.3000,181.7300,180.4400,180.8700,10238140,November,Wednesday,2017,FB,-0.005443747937974316
1387,2017-11-21,179.1500,181.8900,178.9900,181.8600,14409305,November,Tuesday,2017,FB,0.017455521987244066
1386,2017-11-20,178.8700,179.5000,178.1000,178.7400,10052391,November,Monday,2017,FB,-0.001452513966480396
1385,2017-11-17,179.3000,179.9800,178.9000,179.0000,12722802,November,Friday,2017,FB,-0.0032852608719862097
1384,2017-11-16,178.7600,179.8300,178.5000,179.5900,15230062,November,Thursday,2017,FB,0.009216071930317588
1383,2017-11-15,176.6600,178.5700,176.4000,177.9500,10131051,November,Wednesday,2017,FB,-0.0006738922895490793
1382,2017-11-14,178.1300,178.9700,177.1800,178.0700,9465112,November,Tuesday,2017,FB,-0.003915645801868418
1381,2017-11-13,177.5000,179.0400,177.3000,178.7700,9431449,November,Monday,2017,FB,0.001737083940378809
1380,2017-11-10,178.3500,179.1000,177.9600,178.4600,10933405,November,Friday,2017,FB,-0.004684885666480777
1379,2017-11-09,178.3100,179.4000,177.0900,179.3000,12460345,November,Thursday,2017,FB,-0.001447983960792999
1378,2017-11-08,179.7900,180.3500,179.1100,179.5600,10494149,November,Wednesday,2017,FB,-0.0038280166435506117
1377,2017-11-07,180.5000,180.7500,178.9600,180.2500,12679885,November,Tuesday,2017,FB,0.0004440250874175085
1376,2017-11-06,178.5600,180.4500,178.3100,180.1700,13065077,November,Monday,2017,FB,0.0069863626201654375
1375,2017-11-03,179.2900,179.8600,176.7100,178.9200,17572587,November,Friday,2017,FB,0.0
1374,2017-11-02,180.6300,181.9400,177.3400,178.9200,35119841,November,Thursday,2017,FB,-0.020475199824811174
1373,2017-11-01,182.3600,182.9000,180.5700,182.6600,28922959,November,Wednesday,2017,FB,0.014439631234033069
1372,2017-10-31,180.5700,180.8000,178.9400,180.0600,19766043,October,Tuesday,2017,FB,0.0010563184522154763
1371,2017-10-30,179.2600,180.6900,177.6100,179.8700,24179258,October,Monday,2017,FB,0.011187317292556832
1370,2017-10-27,174.1500,178.2100,173.9000,177.8800,29867490,October,Friday,2017,FB,0.04248959737443592
