Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,29.85,29.88,29.52,29.52,40133412,December,Friday,2017,BAC,-0.009395973154362455,5,12
1,7,2017-12-28,29.73,29.82,29.66,29.8,35842803,December,Thursday,2017,BAC,0.002354524049781375,4,12
2,8,2017-12-27,29.66,29.73,29.601,29.73,31827793,December,Wednesday,2017,BAC,-0.0016789791806581837,3,12
3,9,2017-12-26,29.74,29.94,29.58,29.78,42254735,December,Tuesday,2017,BAC,-0.0033467202141900226,2,12
4,10,2017-12-22,29.965,30.03,29.62,29.88,54073301,December,Friday,2017,BAC,0.002012072434607603,5,12
5,11,2017-12-21,29.595,29.98,29.58,29.82,72441696,December,Thursday,2017,BAC,0.011533242876526451,4,12
6,12,2017-12-20,29.765,29.84,29.45,29.48,80849633,December,Wednesday,2017,BAC,0.001018675721562008,3,12
7,13,2017-12-19,29.625,29.64,29.37,29.45,65397545,December,Tuesday,2017,BAC,-0.0010176390773406084,2,12
8,14,2017-12-18,29.32,29.5,29.27,29.48,69139708,December,Monday,2017,BAC,0.015151515151515197,1,12
9,15,2017-12-15,28.905,29.18,28.74,29.04,119265023,December,Friday,2017,BAC,0.010790114862513007,5,12
10,16,2017-12-14,29.065,29.18,28.71,28.73,59891544,December,Thursday,2017,BAC,-0.0038141470180304937,4,12
11,17,2017-12-13,29.31,29.44,28.83,28.84,78318859,December,Wednesday,2017,BAC,-0.01637107776261939,3,12
12,18,2017-12-12,29.05,29.5,28.91,29.32,75809939,December,Tuesday,2017,BAC,0.01313061506565304,2,12
13,19,2017-12-11,29.05,29.17,28.9,28.94,53618358,December,Monday,2017,BAC,-0.0037865748709122,1,12
14,20,2017-12-08,29.08,29.09,28.76,29.05,60830895,December,Friday,2017,BAC,0.009381514940931188,5,12
15,21,2017-12-07,28.45,28.97,28.37,28.78,80517375,December,Thursday,2017,BAC,0.004888268156424601,4,12
16,22,2017-12-06,28.73,28.97,28.57,28.64,73902305,December,Wednesday,2017,BAC,-0.010024196335983379,3,12
17,23,2017-12-05,29.27,29.3,28.85,28.93,91034474,December,Tuesday,2017,BAC,-0.004473503097040572,2,12
18,24,2017-12-04,28.85,29.31,28.82,29.06,143880151,December,Monday,2017,BAC,0.034163701067615564,1,12
19,25,2017-12-01,28.25,28.51,27.5,28.1,133921854,December,Friday,2017,BAC,-0.0024849130280440285,5,12
