Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,140.98,141.2074,139.58,139.72,4419945,December,Friday,2017,JNJ,-0.008937437934458725,5,12,0.011659263504800071
1,9,2017-12-28,140.7,141.0,140.33,140.56,2237834,December,Thursday,2017,JNJ,-0.0009950248756217938,4,12,0.0047744602009548035
2,10,2017-12-27,140.42,141.15,140.2,140.57,3645694,December,Wednesday,2017,JNJ,0.001068223899729424,3,12,0.006776034236804686
3,11,2017-12-26,140.46,140.54,139.68,140.09,3268365,December,Tuesday,2017,JNJ,-0.0026342019080165487,2,12,0.006156930126002185
4,12,2017-12-22,140.9,141.35,140.04,140.12,4655340,December,Friday,2017,JNJ,-0.005535841022001427,5,12,0.009354470151385337
5,13,2017-12-21,141.76,142.17,141.02,141.06,5501307,December,Thursday,2017,JNJ,-0.0049379232505642546,4,12,0.008154871649411269
6,14,2017-12-20,142.29,142.58,141.08,141.16,5933448,December,Wednesday,2017,JNJ,-0.007941527865626507,3,12,0.010632265381343915
7,15,2017-12-19,141.72,142.38,141.36,141.78,6453244,December,Tuesday,2017,JNJ,0.00042337002540221755,2,12,0.007215619694397155
8,16,2017-12-18,142.43,143.8,141.401,141.8,5821869,December,Monday,2017,JNJ,-0.00442322544407776,1,12,0.016965933762844682
9,17,2017-12-15,142.73,143.14,141.78,142.46,12012749,December,Friday,2017,JNJ,-0.0018916835984024512,5,12,0.009592326139088624
10,18,2017-12-14,143.6,143.62,141.61,141.65,5332273,December,Thursday,2017,JNJ,-0.013579387186629448,4,12,0.014193912859261288
11,19,2017-12-13,142.5,143.43,142.21,142.89,5754026,December,Wednesday,2017,JNJ,0.0027368421052630623,3,12,0.008578862245974254
12,20,2017-12-12,142.06,143.57,142.04,142.6,8013643,December,Tuesday,2017,JNJ,0.0038012107560185283,2,12,0.010771613629963398
13,21,2017-12-11,140.1,141.17,139.83,141.14,4325895,December,Monday,2017,JNJ,0.007423269093504583,1,12,0.00958306515053976
14,22,2017-12-08,140.0,140.76,139.8,140.59,4343488,December,Friday,2017,JNJ,0.004214285714285739,5,12,0.006866952789699424
15,23,2017-12-07,141.0,141.499,139.26,140.01,4705180,December,Thursday,2017,JNJ,-0.007021276595744745,4,12,0.01607784001148933
16,24,2017-12-06,140.25,141.96,140.19,141.06,5304506,December,Wednesday,2017,JNJ,0.005775401069518733,3,12,0.012625722234110922
17,25,2017-12-05,139.88,140.81,139.2,139.67,6738613,December,Tuesday,2017,JNJ,-0.0015012868172720045,2,12,0.011566091954023087
18,26,2017-12-04,140.62,141.5,138.93,139.01,5547138,December,Monday,2017,JNJ,-0.011449295974968096,1,12,0.01849852443676667
19,27,2017-12-01,139.57,140.53,138.6,139.98,5990487,December,Friday,2017,JNJ,0.0029375940388335357,5,12,0.013924963924963977
20,28,2017-11-30,140.06,140.28,138.48,139.33,8941892,November,Thursday,2017,JNJ,-0.005212051977723759,4,11,0.01299826689774705
21,29,2017-11-29,140.22,140.63,138.95,139.81,5851449,November,Wednesday,2017,JNJ,-0.00292397660818711,3,11,0.012090680100755716
22,30,2017-11-28,138.3,140.53,138.2517,140.02,4990975,November,Tuesday,2017,JNJ,0.012436731742588568,2,11,0.016479363364067145
23,31,2017-11-27,137.51,138.31,137.48,138.1,3929055,November,Monday,2017,JNJ,0.004290597047487479,1,11,0.006037241780622728
24,32,2017-11-24,137.5,138.38,137.31,138.01,2606832,November,Friday,2017,JNJ,0.003709090909090843,5,11,0.007792586119000752
25,33,2017-11-22,138.3,138.38,136.6,137.29,3917002,November,Wednesday,2017,JNJ,-0.007302964569775989,3,11,0.013030746705710113
26,34,2017-11-21,138.45,139.26,138.19,138.34,5654616,November,Tuesday,2017,JNJ,-0.0007945106536654767,2,11,0.007742962587741466
27,35,2017-11-20,138.15,138.56,137.74,137.93,4262306,November,Monday,2017,JNJ,-0.0015924719507781314,1,11,0.005953245244663809
28,36,2017-11-17,138.3,138.86,137.89,138.0,4112134,November,Friday,2017,JNJ,-0.0021691973969632057,5,11,0.007034592791355627
29,37,2017-11-16,139.42,139.68,138.64,138.87,4173520,November,Thursday,2017,JNJ,-0.003944914646392074,4,11,0.007501442585112671
30,38,2017-11-15,139.23,139.83,138.75,139.1,3736311,November,Wednesday,2017,JNJ,-0.0009337068160597246,3,11,0.007783783783783874
31,39,2017-11-14,139.57,140.2843,138.92,139.49,4070870,November,Tuesday,2017,JNJ,-0.0005731890807478977,2,11,0.009820760149726566
32,40,2017-11-13,139.01,140.02,138.42,139.76,4309741,November,Monday,2017,JNJ,0.005395295302496224,1,11,0.011559023262534482
