Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,170.52,170.59,169.22,169.23,25643711,December,Friday,2017,AAPL,-0.007565095003518769,5,12,0.00809596974352916
1,9,2017-12-28,171.0,171.85,170.48,171.08,15997739,December,Thursday,2017,AAPL,0.00046783625731001467,4,12,0.008036133270764927
2,10,2017-12-27,170.1,170.78,169.71,170.6,21672062,December,Wednesday,2017,AAPL,0.0029394473838918285,3,12,0.006304873018678882
3,11,2017-12-26,170.8,171.47,169.679,170.57,32968167,December,Tuesday,2017,AAPL,-0.0013466042154567806,2,12,0.010555224865775946
4,12,2017-12-22,174.68,175.424,174.5,175.01,16052615,December,Friday,2017,AAPL,0.001889168765742982,5,12,0.005295128939828118
5,13,2017-12-21,174.17,176.02,174.1,175.01,20356826,December,Thursday,2017,AAPL,0.00482287420336455,4,12,0.01102814474439986
6,14,2017-12-20,174.87,175.42,173.25,174.35,23000392,December,Wednesday,2017,AAPL,-0.0029736375593298467,3,12,0.012525252525252452
7,15,2017-12-19,175.03,175.39,174.09,174.54,27078872,December,Tuesday,2017,AAPL,-0.0027995200822716624,2,12,0.00746740191854778
8,16,2017-12-18,174.88,177.2,174.86,176.42,28831533,December,Monday,2017,AAPL,0.008806038426349451,1,12,0.013382134278851508
9,17,2017-12-15,173.63,174.17,172.46,173.97,37054632,December,Friday,2017,AAPL,0.001958186949259941,5,12,0.009915342688159455
10,18,2017-12-14,172.4,173.13,171.65,172.22,20219307,December,Thursday,2017,AAPL,-0.0010440835266821741,4,12,0.008622196329740692
11,19,2017-12-13,172.5,173.54,172.0,172.27,23142242,December,Wednesday,2017,AAPL,-0.001333333333333274,3,12,0.008953488372092977
12,20,2017-12-12,172.15,172.39,171.46099999999998,171.7,18945457,December,Tuesday,2017,AAPL,-0.002613999419111339,2,12,0.005418141734855002
13,21,2017-12-11,169.2,172.89,168.79,172.67,33092051,December,Monday,2017,AAPL,0.020508274231678482,1,12,0.024290538539012942
14,22,2017-12-08,170.49,171.0,168.82,169.37,23096872,December,Friday,2017,AAPL,-0.006569300252214232,5,12,0.012913161947636576
15,23,2017-12-07,169.03,170.44,168.91,169.32,24469613,December,Thursday,2017,AAPL,0.001715671774241212,4,12,0.009058078266532479
16,24,2017-12-06,167.5,170.2047,166.46,169.01,28224357,December,Wednesday,2017,AAPL,0.009014925373134274,3,12,0.02249609515799588
17,25,2017-12-05,169.06,171.52,168.4,169.64,27008428,December,Tuesday,2017,AAPL,0.003430734650419875,2,12,0.018527315914489337
18,26,2017-12-04,172.48,172.62,169.63,169.8,32115052,December,Monday,2017,AAPL,-0.015538033395176128,1,12,0.017626599068561042
19,27,2017-12-01,169.95,171.67,168.5,171.05,39590080,December,Friday,2017,AAPL,0.006472491909385247,5,12,0.018813056379821884
20,28,2017-11-30,170.43,172.14,168.44,171.85,40172368,November,Thursday,2017,AAPL,0.008331866455436175,4,11,0.02196627879363565
21,29,2017-11-29,172.63,172.92,167.16,169.48,40788324,November,Wednesday,2017,AAPL,-0.01824711811388522,3,11,0.03445800430725048
