,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,75.1700,75.29,74.38,74.4100,10020995,December,Friday,2017,C,-0.010110416389517162,5,12,0.012234471632159329
1,9,2017-12-28,74.9100,75.17,74.84,75.0800,7934819,December,Thursday,2017,C,0.002269389934588195,4,12,0.004409406734366626
2,10,2017-12-27,74.6700,75.08,74.52,74.8900,9650457,December,Wednesday,2017,C,0.002946297040310685,3,12,0.0075147611379495745
3,11,2017-12-26,75.4500,75.72,74.415,74.7800,10852736,December,Tuesday,2017,C,-0.008880053015241904,2,12,0.017536786938117215
4,12,2017-12-22,75.8700,75.99,75.05,75.4900,11491632,December,Friday,2017,C,-0.005008567286147484,5,12,0.012524983344437012
5,13,2017-12-21,74.9800,76.08,74.94,75.8200,13907019,December,Thursday,2017,C,0.011202987463323408,4,12,0.01521216973578864
6,14,2017-12-20,75.3700,75.765,74.61,74.6600,15611957,December,Wednesday,2017,C,-0.009420193711025713,3,12,0.015480498592681961
7,15,2017-12-19,75.9400,76.15,74.65,74.7000,16939060,December,Tuesday,2017,C,-0.016328680537266195,2,12,0.020093770931011386
8,16,2017-12-18,75.3900,76.005,75.27,75.6700,16291919,December,Monday,2017,C,0.0037140204271123643,1,12,0.009764846552411312
9,17,2017-12-15,74.5000,75.15,74.27,74.7700,35798271,December,Friday,2017,C,0.00362416107382545,5,12,0.011848660293523761
10,18,2017-12-14,75.2500,75.4305,73.78,73.9200,22687542,December,Thursday,2017,C,-0.01767441860465114,4,12,0.022370561127676793
11,19,2017-12-13,75.9500,76.315,75.05,75.1400,18922320,December,Wednesday,2017,C,-0.010664911125740648,3,12,0.016855429713524325
12,20,2017-12-12,76.0400,76.8,75.5244,76.1500,18063062,December,Tuesday,2017,C,0.0014466070489216126,2,12,0.01688990577879463
13,21,2017-12-11,75.5500,76.13,75.53,75.8500,10309149,December,Monday,2017,C,0.0039708802117802405,1,12,0.007943863365550037
14,22,2017-12-08,75.3200,75.72,74.965,75.7100,12393028,December,Friday,2017,C,0.0051779075942644795,5,12,0.010071366637764229
15,23,2017-12-07,74.3500,75.32,74.26,74.9800,19132137,December,Thursday,2017,C,0.00847343644922676,4,12,0.014274171828709777
16,24,2017-12-06,76.2400,76.5,75.09,75.4400,16353888,December,Wednesday,2017,C,-0.010493179433368274,3,12,0.018777467039552492
17,25,2017-12-05,76.9800,77.28,76.19,76.5400,15836167,December,Tuesday,2017,C,-0.0057157703299558025,2,12,0.014306339414621387
18,26,2017-12-04,77.0200,77.92,76.62,77.1000,23080848,December,Monday,2017,C,0.0010386912490262048,1,12,0.016966849386583098
19,27,2017-12-01,75.7100,76.24,73.78,75.5100,18238174,December,Friday,2017,C,-0.002641658961827878,5,12,0.03334236920574673
20,28,2017-11-30,75.7300,76.8893,75.1499,75.5000,23179633,November,Thursday,2017,C,-0.0030371055064043837,4,11,0.023145739382221444
21,29,2017-11-29,74.4200,75.77,74.05,75.0400,21876367,November,Wednesday,2017,C,0.008331093791991461,3,11,0.023227548953409845
22,30,2017-11-28,71.4400,74.0,71.13,73.7000,17601123,November,Tuesday,2017,C,0.0316349384098545,2,11,0.04034865738788141
23,31,2017-11-27,71.9900,72.36,71.305,71.3900,12359567,November,Monday,2017,C,-0.008334490901514021,1,11,0.014795596381740305
24,32,2017-11-24,72.4100,72.52,71.99,72.0200,4676099,November,Friday,2017,C,-0.005385996409335735,5,11,0.007362133629670804
25,33,2017-11-22,72.4500,73.15,72.26,72.2600,9120984,November,Wednesday,2017,C,-0.002622498274672156,3,11,0.01231663437586494
26,34,2017-11-21,72.5000,72.59,72.13,72.3800,9502650,November,Tuesday,2017,C,-0.001655172413793166,2,11,0.006377374185498517
27,35,2017-11-20,71.7700,72.3,71.28,72.0500,9969752,November,Monday,2017,C,0.0039013515396405345,1,11,0.014309764309764253
28,36,2017-11-17,71.1600,71.83,70.94,71.3300,11786729,November,Friday,2017,C,0.002388982574480069,5,11,0.012545813363405703
29,37,2017-11-16,72.1100,72.32,71.51,71.6700,12402434,November,Thursday,2017,C,-0.006101788933573675,4,11,0.011327087120682254
30,38,2017-11-15,70.6200,72.07,70.02,71.7300,17238530,November,Wednesday,2017,C,0.015717926932880193,3,11,0.02927734932876317
31,39,2017-11-14,71.6500,71.81,71.04,71.5300,13176315,November,Tuesday,2017,C,-0.0016748080949058554,2,11,0.010838963963963907
32,40,2017-11-13,71.6700,72.15,71.48,71.9900,13450562,November,Monday,2017,C,0.004464908608901816,1,11,0.009373251259093477
33,41,2017-11-10,72.5300,72.86,72.11,72.2500,12795477,November,Friday,2017,C,-0.003860471529022489,5,11,0.010400776591318819
34,42,2017-11-09,71.7200,72.76,71.45,72.4300,15464740,November,Thursday,2017,C,0.009899609592861238,4,11,0.018334499650104998
35,43,2017-11-08,72.3900,72.57,71.52,72.3400,18710614,November,Wednesday,2017,C,-0.0006907031357921972,3,11,0.014681208053691237
36,44,2017-11-07,73.7800,74.0,72.32,72.7100,17231545,November,Tuesday,2017,C,-0.014502575223637942,2,11,0.023230088495575316
37,45,2017-11-06,73.5900,74.03,73.17,73.8000,12625454,November,Monday,2017,C,0.002853648593558822,1,11,0.011753450867842003
38,46,2017-11-03,74.2200,74.39,73.84,74.0500,10679159,November,Friday,2017,C,-0.00229048773915389,5,11,0.007448537378114804
39,47,2017-11-02,73.9500,74.85,73.33,74.7400,12715634,November,Thursday,2017,C,0.010682893847193942,4,11,0.020728214918859893
40,48,2017-11-01,73.9900,74.52,73.81,74.0300,11339574,November,Wednesday,2017,C,0.0005406135964320348,3,11,0.00961929277875618
41,49,2017-10-31,73.8700,74.09,73.26,73.5000,11659630,October,Tuesday,2017,C,-0.005008799241911528,2,10,0.011329511329511306
42,50,2017-10-30,73.2100,73.91,73.18,73.7800,10553147,October,Monday,2017,C,0.0077858216090699005,1,10,0.009975403115605215
43,51,2017-10-27,73.4300,73.98,73.01,73.8700,11287974,October,Friday,2017,C,0.0059921013209859415,5,10,0.013285851253252963
44,52,2017-10-26,73.6600,74.25,73.6,73.7900,13195742,October,Thursday,2017,C,0.0017648655986968458,4,10,0.008831521739130512
45,53,2017-10-25,74.4800,74.63,73.26,73.6200,14109348,October,Wednesday,2017,C,-0.011546723952738982,3,10,0.018700518700518566
46,54,2017-10-24,73.9600,74.75,73.73,74.2400,14977897,October,Tuesday,2017,C,0.003785830178474867,2,10,0.013834260138342547
47,55,2017-10-23,73.4800,74.01,73.43,73.5300,10681936,October,Monday,2017,C,0.0006804572672835759,1,10,0.00789867901402694
48,56,2017-10-20,73.7600,73.88,73.18,73.5300,15568492,October,Friday,2017,C,-0.003118221258134544,5,10,0.009565455042361145
49,57,2017-10-19,72.3500,72.94,71.71,72.8800,12126309,October,Thursday,2017,C,0.007325501036627521,4,10,0.0171524194672989
50,58,2017-10-18,72.6600,73.33,72.55,73.1200,15068248,October,Wednesday,2017,C,0.00633085604183881,3,10,0.010751206064782925
51,59,2017-10-17,72.2400,72.72,72.0,72.1900,15696950,October,Tuesday,2017,C,-0.0006921373200442575,2,10,0.009999999999999985
52,60,2017-10-16,71.3800,72.58,71.37,71.7700,21114575,October,Monday,2017,C,0.0054637153264219755,1,10,0.01695390219980375
53,61,2017-10-13,72.1000,72.34,70.91,72.1100,30885308,October,Friday,2017,C,0.00013869625520118053,5,10,0.02016640812297288
54,62,2017-10-12,75.8200,76.14,72.27,72.3700,40045488,October,Thursday,2017,C,-0.04550250593510932,4,10,0.053549190535491974
55,63,2017-10-11,74.9700,75.33,74.66,74.9400,18088656,October,Wednesday,2017,C,-0.0004001600640256254,3,10,0.00897401553710155
56,64,2017-10-10,75.4000,75.54,74.63,75.1800,13850533,October,Tuesday,2017,C,-0.0029177718832891094,2,10,0.012193487873509459
57,65,2017-10-09,75.8300,75.88,75.09,75.3900,12823148,October,Monday,2017,C,-0.005802452855070523,1,10,0.010520708483153443
58,66,2017-10-06,75.8100,76.02,75.1,75.6400,16091126,October,Friday,2017,C,-0.0022424482258277495,5,10,0.012250332889480716
59,67,2017-10-05,74.0700,75.93,73.85,75.7200,19203342,October,Thursday,2017,C,0.02227622519238566,4,10,0.028165199729180943
60,68,2017-10-04,74.1800,74.74,73.93,74.0600,12801643,October,Wednesday,2017,C,-0.0016176867080076103,3,10,0.010956310022994561
61,69,2017-10-03,73.9800,74.38,73.85,74.1300,11917083,October,Tuesday,2017,C,0.0020275750202756347,2,10,0.007176709546377809
62,70,2017-10-02,73.0700,73.89,72.91,73.8000,13347999,October,Monday,2017,C,0.009990420145066431,1,10,0.013441228912357757
63,71,2017-09-29,72.5500,72.9,72.36,72.7400,12386595,September,Friday,2017,C,0.0026188835286009337,5,9,0.007462686567164266
64,72,2017-09-28,72.6100,72.86,72.02,72.6500,13832743,September,Thursday,2017,C,0.0005508883073957617,4,9,0.011663426825881748
65,73,2017-09-27,72.1900,72.97,71.91,72.2800,18032236,September,Wednesday,2017,C,0.0012467100706469512,3,9,0.014740648032262584
66,74,2017-09-26,70.8500,71.24,70.51,70.9400,11548891,September,Tuesday,2017,C,0.0012702893436838873,2,9,0.010353141398383062
67,75,2017-09-25,71.2100,71.51,70.32,70.8400,10740339,September,Monday,2017,C,-0.005195899452323976,1,9,0.01692263936291257
68,76,2017-09-22,71.6000,71.64,71.01,71.4000,10418794,September,Friday,2017,C,-0.0027932960893853162,5,9,0.008871989860582952
69,77,2017-09-21,71.4500,72.13,71.15,71.7600,11507584,September,Thursday,2017,C,0.004338698390482887,4,9,0.013773717498243004
70,78,2017-09-20,71.3800,72.2,70.82,71.4600,19024367,September,Wednesday,2017,C,0.0011207621182403797,3,9,0.019486020898051536
71,79,2017-09-19,70.3000,71.7,70.3,71.1500,15438733,September,Tuesday,2017,C,0.012091038406828002,2,9,0.019914651493598945
72,80,2017-09-18,69.3800,70.93,69.27,70.6000,17968164,September,Monday,2017,C,0.01758431824733351,1,9,0.023964198065540794
73,81,2017-09-15,69.1200,69.38,68.91,69.0400,18270056,September,Friday,2017,C,-0.0011574074074073826,5,9,0.006820490494848337
74,82,2017-09-14,69.3500,69.75,69.21,69.2400,15015618,September,Thursday,2017,C,-0.0015861571737563005,4,9,0.0078023407022107544
75,83,2017-09-13,68.6900,69.53,68.46,69.3900,17438525,September,Wednesday,2017,C,0.010190711894016638,3,9,0.01562956470931942
76,84,2017-09-12,68.2200,69.25,68.1,68.7900,15474528,September,Tuesday,2017,C,0.008355321020228781,2,9,0.01688693098384737
77,85,2017-09-11,66.7600,67.79,66.37,67.7100,17115066,September,Monday,2017,C,0.014230077890952495,1,9,0.02139520867861988
78,86,2017-09-08,65.9700,66.92,65.87,66.1700,13313779,September,Friday,2017,C,0.003031681067151779,5,9,0.015940488841657767
79,87,2017-09-07,67.3900,67.44,65.69,66.0600,20191226,September,Thursday,2017,C,-0.019735865855468146,4,9,0.026640280103516517
