,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,61.4600,61.58,60.67,60.6700,10523617,December,Friday,2017,WFC,-0.012853888708102817,5,12,0.014999175869457666
1,9,2017-12-28,61.0300,61.31,60.91,61.3000,10523325,December,Thursday,2017,WFC,0.0044240537440602325,4,12,0.0065670661631916875
2,10,2017-12-27,61.1000,61.24,60.66,60.9500,8814128,December,Wednesday,2017,WFC,-0.002454991816693921,3,12,0.009561490273656536
3,11,2017-12-26,61.4950,61.72,60.8,61.1300,11504935,December,Tuesday,2017,WFC,-0.0059354419058459205,2,12,0.015131578947368449
4,12,2017-12-22,62.0200,62.24,61.19,61.5500,11625303,December,Friday,2017,WFC,-0.007578200580458013,5,12,0.017159666612191603
5,13,2017-12-21,60.7700,62.115,60.68,61.6100,21312814,December,Thursday,2017,WFC,0.013822609840381707,4,12,0.023648648648648685
6,14,2017-12-20,60.8100,61.07,60.06,60.1400,16000144,December,Wednesday,2017,WFC,-0.01101792468344025,3,12,0.01681651681651678
7,15,2017-12-19,61.1800,61.27,60.28,60.3600,16756730,December,Tuesday,2017,WFC,-0.01340307289964041,2,12,0.01642335766423361
8,16,2017-12-18,60.4200,61.13,60.37,60.9200,19269294,December,Monday,2017,WFC,0.008275405494869248,1,12,0.012589034288554003
9,17,2017-12-15,59.3600,60.65,59.35,59.8700,36043545,December,Friday,2017,WFC,0.008591644204851718,5,12,0.02190395956192076
10,18,2017-12-14,59.4800,59.99,59.21,59.2200,14550713,December,Thursday,2017,WFC,-0.004371217215870847,4,12,0.013173450430670515
11,19,2017-12-13,60.3100,60.5,59.38,59.4000,16996351,December,Wednesday,2017,WFC,-0.015088708340242143,3,12,0.018861569552037678
12,20,2017-12-12,58.7100,60.56,58.71,60.3300,24283560,December,Tuesday,2017,WFC,0.02759325498211544,2,12,0.031510815874638075
13,21,2017-12-11,59.2700,59.3,58.62,58.8700,15600612,December,Monday,2017,WFC,-0.006748776784207958,1,12,0.011600136472193786
14,22,2017-12-08,59.7100,59.92,59.145,59.3100,21749452,December,Friday,2017,WFC,-0.006699045386032466,5,12,0.013103389973793195
15,23,2017-12-07,58.4500,60.0,58.29,59.3600,32210127,December,Thursday,2017,WFC,0.015568862275449043,4,12,0.02933607822954196
16,24,2017-12-06,58.5600,59.1,58.12,58.5700,26539700,December,Wednesday,2017,WFC,0.00017076502732237038,3,12,0.016861665519614658
17,25,2017-12-05,57.6500,59.41,57.4438,58.5500,39453005,December,Tuesday,2017,WFC,0.015611448395490002,2,12,0.034228236989892614
18,26,2017-12-04,57.2700,57.99,57.2,57.3900,27884642,December,Monday,2017,WFC,0.0020953378732320137,1,12,0.013811188811188795
19,27,2017-12-01,56.5700,57.18,55.44,56.2000,31242412,December,Friday,2017,WFC,-0.006540569206293043,5,12,0.031385281385281426
20,28,2017-11-30,57.0300,57.33,56.375,56.4700,30984403,November,Thursday,2017,WFC,-0.009819393301771038,4,11,0.016940133037693983
21,29,2017-11-29,55.8400,57.25,55.7,56.6800,29631806,November,Wednesday,2017,WFC,0.015042979942693343,3,11,0.027827648114901203
22,30,2017-11-28,53.8700,55.89,53.72,55.5700,24892264,November,Tuesday,2017,WFC,0.03155745312790056,2,11,0.040394638868205546
23,31,2017-11-27,54.0200,54.46,53.86,53.9500,10954581,November,Monday,2017,WFC,-0.0012958163643095202,1,11,0.01113999257333831
24,32,2017-11-24,54.1900,54.31,54.0,54.0900,5386489,November,Friday,2017,WFC,-0.0018453589223102846,5,11,0.005740740740740783
25,33,2017-11-22,54.4600,54.62,54.025,54.0600,11159888,November,Wednesday,2017,WFC,-0.007344840249724542,3,11,0.011013419713095768
26,34,2017-11-21,54.0800,54.579,53.99,54.5200,13757036,November,Tuesday,2017,WFC,0.008136094674556303,2,11,0.010909427671791047
27,35,2017-11-20,54.1200,54.21,53.85,54.0500,16531133,November,Monday,2017,WFC,-0.0012934220251293476,1,11,0.006685236768802218
28,36,2017-11-17,54.2100,54.46,53.97,54.1500,14944812,November,Friday,2017,WFC,-0.0011068068622025876,5,11,0.009079118028534408
