,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,114.0900,114.745,113.51,113.5100,415186,December,Friday,2017,HSY,-0.005083705846261708,5,12,0.010880098669720725
1,9,2017-12-28,114.8600,114.99,114.04,114.3600,536436,December,Thursday,2017,HSY,-0.004353125544140693,4,12,0.008330410382321893
2,10,2017-12-27,115.2300,115.58,114.27,114.5800,427539,December,Wednesday,2017,HSY,-0.005640892128785956,3,12,0.011464076310492713
3,11,2017-12-26,114.9500,115.46,114.67,115.0100,406410,December,Tuesday,2017,HSY,0.0005219660722053265,2,12,0.00688933461236585
4,12,2017-12-22,115.1000,115.38,114.4,114.9500,347375,December,Friday,2017,HSY,-0.0013032145960034012,5,12,0.008566433566433477
5,13,2017-12-21,115.3700,115.48,114.54,114.6600,571242,December,Thursday,2017,HSY,-0.006154112854294946,4,12,0.008206740003492209
6,14,2017-12-20,115.2800,115.819,114.34,114.9900,876072,December,Wednesday,2017,HSY,-0.002515614156835585,3,12,0.012935105824733244
7,15,2017-12-19,115.1100,115.82,114.82,115.4500,1155800,December,Tuesday,2017,HSY,0.002953696464251615,2,12,0.00870928409684724
8,16,2017-12-18,113.5500,115.315,112.65,114.2600,1263025,December,Monday,2017,HSY,0.006252752091589678,1,12,0.023657345761207208
9,17,2017-12-15,114.0300,114.898,113.19,114.1400,1436993,December,Friday,2017,HSY,0.0009646584232219542,5,12,0.015089672232529362
10,18,2017-12-14,113.2900,113.9751,112.88,113.3600,808508,December,Thursday,2017,HSY,0.0006178833083237106,4,12,0.009701452870304769
11,19,2017-12-13,113.2700,113.67,112.89,113.1600,971805,December,Wednesday,2017,HSY,-0.00097113092610576,3,12,0.006909380813180982
12,20,2017-12-12,113.1100,113.56,112.18,113.4000,794354,December,Tuesday,2017,HSY,0.002563875873043995,2,12,0.012301658049563161
13,21,2017-12-11,113.0000,113.06,112.0,112.8000,577147,December,Monday,2017,HSY,-0.0017699115044248039,1,12,0.009464285714285734
14,22,2017-12-08,113.5700,113.71,112.85,113.2000,586258,December,Friday,2017,HSY,-0.0032579026151271493,5,12,0.007620735489587944
15,23,2017-12-07,113.4700,113.94,112.95,113.5600,689635,December,Thursday,2017,HSY,0.0007931611879792316,4,12,0.008764940239043778
16,24,2017-12-06,112.7400,113.9,112.49,113.7600,790451,December,Wednesday,2017,HSY,0.009047365620010735,3,12,0.012534447506445114
17,25,2017-12-05,112.8500,113.56,112.02,112.7600,1004772,December,Tuesday,2017,HSY,-0.0007975188303056199,2,12,0.01374754508123555
18,26,2017-12-04,111.4400,113.135,111.36,112.8200,1170973,December,Monday,2017,HSY,0.012383345297918121,1,12,0.015939295977011544
19,27,2017-12-01,111.0400,111.04,108.981,111.0100,723898,December,Friday,2017,HSY,-0.0002701729106628344,5,12,0.018893201567245776
20,28,2017-11-30,110.7000,111.89,110.26,110.9300,1732688,November,Thursday,2017,HSY,0.0020776874435411378,4,11,0.014783239615454339
21,29,2017-11-29,109.8700,111.59,109.22,110.5000,843905,November,Wednesday,2017,HSY,0.005734049331027537,3,11,0.02169932246841242
22,30,2017-11-28,108.6000,109.87,108.01,109.8400,915928,November,Tuesday,2017,HSY,0.011418047882136365,2,11,0.01722062771965558
23,31,2017-11-27,107.7500,108.6975,107.14,108.3700,634618,November,Monday,2017,HSY,0.005754060324826028,1,11,0.014537054321448615
24,32,2017-11-24,108.3400,108.46,107.43,107.4500,291197,November,Friday,2017,HSY,-0.008214879084364045,5,11,0.00958763846225437
25,33,2017-11-22,108.5100,108.91,107.86,108.1200,939415,November,Wednesday,2017,HSY,-0.0035941387890517052,3,11,0.009734841461153321
26,34,2017-11-21,109.3000,109.99,108.39,108.5100,1060778,November,Tuesday,2017,HSY,-0.0072278133577309426,2,11,0.01476150936433245
