,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,45.7000,46.18,45.6925,45.8800,8293714,December,Friday,2017,KO,0.003938730853391678,5,12,0.010669147015374452
1,9,2017-12-28,45.9100,45.99,45.64,45.7200,5642213,December,Thursday,2017,KO,-0.004138531910259154,4,12,0.007668711656441749
2,10,2017-12-27,45.9000,45.94,45.715,45.9300,5041455,December,Wednesday,2017,KO,0.0006535947712418548,3,12,0.004921798096904611
3,11,2017-12-26,45.7000,45.855,45.61,45.8100,6043871,December,Tuesday,2017,KO,0.002407002188183795,2,12,0.005371629028721715
4,12,2017-12-22,45.6400,45.73,45.55,45.5900,5394639,December,Friday,2017,KO,-0.001095530236634469,5,12,0.003951701427003287
5,13,2017-12-21,46.1500,46.22,45.56,45.6000,9391253,December,Thursday,2017,KO,-0.011917659804983688,4,12,0.01448639157155392
6,14,2017-12-20,46.1800,46.3,45.955,46.0800,7296074,December,Wednesday,2017,KO,-0.0021654395842356307,3,12,0.007507344141007483
7,15,2017-12-19,46.0800,46.38,45.91,46.1300,7727552,December,Tuesday,2017,KO,0.001085069444444537,2,12,0.010237421041167632
8,16,2017-12-18,46.2300,46.38,45.91,45.9300,10021802,December,Monday,2017,KO,-0.0064892926670992255,1,12,0.010237421041167632
9,17,2017-12-15,46.2900,46.42,46.04,46.1900,20161432,December,Friday,2017,KO,-0.002160293799956825,5,12,0.008253692441355398
10,18,2017-12-14,45.9000,46.17,45.8,46.0300,8932016,December,Thursday,2017,KO,0.002832244008714653,4,12,0.008078602620087435
11,19,2017-12-13,45.4500,46.05,45.4,45.9000,12212789,December,Wednesday,2017,KO,0.009900990099009807,3,12,0.014317180616740057
12,20,2017-12-12,45.2500,45.52,45.06,45.2900,13906775,December,Tuesday,2017,KO,0.0008839779005524673,2,12,0.010208610741233928
13,21,2017-12-11,45.1800,45.41,44.92,45.3300,9698673,December,Monday,2017,KO,0.003320053120849902,1,12,0.010908281389136128
14,22,2017-12-08,45.7000,45.73,45.05,45.3100,13026731,December,Friday,2017,KO,-0.00853391684901533,5,12,0.015094339622641504
15,23,2017-12-07,46.2900,46.32,45.72,45.7800,9064074,December,Thursday,2017,KO,-0.011017498379779608,4,12,0.013123359580052524
16,24,2017-12-06,46.3300,46.48,46.2612,46.4500,8137495,December,Wednesday,2017,KO,0.002590114396719287,3,12,0.004729665464795434
17,25,2017-12-05,46.2500,46.44,46.06,46.2600,13452712,December,Tuesday,2017,KO,0.0002162162162161732,2,12,0.008250108554059823
18,26,2017-12-04,45.9900,46.378,45.77,46.2300,17503101,December,Monday,2017,KO,0.005218525766470861,1,12,0.013283810356128401
19,27,2017-12-01,45.8000,46.02,45.21,45.9700,12468785,December,Friday,2017,KO,0.003711790393013138,5,12,0.017916390179163952
20,28,2017-11-30,45.1400,45.84,45.03,45.7700,17147588,November,Thursday,2017,KO,0.013956579530350078,4,11,0.01798800799467027
21,29,2017-11-29,45.7700,45.82,45.21,45.5000,16502110,November,Wednesday,2017,KO,-0.005899060519991329,3,11,0.013492590134925889
22,30,2017-11-28,45.9900,46.15,45.78,45.8300,8306301,November,Tuesday,2017,KO,-0.0034790171776473947,2,11,0.00808213193534289
23,31,2017-11-27,45.8800,45.99,45.81,45.9000,5629616,November,Monday,2017,KO,0.00043591979075841366,1,11,0.003929273084479365
24,32,2017-11-24,45.8900,46.045,45.86,45.8800,2996338,November,Friday,2017,KO,-0.000217912399215472,5,11,0.004034016572176238
25,33,2017-11-22,45.8900,45.93,45.54,45.8400,8121139,November,Wednesday,2017,KO,-0.001089561996077515,3,11,0.008563899868247706
26,34,2017-11-21,45.5600,45.95,45.54,45.7800,10204728,November,Tuesday,2017,KO,0.004828797190517973,2,11,0.009003074220465606
27,35,2017-11-20,45.6500,45.88,45.42,45.4600,19146781,November,Monday,2017,KO,-0.004162102957283631,1,11,0.010127697049757835
28,36,2017-11-17,46.3400,46.38,45.25,45.7100,19691311,November,Friday,2017,KO,-0.013595166163142049,5,11,0.02497237569060779
29,37,2017-11-16,46.9500,46.98,46.51,46.5500,12495519,November,Thursday,2017,KO,-0.008519701810436755,4,11,0.010105353687379035
30,38,2017-11-15,47.3200,47.46,46.78,46.8100,12324043,November,Wednesday,2017,KO,-0.01077768385460689,3,11,0.014536126549807604
31,39,2017-11-14,46.7100,47.48,46.62,47.4300,17169630,November,Tuesday,2017,KO,0.015414258188824638,2,11,0.018447018447018435
32,40,2017-11-13,46.6000,46.815,46.54,46.7200,7631352,November,Monday,2017,KO,0.002575107296137284,1,11,0.005908895573700013
33,41,2017-11-10,46.2000,46.64,46.135,46.5400,8013644,November,Friday,2017,KO,0.007359307359307279,5,11,0.010946136339005149
34,42,2017-11-09,46.1200,46.385,46.02,46.2300,6501793,November,Thursday,2017,KO,0.0023850823937554087,4,11,0.007931334202520532
35,43,2017-11-08,45.9800,46.19,45.87,46.1800,7586867,November,Wednesday,2017,KO,0.004349717268377617,3,11,0.006976237192064537
36,44,2017-11-07,45.4100,45.95,45.31,45.9400,9787531,November,Tuesday,2017,KO,0.01167143800924909,2,11,0.014124917236813077
37,45,2017-11-06,45.9100,45.92,45.42,45.4700,7360021,November,Monday,2017,KO,-0.00958396863428442,1,11,0.011008366358432407
38,46,2017-11-03,45.9700,46.155,45.9166,45.9700,4720620,November,Friday,2017,KO,0.0,5,11,0.005192022057382267
39,47,2017-11-02,45.8100,45.95,45.745,45.8800,8269248,November,Thursday,2017,KO,0.0015280506439642062,4,11,0.004481364083506512
40,48,2017-11-01,45.7500,46.09,45.63,45.8000,7024854,November,Wednesday,2017,KO,0.001092896174863326,3,11,0.010081087004163946
41,49,2017-10-31,45.9200,46.17,45.84,45.9800,6482526,October,Tuesday,2017,KO,0.0013066202090591282,2,10,0.007198952879581114
42,50,2017-10-30,46.0000,46.07,45.82,45.8600,6851745,October,Monday,2017,KO,-0.0030434782608695777,1,10,0.005456132693147098
43,51,2017-10-27,46.1300,46.33,45.91,46.0700,9931689,October,Friday,2017,KO,-0.001300672013873884,5,10,0.009148333696362487
44,52,2017-10-26,46.3200,46.75,46.22,46.2300,10561881,October,Thursday,2017,KO,-0.001943005181347224,4,10,0.011466897446992669
45,53,2017-10-25,46.3700,46.76,45.93,46.0500,9439413,October,Wednesday,2017,KO,-0.006901013586370504,3,10,0.01807097757456996
46,54,2017-10-24,46.2600,46.29,45.95,46.1800,9388116,October,Tuesday,2017,KO,-0.001729355814958891,2,10,0.007399347116430822
47,55,2017-10-23,46.3800,46.65,46.23,46.3200,7128845,October,Monday,2017,KO,-0.0012936610608021188,1,10,0.009085009733939038
48,56,2017-10-20,46.5800,46.59,46.28,46.3800,9591795,October,Friday,2017,KO,-0.004293688278230909,5,10,0.006698357821953376
49,57,2017-10-19,46.3700,46.79,46.32,46.5900,6973054,October,Thursday,2017,KO,0.004744446840629846,4,10,0.010146804835923982
50,58,2017-10-18,46.4100,46.535,46.24,46.4000,6157712,October,Wednesday,2017,KO,-0.00021547080370605496,3,10,0.006379757785467011
51,59,2017-10-17,46.5300,46.63,46.31,46.5200,7654817,October,Tuesday,2017,KO,-0.00021491510853208706,2,10,0.006909954653422592
52,60,2017-10-16,46.1200,46.75,46.1003,46.6200,12592511,October,Monday,2017,KO,0.010841283607979185,1,10,0.014093183775376794
53,61,2017-10-13,46.2500,46.38,46.15,46.1800,7122198,October,Friday,2017,KO,-0.0015135135135135197,5,10,0.0049837486457205635
54,62,2017-10-12,45.9800,46.14,45.94,46.1100,7707846,October,Thursday,2017,KO,0.002827316224445467,4,10,0.0043535045711798614
55,63,2017-10-11,45.8800,46.2,45.87,46.1000,6509005,October,Wednesday,2017,KO,0.00479511769834348,3,10,0.007194244604316665
56,64,2017-10-10,45.6000,45.9,45.525,45.8700,6220910,October,Tuesday,2017,KO,0.00592105263157886,2,10,0.008237232289950576
57,65,2017-10-09,45.5500,45.65,45.34,45.4100,5246263,October,Monday,2017,KO,-0.0030735455543359075,1,10,0.006837229819144136
58,66,2017-10-06,45.3900,45.52,45.28,45.4900,5294079,October,Friday,2017,KO,0.0022031284423882224,5,10,0.005300353356890503
59,67,2017-10-05,45.5100,45.745,45.5,45.5200,9717924,October,Thursday,2017,KO,0.00021973192704911263,4,10,0.005384615384615328
60,68,2017-10-04,45.1100,45.56,44.935,45.5000,14057948,October,Wednesday,2017,KO,0.008645533141210388,3,10,0.01390897963725381
61,69,2017-10-03,44.8600,45.26,44.76,45.1900,11997860,October,Tuesday,2017,KO,0.007356219349086007,2,10,0.011170688114387846
62,70,2017-10-02,45.0500,45.265,44.745,44.8000,10640296,October,Monday,2017,KO,-0.0055493895671476145,1,10,0.01162141021343174
63,71,2017-09-29,44.8600,45.11,44.79,45.0100,9888913,September,Friday,2017,KO,0.003343736067766353,5,9,0.007144451886581833
64,72,2017-09-28,44.6700,45.0,44.65,44.9100,8752982,September,Thursday,2017,KO,0.005372733378105996,4,9,0.007838745800671924
65,73,2017-09-27,45.4700,45.5,44.38,44.6400,14574341,September,Wednesday,2017,KO,-0.018253793710138515,3,9,0.02523659305993685
66,74,2017-09-26,45.6900,45.87,45.56,45.5700,6416055,September,Tuesday,2017,KO,-0.002626395272488454,2,9,0.006804214223002527
67,75,2017-09-25,45.5000,45.76,45.35,45.6900,9128387,September,Monday,2017,KO,0.004175824175824126,1,9,0.009040793825799262
68,76,2017-09-22,45.4500,45.63,45.37,45.4900,7764073,September,Friday,2017,KO,0.0008800880088008613,5,9,0.005730659025788079
69,77,2017-09-21,45.7100,45.79,45.36,45.4000,7496605,September,Thursday,2017,KO,-0.006781885801793968,4,9,0.00947971781305114
70,78,2017-09-20,45.7600,46.145,45.55,45.7800,10846871,September,Wednesday,2017,KO,0.0004370629370630054,3,9,0.013062568605927683
71,79,2017-09-19,46.1400,46.19,45.89,45.9800,7266099,September,Tuesday,2017,KO,-0.003467706978760375,2,9,0.006537371976465399
72,80,2017-09-18,46.1500,46.24,45.91,46.1100,8532303,September,Monday,2017,KO,-0.0008667388949078906,1,9,0.007187976475713471
