,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,119.4600,120.57,119.42,119.9200,3092059,December,Friday,2017,PEP,0.0038506613092249117,5,12,0.009629877742421633
1,9,2017-12-28,119.3300,119.53,119.05,119.3500,1973663,December,Thursday,2017,PEP,0.0001676024469956928,4,12,0.0040319193616128015
2,10,2017-12-27,118.8700,119.4,118.8,119.3000,2386940,December,Wednesday,2017,PEP,0.0036173971565575218,3,12,0.005050505050505122
3,11,2017-12-26,118.4100,119.24,118.41,118.8900,2129395,December,Tuesday,2017,PEP,0.004053711679756811,2,12,0.007009543112912747
4,12,2017-12-22,118.6000,118.75,118.17,118.6000,2025125,December,Friday,2017,PEP,0.0,5,12,0.004908183126004894
5,13,2017-12-21,119.4500,119.57,117.84,118.2600,2743081,December,Thursday,2017,PEP,-0.00996232733361237,4,12,0.014680923285811182
6,14,2017-12-20,118.6600,119.12,117.56,119.0200,4154422,December,Wednesday,2017,PEP,0.003033878307770095,3,12,0.013269819666553268
7,15,2017-12-19,118.7200,119.385,118.23,118.6100,3910818,December,Tuesday,2017,PEP,-0.0009265498652291057,2,12,0.009769094138543526
8,16,2017-12-18,119.3600,119.74,118.0,118.0500,3436425,December,Monday,2017,PEP,-0.010975201072386078,1,12,0.014745762711864363
9,17,2017-12-15,118.6950,119.36,118.45,119.2200,6940062,December,Friday,2017,PEP,0.004423101225830959,5,12,0.007682566483748388
10,18,2017-12-14,118.0000,118.6,117.725,118.0200,4053960,December,Thursday,2017,PEP,0.0001694915254236951,4,12,0.007432575918454025
11,19,2017-12-13,117.5100,118.21,117.48,117.8000,2997981,December,Wednesday,2017,PEP,0.00246787507446168,3,12,0.006213823629553879
12,20,2017-12-12,117.6000,118.37,117.12,117.4000,2663241,December,Tuesday,2017,PEP,-0.001700680272108747,2,12,0.010672814207650273
13,21,2017-12-11,116.3300,117.435,115.56,117.3900,2405902,December,Monday,2017,PEP,0.009112008940084263,1,12,0.01622533748701973
14,22,2017-12-08,116.5200,116.6,115.9,116.5700,3095602,December,Friday,2017,PEP,0.0004291108822519495,5,12,0.0060396893874028355
