,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,56.8300,56.99,56.27,56.2700,8403394,December,Friday,2017,MRK,-0.009853950378321225,5,12,0.012795450506486561
1,9,2017-12-28,56.3400,56.8,56.3,56.6000,4848123,December,Thursday,2017,MRK,0.004614838480653142,4,12,0.008880994671403198
2,10,2017-12-27,56.3900,56.625,56.26,56.3400,5541590,December,Wednesday,2017,MRK,-0.0008866820358219038,3,12,0.0064877355136864915
3,11,2017-12-26,56.4900,56.6,56.27,56.3400,4404019,December,Tuesday,2017,MRK,-0.0026553372278279087,2,12,0.005864581482139653
4,12,2017-12-22,56.5400,56.83,56.13,56.3600,7934596,December,Friday,2017,MRK,-0.003183586841174385,5,12,0.012471049349723779
5,13,2017-12-21,56.1600,56.795,56.08,56.6000,9891111,December,Thursday,2017,MRK,0.007834757834757922,4,12,0.012749643366619177
6,14,2017-12-20,56.3800,56.49,55.98,56.1100,13093292,December,Wednesday,2017,MRK,-0.004788932245477175,3,12,0.009110396570203736
7,15,2017-12-19,56.1100,56.6158,56.01,56.2300,9450195,December,Tuesday,2017,MRK,0.002138656211014034,2,12,0.01081592572754869
8,16,2017-12-18,56.3200,56.69,56.2,56.2200,11577605,December,Monday,2017,MRK,-0.0017755681818182071,1,12,0.008718861209964322
9,17,2017-12-15,56.2100,56.37,55.75,56.2400,21240948,December,Friday,2017,MRK,0.000533712862480006,5,12,0.011121076233183811
10,18,2017-12-14,56.6000,56.738,55.955,56.0100,10048156,December,Thursday,2017,MRK,-0.010424028268551296,4,12,0.013993387543561813
11,19,2017-12-13,56.9400,57.37,56.645,56.9100,13171793,December,Wednesday,2017,MRK,-0.0005268703898841085,3,12,0.01279901138670658
12,20,2017-12-12,56.8700,57.17,56.63,57.0700,13768582,December,Tuesday,2017,MRK,0.0035167926850712653,2,12,0.009535581847077505
13,21,2017-12-11,55.5700,56.635,55.56,56.3400,9742654,December,Monday,2017,MRK,0.013856397336692515,1,12,0.019348452123830018
14,22,2017-12-08,55.1200,55.57,54.66,55.5700,10355778,December,Friday,2017,MRK,0.008164005805515292,5,12,0.01664837175265283
15,23,2017-12-07,55.3800,55.84,54.68,54.7700,16451132,December,Thursday,2017,MRK,-0.011014806789454667,4,12,0.02121433796634974
16,24,2017-12-06,55.5500,55.93,54.185,54.3500,20052785,December,Wednesday,2017,MRK,-0.021602160216021526,3,12,0.03220448463596932
17,25,2017-12-05,56.1500,56.51,55.72,55.7700,11828923,December,Tuesday,2017,MRK,-0.006767586821015057,2,12,0.014178033022254113
18,26,2017-12-04,55.9300,56.71,55.87,56.2200,12846770,December,Monday,2017,MRK,0.005185052744502041,1,12,0.015034902452121057
19,27,2017-12-01,55.4000,55.975,55.22,55.8700,12092385,December,Friday,2017,MRK,0.008483754512635359,5,12,0.013672582397682046
20,28,2017-11-30,55.4200,55.89,55.03,55.2700,15400374,November,Thursday,2017,MRK,-0.0027066041140382277,4,11,0.01562783936034889
21,29,2017-11-29,55.0400,55.6546,54.93,55.3600,10477609,November,Wednesday,2017,MRK,0.005813953488372098,3,11,0.013191334425632667
22,30,2017-11-28,54.9300,55.125,54.41,54.9300,12449992,November,Tuesday,2017,MRK,0.0,2,11,0.013140966734056302
23,31,2017-11-27,54.4100,54.6,54.2,54.5500,10051128,November,Monday,2017,MRK,0.002573056423451582,1,11,0.007380073800737981
24,32,2017-11-24,54.5000,54.63,54.11,54.3500,4341296,November,Friday,2017,MRK,-0.0027522935779816255,5,11,0.00961005359452972
25,33,2017-11-22,54.2300,54.57,54.17,54.3700,7374403,November,Wednesday,2017,MRK,0.0025815969020837283,3,11,0.007384160974709222
26,34,2017-11-21,54.3600,54.85,54.18,54.2700,13711279,November,Tuesday,2017,MRK,-0.0016556291390727798,2,11,0.012366186784791467
