,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,84.6000,84.69,83.96,83.9600,756085,December,Friday,2017,NVS,-0.007565011820330977,5,12,0.008694616484040067
1,9,2017-12-28,84.6100,84.61,84.17,84.2500,723466,December,Thursday,2017,NVS,-0.004254816215577348,4,12,0.005227515741950787
2,10,2017-12-27,84.0400,84.06,83.765,83.8400,499650,December,Wednesday,2017,NVS,-0.002379819133745869,3,12,0.003521757297200522
3,11,2017-12-26,82.8400,83.32,82.84,83.1100,400166,December,Tuesday,2017,NVS,0.0032592950265571707,2,12,0.005794302269434932
4,12,2017-12-22,83.1000,83.13,82.77,82.9500,803727,December,Friday,2017,NVS,-0.0018050541516244462,5,12,0.004349401957230874
5,13,2017-12-21,83.0900,84.02,83.06,83.4900,1078804,December,Thursday,2017,NVS,0.0048140570465758994,4,12,0.011557909944618272
6,14,2017-12-20,83.8000,83.84,82.88,83.0500,1368849,December,Wednesday,2017,NVS,-0.008949880668257757,3,12,0.01158301158301168
7,15,2017-12-19,85.4700,85.47,84.72,84.7300,1107211,December,Tuesday,2017,NVS,-0.008658008658008599,2,12,0.008852691218130312
8,16,2017-12-18,84.9500,85.59,84.91,85.0700,1097676,December,Monday,2017,NVS,0.001412595644496649,1,12,0.00800847956660001
9,17,2017-12-15,84.5200,84.95,84.3,84.8600,1281851,December,Friday,2017,NVS,0.0040227165168007974,5,12,0.0077105575326216575
10,18,2017-12-14,84.8200,84.93,84.44,84.4700,890999,December,Thursday,2017,NVS,-0.004126385286488969,4,12,0.005802936996684144
11,19,2017-12-13,84.9300,85.1,84.46,84.6600,879329,December,Wednesday,2017,NVS,-0.0031790886612505617,3,12,0.007577551503670384
12,20,2017-12-12,83.8200,84.565,83.77,84.4600,980707,December,Tuesday,2017,NVS,0.007635409210212368,2,12,0.009490270980064483
13,21,2017-12-11,83.8300,84.09,83.68,83.8000,1126454,December,Monday,2017,NVS,-0.0003578671120124196,1,12,0.004899617590822139
14,22,2017-12-08,83.2200,84.18,83.2,83.9600,1054160,December,Friday,2017,NVS,0.008892093246815608,5,12,0.0117788461538462
15,23,2017-12-07,82.6100,83.09,82.53,82.8800,691589,December,Thursday,2017,NVS,0.0032683694467981602,4,12,0.006785411365564065
16,24,2017-12-06,83.0300,83.54,82.95,83.1800,1256817,December,Wednesday,2017,NVS,0.0018065759364085956,3,12,0.007112718505123609
17,25,2017-12-05,83.8100,84.23,83.72,83.8400,1017615,December,Tuesday,2017,NVS,0.00035795251163347016,2,12,0.006091734352603979
18,26,2017-12-04,86.0000,86.13,84.85,84.8800,997976,December,Monday,2017,NVS,-0.013023255813953541,1,12,0.015085444902769607
19,27,2017-12-01,85.5800,86.16,85.58,86.0500,1178747,December,Friday,2017,NVS,0.00549193736854404,5,12,0.006777284412245832
20,28,2017-11-30,85.5700,86.04,85.3323,85.8000,927978,November,Thursday,2017,NVS,0.0026878578941218183,4,11,0.008293459803614841
