,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,63.5900,63.83,63.12,63.3200,3188465,December,Friday,2017,ATVI,-0.004245950621166899,5,12,0.011248415716096338
1,9,2017-12-28,63.3400,63.5,62.6001,63.4000,3102865,December,Thursday,2017,ATVI,0.0009472687085569177,4,12,0.014375376397162343
2,10,2017-12-27,63.6700,63.7399,63.07,63.3400,4764842,December,Wednesday,2017,ATVI,-0.005182974713365766,3,12,0.010621531631520508
3,11,2017-12-26,64.2400,64.47,63.38,63.4500,3203245,December,Tuesday,2017,ATVI,-0.012297633872976216,2,12,0.01719785421268533
4,12,2017-12-22,64.8600,64.95,64.38,64.5100,3297781,December,Friday,2017,ATVI,-0.005396238051187085,5,12,0.008853681267474486
5,13,2017-12-21,64.5100,65.2,64.14,65.0800,3333438,December,Thursday,2017,ATVI,0.008835839404743345,4,12,0.016526348612410386
6,14,2017-12-20,65.3100,65.44,64.0061,64.3800,4676308,December,Wednesday,2017,ATVI,-0.014239779513091515,3,12,0.02240255225673794
7,15,2017-12-19,66.1000,66.25,64.3901,64.9000,5928911,December,Tuesday,2017,ATVI,-0.018154311649016472,2,12,0.028884875159380027
8,16,2017-12-18,67.0800,67.4,65.88,66.0100,6179536,December,Monday,2017,ATVI,-0.015951103160405385,1,12,0.023072252580449457
9,17,2017-12-15,65.4700,67.0,64.99,66.7300,9306372,December,Friday,2017,ATVI,0.019245455934015658,5,12,0.030927835051546473
10,18,2017-12-14,64.7000,65.45,64.54,65.0300,4683251,December,Thursday,2017,ATVI,0.005100463678516202,4,12,0.01409978308026025
11,19,2017-12-13,64.8500,65.28,64.3,64.6000,5405265,December,Wednesday,2017,ATVI,-0.0038550501156515036,3,12,0.015241057542768336
12,20,2017-12-12,64.1100,64.69,63.2,64.4000,6413495,December,Tuesday,2017,ATVI,0.004523475276867981,2,12,0.023575949367088525
13,21,2017-12-11,62.1400,63.18,62.14,63.1700,3495142,December,Monday,2017,ATVI,0.016575474734470567,1,12,0.016736401673640152
14,22,2017-12-08,62.2600,63.51,62.0403,62.4300,5742404,December,Friday,2017,ATVI,0.002730485062640567,5,12,0.023689440573304705
15,23,2017-12-07,60.8000,62.45,60.69,61.5700,6940997,December,Thursday,2017,ATVI,0.012664473684210578,4,12,0.028999835228209016
16,24,2017-12-06,59.4800,60.81,58.63,60.7500,8237480,December,Wednesday,2017,ATVI,0.021351714862138587,3,12,0.037182329865256686
17,25,2017-12-05,57.6350,60.72,57.29,59.5500,7587949,December,Tuesday,2017,ATVI,0.03322633816257481,2,12,0.05987083260603945
18,26,2017-12-04,62.3900,62.48,58.35,58.6000,12287139,December,Monday,2017,ATVI,-0.060746914569642554,1,12,0.07077977720651235
19,27,2017-12-01,61.9600,62.69,60.7128,61.9600,5414035,December,Friday,2017,ATVI,0.0,5,12,0.032566443978864365
20,28,2017-11-30,62.5500,62.73,60.86,62.4000,8942328,November,Thursday,2017,ATVI,-0.0023980815347721595,4,11,0.03072625698324018
21,29,2017-11-29,65.6100,65.71,61.95,62.0100,9258335,November,Wednesday,2017,ATVI,-0.054869684499314154,3,11,0.06069410815173512
22,30,2017-11-28,66.0200,66.46,65.84,65.9700,3336450,November,Tuesday,2017,ATVI,-0.000757346258709439,2,11,0.009416767922235576
23,31,2017-11-27,66.1800,66.45,65.63,65.7400,4079998,November,Monday,2017,ATVI,-0.0066485343003930475,1,11,0.012494286149626808
24,32,2017-11-24,65.1800,66.14,65.12,66.0300,1644818,November,Friday,2017,ATVI,0.013040810064436855,5,11,0.015663390663390602
25,33,2017-11-22,64.9100,66.31,64.89,65.1400,5711411,November,Wednesday,2017,ATVI,0.003543367739947681,3,11,0.021883186931730646
26,34,2017-11-21,64.4900,64.95,64.19,64.5000,3542389,November,Tuesday,2017,ATVI,0.00015506280043425517,2,11,0.011839850443994472
