,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,85.6300,86.05,85.5,85.5400,18162779,December,Friday,2017,MSFT,-0.0010510335162908933,5,12,0.006432748538011662
1,9,2017-12-28,85.9000,85.93,85.55,85.7200,9872795,December,Thursday,2017,MSFT,-0.0020954598370198697,4,12,0.004441846873173696
2,10,2017-12-27,85.6500,85.98,85.215,85.7100,13000828,December,Wednesday,2017,MSFT,0.0007005253940453947,3,12,0.008977292730153148
3,11,2017-12-26,85.3100,85.5346,85.03,85.4000,9737412,December,Tuesday,2017,MSFT,0.0010549759699918346,2,12,0.005934376102551998
4,12,2017-12-22,85.4000,85.63,84.92,85.5100,14033977,December,Friday,2017,MSFT,0.0012880562060889863,5,12,0.008360810174281603
5,13,2017-12-21,86.0500,86.1,85.4,85.5000,16638402,December,Thursday,2017,MSFT,-0.00639163277164436,4,12,0.008196721311475277
6,14,2017-12-20,86.2000,86.3,84.71,85.5200,23425009,December,Wednesday,2017,MSFT,-0.007888631090487317,3,12,0.018769920906622637
7,15,2017-12-19,86.3500,86.35,85.27,85.8300,23241979,December,Tuesday,2017,MSFT,-0.006022003474232728,2,12,0.012665650287322602
8,16,2017-12-18,87.1200,87.4999,86.23,86.3800,21551076,December,Monday,2017,MSFT,-0.008494031221304052,1,12,0.014726893192624291
9,17,2017-12-15,85.2600,87.09,84.88,86.8500,52430167,December,Friday,2017,MSFT,0.018648838845883052,5,12,0.026036757775683414
10,18,2017-12-14,85.4300,85.8739,84.53,84.6900,19080106,December,Thursday,2017,MSFT,-0.008662062507316036,4,12,0.015898497574825563
11,19,2017-12-13,85.7400,86.0,85.17,85.3500,21307911,December,Wednesday,2017,MSFT,-0.004548635409377194,3,12,0.009745215451450021
12,20,2017-12-12,85.3100,86.05,85.08,85.5800,23534946,December,Tuesday,2017,MSFT,0.0031649279099753374,2,12,0.011401034320639386
13,21,2017-12-11,84.2900,85.37,84.12,85.2300,19909119,December,Monday,2017,MSFT,0.011151975323288618,1,12,0.014859724203518781
14,22,2017-12-08,83.6300,84.58,83.33,84.1600,23825056,December,Friday,2017,MSFT,0.0063374387181633525,5,12,0.01500060002400096
15,23,2017-12-07,82.5400,82.8,82.0,82.4900,20378114,December,Thursday,2017,MSFT,-0.0006057669008966727,4,12,0.009756097560975575
16,24,2017-12-06,81.5500,83.14,81.43,82.7800,24821403,December,Wednesday,2017,MSFT,0.015082771305947321,3,12,0.020999631585410704
17,25,2017-12-05,81.3400,82.68,80.9801,81.5900,25512120,December,Tuesday,2017,MSFT,0.0030735185640521265,2,12,0.02099157694297752
18,26,2017-12-04,84.4200,84.4299,80.7,81.0800,37977732,December,Monday,2017,MSFT,-0.03956408434020378,1,12,0.046219330855018594
19,27,2017-12-01,83.6000,84.81,83.22,84.2600,29387325,December,Friday,2017,MSFT,0.007894736842105394,5,12,0.019105984138428303
20,28,2017-11-30,83.5100,84.52,83.34,84.1700,32998408,November,Thursday,2017,MSFT,0.007903245120344828,4,11,0.014158867290616661
21,29,2017-11-29,84.7100,84.9172,83.175,83.3400,27358477,November,Wednesday,2017,MSFT,-0.016172824932121244,3,11,0.020946197775773934
22,30,2017-11-28,84.0700,85.06,84.02,84.8800,21162639,November,Tuesday,2017,MSFT,0.009634828119424317,2,11,0.012378005236848445
23,31,2017-11-27,83.3100,83.98,83.3,83.8700,17603760,November,Monday,2017,MSFT,0.006721882126995586,1,11,0.008163265306122531
24,32,2017-11-24,83.0100,83.43,82.78,83.2600,7425503,November,Friday,2017,MSFT,0.003011685339115769,5,11,0.007852138197632346
