,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,109.4000,110.22,108.25,109.7800,1173865,December,Friday,2017,TTWO,0.003473491773308916,5,12,0.018198614318706688
1,9,2017-12-28,108.3000,109.81,107.115,109.5900,785273,December,Thursday,2017,TTWO,0.01191135734072028,4,12,0.025159874900807615
2,10,2017-12-27,108.6100,109.79,107.53,107.8000,874339,December,Wednesday,2017,TTWO,-0.007457876806923877,3,12,0.021017390495675674
3,11,2017-12-26,108.8700,109.02,107.68,108.2500,612333,December,Tuesday,2017,TTWO,-0.005694865435840953,2,12,0.012444279346210894
4,12,2017-12-22,110.5400,110.76,108.97,109.1400,724511,December,Friday,2017,TTWO,-0.012665098606839204,5,12,0.016426539414517816
5,13,2017-12-21,108.6600,111.16,107.46,110.4600,1128328,December,Thursday,2017,TTWO,0.01656543346217557,4,12,0.03443141634096411
6,14,2017-12-20,109.8600,109.86,107.66,108.7500,987089,December,Wednesday,2017,TTWO,-0.010103768432550514,3,12,0.020434701839123194
7,15,2017-12-19,109.7700,110.61,108.57,109.2800,2282054,December,Tuesday,2017,TTWO,-0.0044638790197685605,2,12,0.01878972091738055
8,16,2017-12-18,113.8000,114.46,108.96,110.3200,2469655,December,Monday,2017,TTWO,-0.03057996485061515,1,12,0.05047723935389134
9,17,2017-12-15,109.4900,111.95,109.36,111.1900,5185405,December,Friday,2017,TTWO,0.015526532103388464,5,12,0.023683247988295568
10,18,2017-12-14,107.3300,110.58,107.245,109.0200,1914914,December,Thursday,2017,TTWO,0.015745830615857614,4,12,0.03109702084013235
11,19,2017-12-13,108.0000,110.159,106.86,107.7400,2007666,December,Wednesday,2017,TTWO,-0.002407407407407455,3,12,0.03087216919333714
12,20,2017-12-12,107.9500,108.386,107.11,107.6200,1234410,December,Tuesday,2017,TTWO,-0.0030569708198239765,2,12,0.011912986649239066
13,21,2017-12-11,107.0000,108.4,105.69,108.2300,1656179,December,Monday,2017,TTWO,0.011495327102803776,1,12,0.025641025641025716
14,22,2017-12-08,107.6200,108.96,106.43,106.8100,1718254,December,Friday,2017,TTWO,-0.0075264820665304055,5,12,0.023771493000093836
15,23,2017-12-07,104.7200,108.27,104.58,106.5400,1949317,December,Thursday,2017,TTWO,0.017379679144385096,4,12,0.03528399311531839
16,24,2017-12-06,103.6100,105.52,103.05,104.8900,1933084,December,Wednesday,2017,TTWO,0.01235401988225076,3,12,0.023968947113051906
17,25,2017-12-05,101.4300,105.41,100.56,104.1900,3807911,December,Tuesday,2017,TTWO,0.027210884353741405,2,12,0.04822991249005563
18,26,2017-12-04,111.2800,111.39,99.87,102.1100,7430440,December,Monday,2017,TTWO,-0.08240474478792237,1,12,0.1153499549414238
19,27,2017-12-01,111.0500,112.0,107.805,110.7600,2968106,December,Friday,2017,TTWO,-0.0026114362899594063,5,12,0.0389128519085385
20,28,2017-11-30,112.4400,113.47,110.47,111.5500,7110275,November,Thursday,2017,TTWO,-0.007915332621842765,4,11,0.027156694125101837
21,29,2017-11-29,115.3700,116.0,108.41,111.4500,4408299,November,Wednesday,2017,TTWO,-0.03397763716737455,3,11,0.07001199151369804
22,30,2017-11-28,118.3400,119.12,116.1,116.1900,1747815,November,Tuesday,2017,TTWO,-0.018167990535744513,2,11,0.026012058570198195
23,31,2017-11-27,118.0000,118.15,116.5,117.7900,1602468,November,Monday,2017,TTWO,-0.0017796610169490995,1,11,0.014163090128755414
24,32,2017-11-24,118.0300,118.4,117.585,117.8800,1101034,November,Friday,2017,TTWO,-0.0012708633398289051,5,11,0.00693115618488763
25,33,2017-11-22,119.2000,119.71,117.21,117.9400,1336861,November,Wednesday,2017,TTWO,-0.01057046979865776,3,11,0.021329238119614367
26,34,2017-11-21,117.9500,120.21,117.95,119.0200,1558001,November,Tuesday,2017,TTWO,0.009071640525646402,2,11,0.019160661297159737
27,35,2017-11-20,118.1000,118.35,117.05,117.4000,1125633,November,Monday,2017,TTWO,-0.005927180355630725,1,11,0.011106364801366913
28,36,2017-11-17,118.6800,119.39,116.36,117.8200,2988862,November,Friday,2017,TTWO,-0.0072463768115943175,5,11,0.0260398762461327
29,37,2017-11-16,118.9500,119.71,118.1,118.9000,1650991,November,Thursday,2017,TTWO,-0.0004203446826397407,4,11,0.013632514817950884
30,38,2017-11-15,117.9000,118.8,116.37,117.3700,1624689,November,Wednesday,2017,TTWO,-0.0044953350296861845,3,11,0.020881670533642628
31,39,2017-11-14,118.2500,119.28,117.35,118.8800,2143505,November,Tuesday,2017,TTWO,0.0053276955602536615,2,11,0.016446527481891834
32,40,2017-11-13,114.6900,119.17,114.58,118.2600,2566459,November,Monday,2017,TTWO,0.03112738686895115,1,11,0.04005934718100893
33,41,2017-11-10,114.9100,115.9,114.06,115.6800,2003952,November,Friday,2017,TTWO,0.006700896353668178,5,11,0.016131860424338097
34,42,2017-11-09,117.1000,117.24,113.87,115.1600,3151566,November,Thursday,2017,TTWO,-0.016567036720751476,4,11,0.02959515236673391
35,43,2017-11-08,120.0000,120.62,116.35,117.6500,8317953,November,Wednesday,2017,TTWO,-0.019583333333333286,3,11,0.03669961323592617
36,44,2017-11-07,106.6400,106.87,103.88,106.3900,3496289,November,Tuesday,2017,TTWO,-0.0023443360840210052,2,11,0.028783211397766743
37,45,2017-11-06,109.4600,109.61,106.23,107.0000,2434725,November,Monday,2017,TTWO,-0.022473963091540233,1,11,0.031817753930151516
38,46,2017-11-03,109.5400,110.39,108.16,108.9300,1910102,November,Friday,2017,TTWO,-0.005568742012050387,5,11,0.020617603550295894
39,47,2017-11-02,110.3900,110.77,108.5,108.5000,1355746,November,Thursday,2017,TTWO,-0.017121116043119854,4,11,0.02092165898617508
40,48,2017-11-01,110.9100,111.11,108.83,110.5600,1633414,November,Wednesday,2017,TTWO,-0.0031557118384275026,3,11,0.020950105669392642
41,49,2017-10-31,110.0100,110.86,108.99,110.6500,1642063,October,Tuesday,2017,TTWO,0.0058176529406417645,2,10,0.017157537388751302
42,50,2017-10-30,108.4900,110.0,108.04,109.7100,1592499,October,Monday,2017,TTWO,0.01124527606230988,1,10,0.018141429100333152
43,51,2017-10-27,105.9000,108.04,105.47,107.8400,1383233,October,Friday,2017,TTWO,0.018319169027384303,5,10,0.024367118611927634
44,52,2017-10-26,105.0000,105.79,104.24,105.4300,838842,October,Thursday,2017,TTWO,0.00409523809523816,4,10,0.014869531849578007
45,53,2017-10-25,105.7000,105.7,103.31,104.8700,1032991,October,Wednesday,2017,TTWO,-0.007852412488174062,3,10,0.023134256122350212
46,54,2017-10-24,105.3700,105.86,104.87,105.2200,1236867,October,Tuesday,2017,TTWO,-0.0014235550915820982,2,10,0.009440259368742203
47,55,2017-10-23,105.6500,105.87,104.45,105.0100,683440,October,Monday,2017,TTWO,-0.006057737813535263,1,10,0.013595021541407388
48,56,2017-10-20,104.9800,105.29,104.57,104.9300,693167,October,Friday,2017,TTWO,-0.0004762811964183383,5,10,0.0068853399636608316
49,57,2017-10-19,103.5900,104.81,102.1,104.5600,830944,October,Thursday,2017,TTWO,0.009363838208321255,4,10,0.0265426052889325
50,58,2017-10-18,105.0200,105.37,104.1,104.6100,891618,October,Wednesday,2017,TTWO,-0.0039040182822319236,3,10,0.012199807877041405
51,59,2017-10-17,104.5900,104.82,103.27,103.9000,752324,October,Tuesday,2017,TTWO,-0.006597189023807225,2,10,0.01500919918659821
52,60,2017-10-16,105.0000,105.26,104.38,104.7800,724539,October,Monday,2017,TTWO,-0.0020952380952380845,1,10,0.008430733857060833
53,61,2017-10-13,104.1900,104.75,103.55,104.5800,1128827,October,Friday,2017,TTWO,0.0037431615318168784,5,10,0.011588604538870138
