,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,14.0300,14.06,13.97,14.0600,4385,December,Friday,2017,TYO,0.002138275124732797,5,12,0.006442376521116668
1,9,2017-12-28,14.0500,14.1099,14.0,14.1099,241557,December,Thursday,2017,TYO,0.004263345195729463,4,12,0.007849999999999977
2,10,2017-12-27,14.0500,14.24,14.05,14.0700,30118,December,Wednesday,2017,TYO,0.0014234875444839553,3,12,0.013523131672597829
3,11,2017-12-26,14.2500,14.25,14.1818,14.2002,5740,December,Tuesday,2017,TYO,-0.003494736842105221,2,12,0.004808980524333945
4,12,2017-12-22,14.2800,14.285,14.2001,14.2001,9928,December,Friday,2017,TYO,-0.005595238095237993,5,12,0.005978831134991958
5,13,2017-12-21,14.3200,14.32,14.2545,14.2615,2609,December,Thursday,2017,TYO,-0.004085195530726287,4,12,0.004595040162755629
6,14,2017-12-20,14.2600,14.36,14.2011,14.3400,75972,December,Wednesday,2017,TYO,0.005610098176718098,3,12,0.011189274070318436
7,15,2017-12-19,14.1100,14.245,14.0455,14.2200,325409,December,Tuesday,2017,TYO,0.007795889440113481,2,12,0.014203837528033796
8,16,2017-12-18,13.9300,14.0,13.91,13.9857,28224,December,Monday,2017,TYO,0.0039985642498205215,1,12,0.006470165348670011
9,17,2017-12-15,13.8900,13.9665,13.89,13.9500,1432,December,Friday,2017,TYO,0.004319654427645696,5,12,0.005507559395248333
10,18,2017-12-14,13.9600,13.96,13.86,13.8700,5167,December,Thursday,2017,TYO,-0.006446991404011578,4,12,0.007215007215007318
11,19,2017-12-13,14.0000,14.0,13.87,13.8900,4336,December,Wednesday,2017,TYO,-0.007857142857142816,3,12,0.00937274693583279
12,20,2017-12-12,14.0600,14.065,14.03,14.0500,10087,December,Tuesday,2017,TYO,-0.0007112375533428014,2,12,0.0024946543121881783
13,21,2017-12-11,13.9200,13.98,13.92,13.9462,1349,December,Monday,2017,TYO,0.0018821839080459292,1,12,0.004310344827586242
14,22,2017-12-08,13.9650,14.0,13.965,14.0000,734,December,Friday,2017,TYO,0.0025062656641604113,5,12,0.0025062656641604113
15,23,2017-12-07,13.8463,13.96,13.8463,13.9600,11308,December,Thursday,2017,TYO,0.008211579988878002,4,12,0.008211579988878002
16,24,2017-12-06,13.8300,13.8872,13.81,13.8300,18401,December,Wednesday,2017,TYO,0.0,3,12,0.005590152063721904
17,25,2017-12-05,14.0200,14.02,13.98,13.9800,7031,December,Tuesday,2017,TYO,-0.0028530670470755456,2,12,0.0028612303290414267
18,26,2017-12-04,14.0500,14.0703,14.0,14.0000,13617,December,Monday,2017,TYO,-0.003558718861210015,1,12,0.005021428571428542
19,27,2017-12-01,14.0305,14.11,13.8,13.9001,8319,December,Friday,2017,TYO,-0.009294037988667535,5,12,0.022463768115941935
20,28,2017-11-30,14.0304,14.1301,14.0301,14.1301,3918,November,Thursday,2017,TYO,0.007105998403466782,4,11,0.00712753294702115
21,29,2017-11-29,13.9800,14.0399,13.98,13.9999,2904,November,Wednesday,2017,TYO,0.0014234620886981264,3,11,0.004284692417739553
22,30,2017-11-28,13.8000,13.84,13.78,13.8200,10391,November,Tuesday,2017,TYO,0.0014492753623188096,2,11,0.004354136429608164
23,31,2017-11-27,13.8300,13.9047,13.83,13.8414,2521,November,Monday,2017,TYO,0.0008242950108459926,1,11,0.005401301518438177
24,32,2017-11-24,13.8500,13.91,13.85,13.8800,1599,November,Friday,2017,TYO,0.0021660649819495404,5,11,0.004332129963898953
25,33,2017-11-22,13.9500,13.95,13.86,13.8600,2869,November,Wednesday,2017,TYO,-0.006451612903225797,3,11,0.0064935064935064835
26,34,2017-11-21,13.8600,14.02,13.86,13.9800,25750,November,Tuesday,2017,TYO,0.00865800865800873,2,11,0.011544011544011554
27,35,2017-11-20,13.9800,14.0,13.95,13.9800,7727,November,Monday,2017,TYO,0.0,1,11,0.0035842293906810548
28,36,2017-11-17,13.9000,13.9,13.9,13.9000,865,November,Friday,2017,TYO,0.0,5,11,0.0
29,37,2017-11-16,13.9500,13.95,13.92,13.9500,1681,November,Thursday,2017,TYO,0.0,4,11,0.0021551724137930574
30,38,2017-11-15,13.9700,13.97,13.85,13.8700,10091,November,Wednesday,2017,TYO,-0.007158196134574189,3,11,0.008664259927797907
31,39,2017-11-14,14.1000,14.1,14.02,14.0200,829,November,Tuesday,2017,TYO,-0.0056737588652482325,2,11,0.005706134094151218
32,40,2017-11-13,14.0800,14.09,13.99,14.0500,17284,November,Monday,2017,TYO,-0.002130681818181773,1,11,0.0071479628305932555
33,41,2017-11-10,13.9700,14.07,13.97,14.0700,655,November,Friday,2017,TYO,0.0071581961345740614,5,11,0.0071581961345740614
34,42,2017-11-09,13.8700,13.88,13.84,13.8500,1545,November,Thursday,2017,TYO,-0.001441961067051159,4,11,0.002890173410404691
35,43,2017-11-08,13.8400,13.84,13.77,13.8200,2482,November,Wednesday,2017,TYO,-0.0014450867052022813,3,11,0.005083514887436477
36,44,2017-11-07,13.8000,13.8,13.74,13.7400,1304,November,Tuesday,2017,TYO,-0.004347826086956557,2,11,0.004366812227074272
37,45,2017-11-06,13.8500,13.85,13.79,13.7900,927,November,Monday,2017,TYO,-0.004332129963898953,1,11,0.004350978970268347
38,46,2017-11-03,13.9000,13.92,13.89,13.9200,1289,November,Friday,2017,TYO,0.0014388489208632786,5,11,0.002159827213822848
39,47,2017-11-02,13.9100,13.94,13.87,13.9400,2362,November,Thursday,2017,TYO,0.002156721782889961,4,11,0.005046863734679184
40,48,2017-11-01,13.9800,13.98,13.95,13.9500,1689,November,Wednesday,2017,TYO,-0.002145922746781197,3,11,0.0021505376344086837
41,49,2017-10-31,14.0000,14.02,13.98,14.0000,1006,October,Tuesday,2017,TYO,0.0,2,10,0.0028612303290414267
42,50,2017-10-30,14.0200,14.04,13.98,14.0000,8416,October,Monday,2017,TYO,-0.0014265335235377728,1,10,0.00429184549356214
43,51,2017-10-27,14.2100,14.28,14.15,14.1500,10074,October,Friday,2017,TYO,-0.004222378606615095,5,10,0.009187279151943393
44,52,2017-10-26,14.2200,14.23,14.2,14.2000,2314,October,Thursday,2017,TYO,-0.0014064697609002354,4,10,0.002112676056338108
45,53,2017-10-25,14.3400,14.34,14.2,14.2200,30998,October,Wednesday,2017,TYO,-0.00836820083682003,3,10,0.009859154929577505
46,54,2017-10-24,14.1000,14.17,14.09,14.1200,8004,October,Tuesday,2017,TYO,0.0014184397163120265,2,10,0.005677785663591205
47,55,2017-10-23,14.0800,14.09,13.96,14.0900,1841,October,Monday,2017,TYO,0.0007102272727272576,1,10,0.009312320916905372
48,56,2017-10-20,14.0300,14.04,14.0,14.0000,26901,October,Friday,2017,TYO,-0.00213827512473267,5,10,0.0028571428571427964
49,57,2017-10-19,13.8100,13.83,13.8,13.8000,4981,October,Thursday,2017,TYO,-0.0007241129616219976,4,10,0.0021739130434782145
50,58,2017-10-18,13.9400,13.96,13.9,13.9000,4715,October,Wednesday,2017,TYO,-0.0028694404591104125,3,10,0.0043165467625899635
51,59,2017-10-17,13.8600,13.91,13.82,13.8400,756,October,Tuesday,2017,TYO,-0.0014430014430014122,2,10,0.006512301013024592
52,60,2017-10-16,13.7700,13.81,13.77,13.8100,876,October,Monday,2017,TYO,0.0029048656499637564,1,10,0.0029048656499637564
53,61,2017-10-13,13.7500,13.81,13.73,13.7500,4487,October,Friday,2017,TYO,0.0,5,10,0.005826656955571745
54,62,2017-10-12,13.9000,13.93,13.89,13.8900,753,October,Thursday,2017,TYO,-0.0007194244604316393,4,10,0.002879769618430464
55,63,2017-10-11,13.9900,13.99,13.92,13.9600,4459,October,Wednesday,2017,TYO,-0.0021443888491779386,3,10,0.005028735632183929
56,64,2017-10-10,13.9200,13.97,13.91,13.9700,1622,October,Tuesday,2017,TYO,0.003591954022988557,2,10,0.00431344356578005
57,65,2017-10-09,14.1000,14.1,13.94,13.9400,2379,October,Monday,2017,TYO,-0.011347517730496465,1,10,0.011477761836441905
58,66,2017-10-06,14.0800,14.15,13.97,14.0000,8701,October,Friday,2017,TYO,-0.005681818181818187,5,10,0.012884753042233335
59,67,2017-10-05,13.9400,14.0,13.94,13.9600,2891,October,Thursday,2017,TYO,0.0014347202295553337,4,10,0.004304160688665746
60,68,2017-10-04,13.8800,13.97,13.88,13.8900,2440,October,Wednesday,2017,TYO,0.0007204610951008491,3,10,0.006484149855907771
61,69,2017-10-03,13.9400,13.95,13.87,13.9300,7303,October,Tuesday,2017,TYO,-0.0007173601147776031,2,10,0.005767844268204764
62,70,2017-10-02,13.9500,14.0,13.95,14.0000,484,October,Monday,2017,TYO,0.0035842293906810548,1,10,0.0035842293906810548
63,71,2017-09-29,13.7400,13.95,13.74,13.9000,1797,September,Friday,2017,TYO,0.011644832605531306,5,9,0.015283842794759759
64,72,2017-09-28,14.0000,14.0,13.86,13.8900,2770,September,Thursday,2017,TYO,-0.007857142857142816,4,9,0.010101010101010142
65,73,2017-09-27,13.8600,13.88,13.86,13.8800,5062,September,Wednesday,2017,TYO,0.0014430014430015404,3,9,0.0014430014430015404
66,74,2017-09-26,13.6600,13.66,13.66,13.6600,9,September,Tuesday,2017,TYO,0.0,2,9,0.0
67,75,2017-09-25,13.7300,13.73,13.61,13.6600,746,September,Monday,2017,TYO,-0.0050983248361252936,1,9,0.008817046289493093
68,76,2017-09-22,13.7200,13.78,13.72,13.7500,7261,September,Friday,2017,TYO,0.002186588921282752,5,9,0.004373177842565504
69,77,2017-09-21,13.7400,13.8,13.74,13.8000,2071,September,Thursday,2017,TYO,0.004366812227074272,4,9,0.004366812227074272
70,78,2017-09-20,13.6900,13.8,13.69,13.8000,2029,September,Wednesday,2017,TYO,0.008035062089116233,3,9,0.008035062089116233
71,79,2017-09-19,13.7100,13.71,13.65,13.7100,489,September,Tuesday,2017,TYO,0.0,2,9,0.004395604395604432
72,80,2017-09-18,13.6500,13.7,13.65,13.6500,3100,September,Monday,2017,TYO,0.0,1,9,0.003663003663003585
73,81,2017-09-15,13.6100,13.61,13.56,13.6100,993,September,Friday,2017,TYO,0.0,5,9,0.0036873156342182105
74,82,2017-09-14,13.5800,13.62,13.57,13.5800,9579,September,Thursday,2017,TYO,0.0,4,9,0.003684598378776635
