,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,56.8300,56.9900,56.2700,56.2700,8403394,December,Friday,2017,MRK,-0.005830388692579475,5,12
1,7,2017-12-28,56.3400,56.8000,56.3000,56.6000,4848123,December,Thursday,2017,MRK,0.004614838480653142,4,12
2,8,2017-12-27,56.3900,56.6250,56.2600,56.3400,5541590,December,Wednesday,2017,MRK,0.0,3,12
3,9,2017-12-26,56.4900,56.6000,56.2700,56.3400,4404019,December,Tuesday,2017,MRK,-0.00035486160397437934,2,12
4,10,2017-12-22,56.5400,56.8300,56.1300,56.3600,7934596,December,Friday,2017,MRK,-0.004240282685512403,5,12
5,11,2017-12-21,56.1600,56.7950,56.0800,56.6000,9891111,December,Thursday,2017,MRK,0.008732846194974194,4,12
6,12,2017-12-20,56.3800,56.4900,55.9800,56.1100,13093292,December,Wednesday,2017,MRK,-0.0021340921216432057,3,12
7,13,2017-12-19,56.1100,56.6158,56.0100,56.2300,9450195,December,Tuesday,2017,MRK,0.0001778726431874424,2,12
8,14,2017-12-18,56.3200,56.6900,56.2000,56.2200,11577605,December,Monday,2017,MRK,-0.00035561877667146383,1,12
9,15,2017-12-15,56.2100,56.3700,55.7500,56.2400,21240948,December,Friday,2017,MRK,0.0041064095697197645,5,12
10,16,2017-12-14,56.6000,56.7380,55.9550,56.0100,10048156,December,Thursday,2017,MRK,-0.015814443858724277,4,12
11,17,2017-12-13,56.9400,57.3700,56.6450,56.9100,13171793,December,Wednesday,2017,MRK,-0.002803574557560955,3,12
12,18,2017-12-12,56.8700,57.1700,56.6300,57.0700,13768582,December,Tuesday,2017,MRK,0.012957046503372326,2,12
13,19,2017-12-11,55.5700,56.6350,55.5600,56.3400,9742654,December,Monday,2017,MRK,0.013856397336692515,1,12
14,20,2017-12-08,55.1200,55.5700,54.6600,55.5700,10355778,December,Friday,2017,MRK,0.014606536425050158,5,12
15,21,2017-12-07,55.3800,55.8400,54.6800,54.7700,16451132,December,Thursday,2017,MRK,0.007727690892364337,4,12
16,22,2017-12-06,55.5500,55.9300,54.1850,54.3500,20052785,December,Wednesday,2017,MRK,-0.025461717769410107,3,12
17,23,2017-12-05,56.1500,56.5100,55.7200,55.7700,11828923,December,Tuesday,2017,MRK,-0.008004268943436425,2,12
18,24,2017-12-04,55.9300,56.7100,55.8700,56.2200,12846770,December,Monday,2017,MRK,0.006264542688383773,1,12
