level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4531,2018-01-05,87.6600,88.4100,87.4300,88.1900,22526563,January,Friday,2018,MSFT,0.012398117322925018
4530,2018-01-04,86.5900,87.6600,86.5700,87.1100,21145985,January,Thursday,2018,MSFT,0.008801389693109498
4529,2018-01-03,86.0550,86.5100,85.9700,86.3500,24173064,January,Wednesday,2018,MSFT,0.004653868528213979
4528,2018-01-02,86.1250,86.3100,85.5000,85.9500,21993101,January,Tuesday,2018,MSFT,0.004793079261164328
4527,2017-12-29,85.6300,86.0500,85.5000,85.5400,18162779,December,Friday,2017,MSFT,-0.002099860009332625
4526,2017-12-28,85.9000,85.9300,85.5500,85.7200,9872795,December,Thursday,2017,MSFT,0.00011667250029174095
4525,2017-12-27,85.6500,85.9800,85.2150,85.7100,13000828,December,Wednesday,2017,MSFT,0.003629976580796113
4524,2017-12-26,85.3100,85.5346,85.0300,85.4000,9737412,December,Tuesday,2017,MSFT,-0.0012863992515495196
4523,2017-12-22,85.4000,85.6300,84.9200,85.5100,14033977,December,Friday,2017,MSFT,0.00011695906432754522
4522,2017-12-21,86.0500,86.1000,85.4000,85.5000,16638402,December,Thursday,2017,MSFT,-0.00023386342376047734
4521,2017-12-20,86.2000,86.3000,84.7100,85.5200,23425009,December,Wednesday,2017,MSFT,-0.0036117907491553334
4520,2017-12-19,86.3500,86.3500,85.2700,85.8300,23241979,December,Tuesday,2017,MSFT,-0.006367214633016869
4519,2017-12-18,87.1200,87.4999,86.2300,86.3800,21551076,December,Monday,2017,MSFT,-0.0054116292458261245
4518,2017-12-15,85.2600,87.0900,84.8800,86.8500,52430167,December,Friday,2017,MSFT,0.025504782146652458
4517,2017-12-14,85.4300,85.8739,84.5300,84.6900,19080106,December,Thursday,2017,MSFT,-0.00773286467486815
4516,2017-12-13,85.7400,86.0000,85.1700,85.3500,21307911,December,Wednesday,2017,MSFT,-0.0026875438186492635
4515,2017-12-12,85.3100,86.0500,85.0800,85.5800,23534946,December,Tuesday,2017,MSFT,0.004106535257538358
4514,2017-12-11,84.2900,85.3700,84.1200,85.2300,19909119,December,Monday,2017,MSFT,0.012713878326996286
4513,2017-12-08,83.6300,84.5800,83.3300,84.1600,23825056,December,Friday,2017,MSFT,0.020244878167050572
4512,2017-12-07,82.5400,82.8000,82.0000,82.4900,20378114,December,Thursday,2017,MSFT,-0.003503261657405246
4511,2017-12-06,81.5500,83.1400,81.4300,82.7800,24821403,December,Wednesday,2017,MSFT,0.014585120725579086
4510,2017-12-05,81.3400,82.6800,80.9801,81.5900,25512120,December,Tuesday,2017,MSFT,0.006290083867784967
4509,2017-12-04,84.4200,84.4299,80.7000,81.0800,37977732,December,Monday,2017,MSFT,-0.03774032755756001
4508,2017-12-01,83.6000,84.8100,83.2200,84.2600,29387325,December,Friday,2017,MSFT,0.0010692645835808888
4507,2017-11-30,83.5100,84.5200,83.3400,84.1700,32998408,November,Thursday,2017,MSFT,0.00995920326373888
4506,2017-11-29,84.7100,84.9172,83.1750,83.3400,27358477,November,Wednesday,2017,MSFT,-0.018143261074457965
4505,2017-11-28,84.0700,85.0600,84.0200,84.8800,21162639,November,Tuesday,2017,MSFT,0.01204244664361501
4504,2017-11-27,83.3100,83.9800,83.3000,83.8700,17603760,November,Monday,2017,MSFT,0.007326447273600762
4503,2017-11-24,83.0100,83.4300,82.7800,83.2600,7425503,November,Friday,2017,MSFT,0.0018048369630610718
4502,2017-11-22,83.8300,83.9000,83.0400,83.1100,20213704,November,Wednesday,2017,MSFT,-0.007286192068800758
4501,2017-11-21,82.7400,83.8400,82.7400,83.7200,21237454,November,Tuesday,2017,MSFT,0.014418999151823552
4500,2017-11-20,82.4000,82.5900,82.2500,82.5300,16072495,November,Monday,2017,MSFT,0.001577669902912566
4499,2017-11-17,83.1200,83.1200,82.2400,82.4000,21715498,November,Friday,2017,MSFT,-0.009615384615384581
4498,2017-11-16,83.1000,83.4200,82.9400,83.2000,20659209,November,Thursday,2017,MSFT,0.002651241262954915
4497,2017-11-15,83.4700,83.6900,82.6900,82.9800,19097333,November,Wednesday,2017,MSFT,-0.01273051754907785
4496,2017-11-14,83.5000,84.1000,82.9800,84.0500,18604034,November,Tuesday,2017,MSFT,0.0014297628976526907
4495,2017-11-13,83.6600,83.9400,83.4600,83.9300,14080820,November,Monday,2017,MSFT,0.0007153928699177569
4494,2017-11-10,83.7900,84.1000,83.2300,83.8700,19340435,November,Friday,2017,MSFT,-0.0026162444999405263
4493,2017-11-09,84.1100,84.2700,82.9000,84.0900,20924172,November,Thursday,2017,MSFT,-0.005558183538315975
4492,2017-11-08,84.1400,84.6100,83.8300,84.5600,18034170,November,Wednesday,2017,MSFT,0.0034413195680551355
4491,2017-11-07,84.7700,84.9000,83.9300,84.2700,17152583,November,Tuesday,2017,MSFT,-0.0023677045104771263
4490,2017-11-06,84.2000,84.7000,84.0800,84.4700,19039847,November,Monday,2017,MSFT,0.0039220347040646334
4489,2017-11-03,84.0800,84.5400,83.4000,84.1400,17569120,November,Friday,2017,MSFT,0.0010707911957168758
4488,2017-11-02,83.3500,84.4600,83.1200,84.0500,23822964,November,Thursday,2017,MSFT,0.010459245010819792
4487,2017-11-01,83.6800,83.7600,82.8800,83.1800,22039635,November,Wednesday,2017,MSFT,0.0
4486,2017-10-31,84.3600,84.3600,83.1100,83.1800,26728947,October,Tuesday,2017,MSFT,-0.0084634640600786
4485,2017-10-30,83.7000,84.3300,83.1100,83.8900,31291801,October,Monday,2017,MSFT,0.0009545400310225306
4484,2017-10-27,84.3700,86.2000,83.6100,83.8100,70877350,October,Friday,2017,MSFT,0.0641188420518029
4483,2017-10-26,79.2000,79.4200,78.7500,78.7600,29181652,October,Thursday,2017,MSFT,0.0016533129848659504
4482,2017-10-25,78.5800,79.1000,78.0100,78.6300,19714512,October,Wednesday,2017,MSFT,-0.0029165609941669284
4481,2017-10-24,78.9000,79.2000,78.4600,78.8600,16613928,October,Tuesday,2017,MSFT,0.0003805657744513654
4480,2017-10-23,78.9900,79.3400,78.7600,78.8300,20479731,October,Monday,2017,MSFT,0.0002537749016621751
4479,2017-10-20,78.3200,78.9700,78.2200,78.8100,22517092,October,Friday,2017,MSFT,0.01155179052753184
4478,2017-10-19,77.5700,77.9300,77.3500,77.9100,14982129,October,Thursday,2017,MSFT,0.003865481252415889
4477,2017-10-18,77.6700,77.8500,77.3700,77.6100,13147124,October,Wednesday,2017,MSFT,0.00025776517592468126
4476,2017-10-17,77.4700,77.6200,77.2500,77.5900,15953665,October,Tuesday,2017,MSFT,-0.0007726980038635193
4475,2017-10-16,77.4200,77.8100,77.3500,77.6500,12331147,October,Monday,2017,MSFT,0.00206478255258757
4474,2017-10-13,77.5900,77.8700,77.2900,77.4900,15250772,October,Friday,2017,MSFT,0.004797717842323526
4473,2017-10-12,76.4900,77.2900,76.3700,77.1200,16778148,October,Thursday,2017,MSFT,0.00915990578382626
4472,2017-10-11,76.3600,76.4600,75.9500,76.4200,14780652,October,Wednesday,2017,MSFT,0.001704024118495156
4471,2017-10-10,76.3300,76.6300,76.1400,76.2900,13734627,October,Tuesday,2017,MSFT,0.0
4470,2017-10-09,75.9700,76.5500,75.8600,76.2900,11364275,October,Monday,2017,MSFT,0.0038157894736842927
4469,2017-10-06,75.6700,76.0300,75.5400,76.0000,13692791,October,Friday,2017,MSFT,0.00039489272081086134
4468,2017-10-05,75.2200,76.1200,74.9600,75.9700,20656238,October,Thursday,2017,MSFT,0.017137501673584164
4467,2017-10-04,74.0900,74.7200,73.7100,74.6900,13287346,October,Wednesday,2017,MSFT,0.005790465930514309
4466,2017-10-03,74.6700,74.8800,74.1900,74.2600,11935853,October,Tuesday,2017,MSFT,-0.004691060179600514
4465,2017-10-02,74.7100,75.0100,74.3000,74.6100,15210338,October,Monday,2017,MSFT,0.0016109544905357036
4464,2017-09-29,73.9400,74.5400,73.8800,74.4900,16700435,September,Friday,2017,MSFT,0.008393123054013676
4463,2017-09-28,73.5400,73.9700,73.3100,73.8700,10814063,September,Thursday,2017,MSFT,0.0002708192281653383
4462,2017-09-27,73.5500,74.1700,73.1700,73.8500,18934048,September,Wednesday,2017,MSFT,0.008053508053507906
4461,2017-09-26,73.6700,73.8100,72.9900,73.2600,17105469,September,Tuesday,2017,MSFT,0.0
4460,2017-09-25,74.0900,74.2500,72.9200,73.2600,23502422,September,Monday,2017,MSFT,-0.015454911974196902
4459,2017-09-22,73.9900,74.5100,73.8500,74.4100,13969937,September,Friday,2017,MSFT,0.002695054574855179
4458,2017-09-21,75.1100,75.2400,74.1100,74.2100,19038998,September,Thursday,2017,MSFT,-0.009741126234320843
4457,2017-09-20,75.3500,75.5500,74.3100,74.9400,20415084,September,Wednesday,2017,MSFT,-0.006627783669141039
4456,2017-09-19,75.2100,75.7100,75.0100,75.4400,15606870,September,Tuesday,2017,MSFT,0.00372538584353381
4455,2017-09-18,75.2300,75.9700,75.0400,75.1600,22730355,September,Monday,2017,MSFT,-0.0019917673615722437
4454,2017-09-15,74.8300,75.3900,74.0700,75.3100,37901927,September,Friday,2017,MSFT,0.00722214792028897
4453,2017-09-14,75.0000,75.4900,74.5200,74.7700,15373384,September,Thursday,2017,MSFT,-0.0058502858662411615
4452,2017-09-13,74.9300,75.2300,74.5500,75.2100,12998629,September,Wednesday,2017,MSFT,0.007096946973754511
4451,2017-09-12,74.7600,75.2400,74.3700,74.6800,14003880,September,Tuesday,2017,MSFT,-0.0010700909577313843
4450,2017-09-11,74.3100,74.9400,74.3100,74.7600,17428067,September,Monday,2017,MSFT,0.010543390105433917
4449,2017-09-08,74.3300,74.4400,73.8400,73.9800,14474383,September,Friday,2017,MSFT,-0.00484261501210653
4448,2017-09-07,73.6800,74.6000,73.6000,74.3400,17165518,September,Thursday,2017,MSFT,0.012806539509536754
4447,2017-09-06,73.7400,74.0400,73.3500,73.4000,15945136,September,Wednesday,2017,MSFT,-0.00285287325091691
4446,2017-09-05,73.3400,73.8900,72.9800,73.6100,21432599,September,Tuesday,2017,MSFT,-0.0044630781714903745
4445,2017-09-01,74.7100,74.7400,73.6400,73.9400,21593192,September,Friday,2017,MSFT,-0.011100708840444007
4444,2017-08-31,74.0300,74.9600,73.8000,74.7700,26688077,August,Thursday,2017,MSFT,0.010268882583434547
