level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4527,2017-12-29,85.63,86.05,85.5,85.54,18162779,December,Friday,2017,MSFT,-0.002099860009332625
4526,2017-12-28,85.9,85.93,85.55,85.72,9872795,December,Thursday,2017,MSFT,0.00011667250029174096
4525,2017-12-27,85.65,85.98,85.215,85.71,13000828,December,Wednesday,2017,MSFT,0.0036299765807961135
4524,2017-12-26,85.31,85.5346,85.03,85.4,9737412,December,Tuesday,2017,MSFT,-0.0012863992515495196
4523,2017-12-22,85.4,85.63,84.92,85.51,14033977,December,Friday,2017,MSFT,0.00011695906432754522
4522,2017-12-21,86.05,86.1,85.4,85.5,16638402,December,Thursday,2017,MSFT,-0.00023386342376047734
4521,2017-12-20,86.2,86.3,84.71,85.52,23425009,December,Wednesday,2017,MSFT,-0.003611790749155333
4520,2017-12-19,86.35,86.35,85.27,85.83,23241979,December,Tuesday,2017,MSFT,-0.0063672146330168685
4519,2017-12-18,87.12,87.4999,86.23,86.38,21551076,December,Monday,2017,MSFT,-0.005411629245826125
4518,2017-12-15,85.26,87.09,84.88,86.85,52430167,December,Friday,2017,MSFT,0.025504782146652458
4517,2017-12-14,85.43,85.8739,84.53,84.69,19080106,December,Thursday,2017,MSFT,-0.00773286467486815
4516,2017-12-13,85.74,86.0,85.17,85.35,21307911,December,Wednesday,2017,MSFT,-0.0026875438186492635
4515,2017-12-12,85.31,86.05,85.08,85.58,23534946,December,Tuesday,2017,MSFT,0.0041065352575383575
4514,2017-12-11,84.29,85.37,84.12,85.23,19909119,December,Monday,2017,MSFT,0.012713878326996286
4513,2017-12-08,83.63,84.58,83.33,84.16,23825056,December,Friday,2017,MSFT,0.02024487816705057
4512,2017-12-07,82.54,82.8,82.0,82.49,20378114,December,Thursday,2017,MSFT,-0.0035032616574052467
4511,2017-12-06,81.55,83.14,81.43,82.78,24821403,December,Wednesday,2017,MSFT,0.014585120725579088
4510,2017-12-05,81.34,82.68,80.9801,81.59,25512120,December,Tuesday,2017,MSFT,0.006290083867784967
4509,2017-12-04,84.42,84.4299,80.7,81.08,37977732,December,Monday,2017,MSFT,-0.03774032755756001
4508,2017-12-01,83.6,84.81,83.22,84.26,29387325,December,Friday,2017,MSFT,0.0010692645835808886
4507,2017-11-30,83.51,84.52,83.34,84.17,32998408,November,Thursday,2017,MSFT,0.00995920326373888
4506,2017-11-29,84.71,84.9172,83.175,83.34,27358477,November,Wednesday,2017,MSFT,-0.018143261074457958
4505,2017-11-28,84.07,85.06,84.02,84.88,21162639,November,Tuesday,2017,MSFT,0.012042446643615009
4504,2017-11-27,83.31,83.98,83.3,83.87,17603760,November,Monday,2017,MSFT,0.0073264472736007625
4503,2017-11-24,83.01,83.43,82.78,83.26,7425503,November,Friday,2017,MSFT,0.0018048369630610718
4502,2017-11-22,83.83,83.9,83.04,83.11,20213704,November,Wednesday,2017,MSFT,-0.007286192068800758
4501,2017-11-21,82.74,83.84,82.74,83.72,21237454,November,Tuesday,2017,MSFT,0.014418999151823554
4500,2017-11-20,82.4,82.59,82.25,82.53,16072495,November,Monday,2017,MSFT,0.001577669902912566
4499,2017-11-17,83.12,83.12,82.24,82.4,21715498,November,Friday,2017,MSFT,-0.00961538461538458
4498,2017-11-16,83.1,83.42,82.94,83.2,20659209,November,Thursday,2017,MSFT,0.0026512412629549147
4497,2017-11-15,83.47,83.69,82.69,82.98,19097333,November,Wednesday,2017,MSFT,-0.01273051754907785
4496,2017-11-14,83.5,84.1,82.98,84.05,18604034,November,Tuesday,2017,MSFT,0.0014297628976526911
4495,2017-11-13,83.66,83.94,83.46,83.93,14080820,November,Monday,2017,MSFT,0.0007153928699177569
4494,2017-11-10,83.79,84.1,83.23,83.87,19340435,November,Friday,2017,MSFT,-0.002616244499940527
4493,2017-11-09,84.11,84.27,82.9,84.09,20924172,November,Thursday,2017,MSFT,-0.005558183538315975
4492,2017-11-08,84.14,84.61,83.83,84.56,18034170,November,Wednesday,2017,MSFT,0.0034413195680551355
