,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,84.6000,84.6900,83.9600,83.9600,756085,December,Friday,2017,NVS,-0.0034421364985163946,5,12
1,7,2017-12-28,84.6100,84.6100,84.1700,84.2500,723466,December,Thursday,2017,NVS,0.004890267175572478,4,12
2,8,2017-12-27,84.0400,84.0600,83.7650,83.8400,499650,December,Wednesday,2017,NVS,0.00878353988689693,3,12
3,9,2017-12-26,82.8400,83.3200,82.8400,83.1100,400166,December,Tuesday,2017,NVS,0.0019288728149487232,2,12
4,10,2017-12-22,83.1000,83.1300,82.7700,82.9500,803727,December,Friday,2017,NVS,-0.006467840459935227,5,12
5,11,2017-12-21,83.0900,84.0200,83.0600,83.4900,1078804,December,Thursday,2017,NVS,0.005298013245033086,4,12
6,12,2017-12-20,83.8000,83.8400,82.8800,83.0500,1368849,December,Wednesday,2017,NVS,-0.01982768794995877,3,12
7,13,2017-12-19,85.4700,85.4700,84.7200,84.7300,1107211,December,Tuesday,2017,NVS,-0.003996708592923348,2,12
8,14,2017-12-18,84.9500,85.5900,84.9100,85.0700,1097676,December,Monday,2017,NVS,0.002474664152722057,1,12
9,15,2017-12-15,84.5200,84.9500,84.3000,84.8600,1281851,December,Friday,2017,NVS,0.004617023795430337,5,12
10,16,2017-12-14,84.8200,84.9300,84.4400,84.4700,890999,December,Thursday,2017,NVS,-0.00224427120245686,4,12
11,17,2017-12-13,84.9300,85.1000,84.4600,84.6600,879329,December,Wednesday,2017,NVS,0.0023679848448970265,3,12
12,18,2017-12-12,83.8200,84.5650,83.7700,84.4600,980707,December,Tuesday,2017,NVS,0.007875894988066786,2,12
13,19,2017-12-11,83.8300,84.0900,83.6800,83.8000,1126454,December,Monday,2017,NVS,-0.0019056693663648953,1,12
14,20,2017-12-08,83.2200,84.1800,83.2000,83.9600,1054160,December,Friday,2017,NVS,0.013030888030888012,5,12
15,21,2017-12-07,82.6100,83.0900,82.5300,82.8800,691589,December,Thursday,2017,NVS,-0.003606636210627691,4,12
16,22,2017-12-06,83.0300,83.5400,82.9500,83.1800,1256817,December,Wednesday,2017,NVS,-0.007872137404580112,3,12
17,23,2017-12-05,83.8100,84.2300,83.7200,83.8400,1017615,December,Tuesday,2017,NVS,-0.012252591894439115,2,12
18,24,2017-12-04,86.0000,86.1300,84.8500,84.8800,997976,December,Monday,2017,NVS,-0.013596746077861729,1,12
19,25,2017-12-01,85.5800,86.1600,85.5800,86.0500,1178747,December,Friday,2017,NVS,0.002913752913752914,5,12
20,26,2017-11-30,85.5700,86.0400,85.3323,85.8000,927978,November,Thursday,2017,NVS,0.007633587786259441,4,11
21,27,2017-11-29,85.0100,85.3600,84.9600,85.1500,1004469,November,Wednesday,2017,NVS,-0.0025770176877122977,3,11
22,28,2017-11-28,85.0200,85.4800,84.7400,85.3700,1306220,November,Tuesday,2017,NVS,0.010056791292001994,2,11
23,29,2017-11-27,85.0900,85.1100,84.4900,84.5200,836771,November,Monday,2017,NVS,-0.006582040432534113,1,11
24,30,2017-11-24,85.1800,85.3500,84.9000,85.0800,733965,November,Friday,2017,NVS,0.007102272727272659,5,11
25,31,2017-11-22,85.0500,85.2100,84.2800,84.4800,1540361,November,Wednesday,2017,NVS,0.0023730422401519085,3,11
26,32,2017-11-21,83.9000,84.5500,83.9000,84.2800,1944527,November,Tuesday,2017,NVS,0.012737322758952202,2,11
27,33,2017-11-20,84.0000,84.0400,83.1900,83.2200,4008604,November,Monday,2017,NVS,-0.009049773755656168,1,11
28,34,2017-11-17,83.6500,84.3000,83.2400,83.9800,1545668,November,Friday,2017,NVS,0.011563478679836281,5,11
29,35,2017-11-16,83.0300,83.3670,82.9300,83.0200,1216786,November,Thursday,2017,NVS,0.005084745762711886,4,11
30,36,2017-11-15,82.7500,82.9000,82.5700,82.6000,838953,November,Wednesday,2017,NVS,-0.005178851017704526,3,11
31,37,2017-11-14,82.7600,83.1000,82.6300,83.0300,1113819,November,Tuesday,2017,NVS,0.0038689396687221307,2,11
32,38,2017-11-13,82.4800,82.9600,82.4300,82.7100,1040018,November,Monday,2017,NVS,0.004005826656955551,1,11
33,39,2017-11-10,82.1400,82.4400,81.8300,82.3800,1182547,November,Friday,2017,NVS,-0.0012124151309409375,5,11
34,40,2017-11-09,82.0300,82.5700,81.6900,82.4800,1581584,November,Thursday,2017,NVS,-0.005546177959970988,4,11
35,41,2017-11-08,82.4600,83.0700,82.4500,82.9400,921780,November,Wednesday,2017,NVS,0.00667556742323094,3,11
36,42,2017-11-07,82.5700,82.7900,82.2100,82.3900,3413353,November,Tuesday,2017,NVS,-0.013293413173652688,2,11
37,43,2017-11-06,83.8200,83.9700,83.3800,83.5000,885528,November,Monday,2017,NVS,-0.002389486260454036,1,11
38,44,2017-11-03,83.0900,83.7100,83.0500,83.7000,844937,November,Friday,2017,NVS,0.01111379560280263,5,11
39,45,2017-11-02,83.0800,83.1400,82.5600,82.7800,1826193,November,Thursday,2017,NVS,0.00012081672103425295,4,11
40,46,2017-11-01,82.8000,83.6600,82.6800,82.7700,1946604,November,Wednesday,2017,NVS,0.0023007992249939177,3,11
41,47,2017-10-31,82.6800,82.7400,81.9300,82.5800,3104850,October,Tuesday,2017,NVS,0.010276486420357273,2,10
42,48,2017-10-30,81.4100,82.1000,81.3000,81.7400,2405611,October,Monday,2017,NVS,0.012636273538156542,1,10
43,49,2017-10-27,81.1500,81.3100,80.6000,80.7200,3063145,October,Friday,2017,NVS,-0.0023482882214806294,5,10
44,50,2017-10-26,81.3600,81.5600,80.7000,80.9100,3955808,October,Thursday,2017,NVS,-0.005653189136045323,4,10
45,51,2017-10-25,82.7200,82.7200,80.9100,81.3700,4091784,October,Wednesday,2017,NVS,-0.021171658847588006,3,10
46,52,2017-10-24,83.7000,83.7700,82.9600,83.1300,6958838,October,Tuesday,2017,NVS,-0.0323594459317891,2,10
47,53,2017-10-23,86.2200,86.5900,85.8000,85.9100,4253444,October,Monday,2017,NVS,0.0019827385117798194,1,10
48,54,2017-10-20,86.0500,86.0700,85.4900,85.7400,2026656,October,Friday,2017,NVS,-0.004874651810584978,5,10
49,55,2017-10-19,86.5600,86.6100,85.8500,86.1600,2113882,October,Thursday,2017,NVS,0.0013947001394699016,4,10
50,56,2017-10-18,86.1200,86.3100,85.8800,86.0400,1120561,October,Wednesday,2017,NVS,-0.0034746351633078197,3,10
51,57,2017-10-17,85.8500,86.5200,85.7600,86.3400,1294500,October,Tuesday,2017,NVS,-0.00034734282737062795,2,10
52,58,2017-10-16,86.3500,86.8700,86.1900,86.3700,857876,October,Monday,2017,NVS,0.0027864855451063407,1,10
53,59,2017-10-13,86.2800,86.3500,85.9800,86.1300,846361,October,Friday,2017,NVS,0.0016280962902663167,5,10
54,60,2017-10-12,86.1300,86.2300,85.8500,85.9900,1229317,October,Thursday,2017,NVS,-0.004630165528417707,4,10
55,61,2017-10-11,86.0300,86.5900,85.9300,86.3900,1619403,October,Wednesday,2017,NVS,0.007581059015628711,3,10
56,62,2017-10-10,85.4600,85.8000,85.1900,85.7400,1351851,October,Tuesday,2017,NVS,0.003393797542422376,2,10
