,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,36.2300,36.4900,36.2200,36.2200,11337557,December,Friday,2017,PFE,-0.004124278251305982,5,12
1,7,2017-12-28,36.3600,36.5300,36.2500,36.3700,6574788,December,Thursday,2017,PFE,0.001101018442058881,4,12
2,8,2017-12-27,36.3100,36.4600,36.2300,36.3300,8132093,December,Wednesday,2017,PFE,0.0033140016570007576,3,12
3,9,2017-12-26,36.0900,36.2700,35.9500,36.2100,10885234,December,Tuesday,2017,PFE,0.0019369120088544628,2,12
4,10,2017-12-22,36.2600,36.3800,36.0500,36.1400,8575461,December,Friday,2017,PFE,-0.0027593818984547854,5,12
5,11,2017-12-21,36.5850,36.6000,36.1900,36.2400,14577781,December,Thursday,2017,PFE,-0.006034009873834308,4,12
6,12,2017-12-20,36.9800,37.1400,36.4250,36.4600,14288514,December,Wednesday,2017,PFE,-0.01299404439631827,3,12
7,13,2017-12-19,37.1700,37.2300,36.8800,36.9400,13816019,December,Tuesday,2017,PFE,-0.005117155938594259,2,12
8,14,2017-12-18,37.1600,37.3500,37.0600,37.1300,16602604,December,Monday,2017,PFE,-0.0018817204301075344,1,12
9,15,2017-12-15,36.8100,37.2250,36.7100,37.2000,35613216,December,Friday,2017,PFE,0.020296215030170102,5,12
10,16,2017-12-14,36.6600,36.8900,36.3400,36.4600,14603725,December,Thursday,2017,PFE,-0.004912663755458508,4,12
11,17,2017-12-13,36.5700,36.8000,36.4700,36.6400,15678542,December,Wednesday,2017,PFE,0.0016402405686167926,3,12
12,18,2017-12-12,36.3600,36.8200,36.2500,36.5800,21907784,December,Tuesday,2017,PFE,0.010218171775752483,2,12
13,19,2017-12-11,35.7900,36.2600,35.6900,36.2100,13719146,December,Monday,2017,PFE,0.013150531617235558,1,12
14,20,2017-12-08,35.3200,35.7700,35.3200,35.7400,14580055,December,Friday,2017,PFE,0.006760563380281746,5,12
15,21,2017-12-07,35.5600,35.6400,35.1500,35.5000,15761894,December,Thursday,2017,PFE,-0.001687289088863956,4,12
16,22,2017-12-06,35.6900,35.8800,35.5100,35.5600,17049466,December,Wednesday,2017,PFE,-0.0019646365422396933,3,12
17,23,2017-12-05,36.1200,36.1850,35.5100,35.6300,22235224,December,Tuesday,2017,PFE,-0.01192457016084303,2,12
18,24,2017-12-04,36.4900,36.6200,36.0500,36.0600,13716972,December,Monday,2017,PFE,-0.007977991746905066,1,12
19,25,2017-12-01,36.2900,36.5000,36.0100,36.3500,18584945,December,Friday,2017,PFE,0.002482073910645433,5,12
20,26,2017-11-30,36.2100,36.4800,36.0800,36.2600,22830776,November,Thursday,2017,PFE,0.0013808340237502668,4,11
21,27,2017-11-29,35.9400,36.4100,35.8750,36.2100,15296837,November,Wednesday,2017,PFE,0.010041841004184085,3,11
22,28,2017-11-28,35.5900,35.8900,35.5200,35.8500,12682149,November,Tuesday,2017,PFE,0.010143702451394742,2,11
23,29,2017-11-27,35.5200,35.6500,35.3800,35.4900,9991179,November,Monday,2017,PFE,0.0,1,11
24,30,2017-11-24,35.5100,35.5600,35.3700,35.4900,6397307,November,Friday,2017,PFE,0.0016934801016088702,5,11
