Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,140.98,141.2074,139.58,139.72,4419945,December,Friday,2017,JNJ,-0.005976095617529905,5,12
1,7,2017-12-28,140.7,141.0,140.33,140.56,2237834,December,Thursday,2017,JNJ,-7.113893433869891e-05,4,12
2,8,2017-12-27,140.42,141.15,140.2,140.57,3645694,December,Wednesday,2017,JNJ,0.0034263687629380378,3,12
3,9,2017-12-26,140.46,140.54,139.68,140.09,3268365,December,Tuesday,2017,JNJ,-0.0002141021981159088,2,12
4,10,2017-12-22,140.9,141.35,140.04,140.12,4655340,December,Friday,2017,JNJ,-0.006663830993903289,5,12
5,11,2017-12-21,141.76,142.17,141.02,141.06,5501307,December,Thursday,2017,JNJ,-0.0007084159818645106,4,12
6,12,2017-12-20,142.29,142.58,141.08,141.16,5933448,December,Wednesday,2017,JNJ,-0.004372972210466953,3,12
7,13,2017-12-19,141.72,142.38,141.36,141.78,6453244,December,Tuesday,2017,JNJ,-0.00014104372355437398,2,12
8,14,2017-12-18,142.43,143.8,141.401,141.8,5821869,December,Monday,2017,JNJ,-0.004632879404745167,1,12
9,15,2017-12-15,142.73,143.14,141.78,142.46,12012749,December,Friday,2017,JNJ,0.0057183198023297,5,12
10,16,2017-12-14,143.6,143.62,141.61,141.65,5332273,December,Thursday,2017,JNJ,-0.008678004059066281,4,12
11,17,2017-12-13,142.5,143.43,142.21,142.89,5754026,December,Wednesday,2017,JNJ,0.0020336605890602533,3,12
12,18,2017-12-12,142.06,143.57,142.04,142.6,8013643,December,Tuesday,2017,JNJ,0.0103443389542299,2,12
13,19,2017-12-11,140.1,141.17,139.83,141.14,4325895,December,Monday,2017,JNJ,0.003912084785546503,1,12
14,20,2017-12-08,140.0,140.76,139.8,140.59,4343488,December,Friday,2017,JNJ,0.004142561245625402,5,12
15,21,2017-12-07,141.0,141.499,139.26,140.01,4705180,December,Thursday,2017,JNJ,-0.007443641003828239,4,12
16,22,2017-12-06,140.25,141.96,140.19,141.06,5304506,December,Wednesday,2017,JNJ,0.009952029784492123,3,12
17,23,2017-12-05,139.88,140.81,139.2,139.67,6738613,December,Tuesday,2017,JNJ,0.004747859866196653,2,12
18,24,2017-12-04,140.62,141.5,138.93,139.01,5547138,December,Monday,2017,JNJ,-0.006929561365909408,1,12
19,25,2017-12-01,139.57,140.53,138.6,139.98,5990487,December,Friday,2017,JNJ,0.004665183377592602,5,12
20,26,2017-11-30,140.06,140.28,138.48,139.33,8941892,November,Thursday,2017,JNJ,-0.003433230813246476,4,11
21,27,2017-11-29,140.22,140.63,138.95,139.81,5851449,November,Wednesday,2017,JNJ,-0.001499785744893643,3,11
22,28,2017-11-28,138.3,140.53,138.2517,140.02,4990975,November,Tuesday,2017,JNJ,0.013902968863142766,2,11
23,29,2017-11-27,137.51,138.31,137.48,138.1,3929055,November,Monday,2017,JNJ,0.0006521266574886125,1,11
24,30,2017-11-24,137.5,138.38,137.31,138.01,2606832,November,Friday,2017,JNJ,0.00524437322456114,5,11
25,31,2017-11-22,138.3,138.38,136.6,137.29,3917002,November,Wednesday,2017,JNJ,-0.007589995662859703,3,11
26,32,2017-11-21,138.45,139.26,138.19,138.34,5654616,November,Tuesday,2017,JNJ,0.00297252229391718,2,11
27,33,2017-11-20,138.15,138.56,137.74,137.93,4262306,November,Monday,2017,JNJ,-0.0005072463768115448,1,11
