,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,54.1200,54.15,53.58,53.5800,3931277,December,Friday,2017,USB,-0.009977827050997767,5,12,0.01063829787234043
1,9,2017-12-28,53.9200,54.01,53.705,53.9500,3216021,December,Thursday,2017,USB,0.000556379821958478,4,12,0.0056791732613350665
2,10,2017-12-27,54.0900,54.2264,53.895,54.0700,3682804,December,Wednesday,2017,USB,-0.00036975411351457065,3,12,0.006148993413118008
3,11,2017-12-26,54.4900,54.67,53.83,54.0100,2799110,December,Tuesday,2017,USB,-0.008808955771701302,2,12,0.015604681404421391
4,12,2017-12-22,54.6600,54.85,54.15,54.4600,3786057,December,Friday,2017,USB,-0.0036589828027807493,5,12,0.01292705447830107
5,13,2017-12-21,54.6900,54.81,54.255,54.5300,3880382,December,Thursday,2017,USB,-0.0029255805448893143,4,12,0.010229471938070217
6,14,2017-12-20,55.0500,55.18,54.0695,54.2600,5524145,December,Wednesday,2017,USB,-0.014350590372388722,3,12,0.020538381157584256
7,15,2017-12-19,55.0500,55.13,54.54,54.5600,5828074,December,Tuesday,2017,USB,-0.008900999091734694,2,12,0.01081774844151088
8,16,2017-12-18,54.9800,55.16,54.65,54.7800,5284342,December,Monday,2017,USB,-0.0036376864314295334,1,12,0.009332113449222287
9,17,2017-12-15,54.6000,54.92,54.23,54.5000,11020587,December,Friday,2017,USB,-0.0018315018315018575,5,12,0.012723584731698412
10,18,2017-12-14,54.6300,54.85,54.08,54.1500,4452185,December,Thursday,2017,USB,-0.008786381109280688,4,12,0.014238165680473432
11,19,2017-12-13,55.4400,55.62,54.57,54.6000,5000179,December,Wednesday,2017,USB,-0.015151515151515086,3,12,0.01924134139637158
12,20,2017-12-12,54.6500,55.81,54.65,55.5000,6032051,December,Tuesday,2017,USB,0.015553522415370566,2,12,0.02122598353156457
13,21,2017-12-11,55.2500,55.58,55.115,55.2700,3855865,December,Monday,2017,USB,0.00036199095022630093,1,12,0.008436904653905402
14,22,2017-12-08,55.1000,55.36,54.51,55.3600,4335749,December,Friday,2017,USB,0.004718693284936443,5,12,0.015593469088240717
15,23,2017-12-07,54.3500,55.08,54.23,54.9000,4404379,December,Thursday,2017,USB,0.0101195952161913,4,12,0.015673981191222597
16,24,2017-12-06,54.7400,55.03,54.425,54.5900,3806274,December,Wednesday,2017,USB,-0.00274022652539274,3,12,0.01111621497473595
17,25,2017-12-05,55.6300,55.8,54.655,54.8200,6004108,December,Tuesday,2017,USB,-0.014560488944813989,2,12,0.020949592900923904
18,26,2017-12-04,55.7700,56.425,55.63,55.6300,6470241,December,Monday,2017,USB,-0.002510310202617905,1,12,0.01429085026065063
19,27,2017-12-01,55.2300,55.39,53.7,54.9000,7258874,December,Friday,2017,USB,-0.005975013579576287,5,12,0.031471135940409636
20,28,2017-11-30,55.0800,55.92,54.79,55.1500,8662938,November,Thursday,2017,USB,0.0012708787218591192,4,11,0.02062420149662352
21,29,2017-11-29,53.3800,54.949,53.37,54.7600,10938021,November,Wednesday,2017,USB,0.025852379168227715,3,11,0.02958590968709014
22,30,2017-11-28,51.7600,53.08,51.7,53.0200,5542628,November,Tuesday,2017,USB,0.024343122102009375,2,11,0.026692456479690433
23,31,2017-11-27,51.9000,51.99,51.69,51.7200,3727861,November,Monday,2017,USB,-0.003468208092485544,1,11,0.0058038305281486605
24,32,2017-11-24,52.0000,52.07,51.7,51.8300,1466876,November,Friday,2017,USB,-0.003269230769230802,5,11,0.007156673114119873
25,33,2017-11-22,51.8700,52.05,51.835,51.9100,4513050,November,Wednesday,2017,USB,0.0007711586658954916,3,11,0.0041477765988231175
26,34,2017-11-21,52.1500,52.15,51.64,51.8900,5194525,November,Tuesday,2017,USB,-0.004985618408437162,2,11,0.009876065065840395
27,35,2017-11-20,52.0300,52.03,51.735,51.9300,3273190,November,Monday,2017,USB,-0.0019219680953296448,1,11,0.005702135884797559
28,36,2017-11-17,51.5800,52.04,51.52,51.8800,3276472,November,Friday,2017,USB,0.005816207832493297,5,11,0.010093167701863276
29,37,2017-11-16,52.1800,52.25,51.78,51.8100,4010527,November,Thursday,2017,USB,-0.00709083940206971,4,11,0.00907686365392041
30,38,2017-11-15,51.4100,52.18,51.35,52.0100,5164686,November,Wednesday,2017,USB,0.011670881151526969,3,11,0.016163583252190812
31,39,2017-11-14,51.3800,51.84,51.33,51.8300,5459470,November,Tuesday,2017,USB,0.00875827170105091,2,11,0.009935710111046272
32,40,2017-11-13,51.4400,51.81,51.14,51.6800,5787756,November,Monday,2017,USB,0.004665629860031143,1,11,0.013101290574892486
33,41,2017-11-10,52.2200,52.36,51.58,51.6100,5454167,November,Friday,2017,USB,-0.011681348142474138,5,11,0.01512214036448238
34,42,2017-11-09,52.4100,52.56,51.78,52.1100,5918728,November,Thursday,2017,USB,-0.0057240984544933635,4,11,0.015063731170336058
35,43,2017-11-08,53.3400,53.44,52.63,52.6800,6242110,November,Wednesday,2017,USB,-0.012373453318335276,3,11,0.015390461713851323
36,44,2017-11-07,54.8000,54.94,53.375,53.4500,7532427,November,Tuesday,2017,USB,-0.024635036496350262,2,11,0.029320843091334852
37,45,2017-11-06,54.5400,54.96,54.31,54.8500,4874262,November,Monday,2017,USB,0.005683901723505726,1,11,0.011968329957650499
38,46,2017-11-03,54.6000,54.79,54.34,54.6500,4794306,November,Friday,2017,USB,0.0009157509157508637,5,11,0.008281192491718728
39,47,2017-11-02,54.3700,55.08,54.06,54.8800,4779764,November,Thursday,2017,USB,0.009380172889461195,4,11,0.018867924528301813
40,48,2017-11-01,54.5800,54.74,54.26,54.4800,4641127,November,Wednesday,2017,USB,-0.001832172957127179,3,11,0.008846295613711832
41,49,2017-10-31,54.1200,54.82,54.01,54.3800,5648632,October,Tuesday,2017,USB,0.004804138950480509,2,10,0.014997222736530315
42,50,2017-10-30,54.2200,54.45,54.04,54.2600,4028167,October,Monday,2017,USB,0.0007377351530800286,1,10,0.007586972612879417
43,51,2017-10-27,54.2100,54.46,53.9575,54.4400,4856347,October,Friday,2017,USB,0.004242759638443034,5,10,0.009312885141083218
44,52,2017-10-26,54.4700,54.6499,54.22,54.3000,5726497,October,Thursday,2017,USB,-0.0031209840279053003,4,10,0.00792880855772784
45,53,2017-10-25,54.4400,54.54,53.73,54.1550,4628800,October,Wednesday,2017,USB,-0.005235121234386418,3,10,0.015075376884422153
46,54,2017-10-24,54.4300,54.62,54.015,54.2100,6612646,October,Tuesday,2017,USB,-0.004041888664339498,2,10,0.011200592428029192
47,55,2017-10-23,54.0900,54.24,53.91,54.1300,4935993,October,Monday,2017,USB,0.0007395082270290099,1,10,0.006121313299944452
48,56,2017-10-20,54.1500,54.23,53.82,54.0900,6853300,October,Friday,2017,USB,-0.0011080332409971407,5,10,0.007617985878855381
49,57,2017-10-19,52.9700,53.91,52.97,53.5900,6171133,October,Thursday,2017,USB,0.011704738531244187,4,10,0.017745893902208754
50,58,2017-10-18,53.9100,53.91,52.335,53.2700,10594718,October,Wednesday,2017,USB,-0.01187163791504347,3,10,0.030094582975064406
51,59,2017-10-17,54.3500,54.4,53.75,53.8800,5208384,October,Tuesday,2017,USB,-0.008647654093836225,2,10,0.012093023255813927
52,60,2017-10-16,54.1200,54.42,53.99,54.2600,5095732,October,Monday,2017,USB,0.0025868440502586952,1,10,0.007964437858862746
53,61,2017-10-13,53.8000,54.44,53.565,54.1300,6315673,October,Friday,2017,USB,0.0061338289962826285,5,10,0.016335293568561563
54,62,2017-10-12,54.1200,54.34,53.89,53.9900,4233946,October,Thursday,2017,USB,-0.002402069475240123,4,10,0.008350343291890942
55,63,2017-10-11,54.1100,54.35,53.76,54.2600,4870677,October,Wednesday,2017,USB,0.002772130844575838,3,10,0.010974702380952444
56,64,2017-10-10,53.8600,54.265,53.82,54.2300,3261675,October,Tuesday,2017,USB,0.006869662086891895,2,10,0.008268301746562621
57,65,2017-10-09,54.2500,54.25,53.74,53.8500,2599819,October,Monday,2017,USB,-0.007373271889400896,1,10,0.009490137700037178
58,66,2017-10-06,53.9700,54.24,53.67,54.1800,4365606,October,Friday,2017,USB,0.003891050583657603,5,10,0.010620458356623817
59,67,2017-10-05,53.2100,54.0,52.95,53.7600,5684976,October,Thursday,2017,USB,0.010336402931779688,4,10,0.019830028328611842
60,68,2017-10-04,53.2300,53.41,53.095,53.1500,6454791,October,Wednesday,2017,USB,-0.0015029118917903117,3,10,0.005932762030322963
61,69,2017-10-03,53.3800,53.64,52.92,53.4700,6753187,October,Tuesday,2017,USB,0.0016860247283626134,2,10,0.013605442176870727
62,70,2017-10-02,53.2900,53.55,52.92,53.4400,8020546,October,Monday,2017,USB,0.0028147870144492135,1,10,0.011904761904761819
63,71,2017-09-29,53.4800,54.05,53.26,53.5900,7135780,September,Friday,2017,USB,0.0020568436798804515,5,9,0.014832895230942531
64,72,2017-09-28,53.7000,53.88,53.1044,53.4800,7633800,September,Thursday,2017,USB,-0.004096834264432141,4,9,0.014605192790051376
65,73,2017-09-27,54.1600,54.35,53.86,54.1500,7485908,September,Wednesday,2017,USB,-0.000184638109305724,3,9,0.009097660601559636
66,74,2017-09-26,53.6100,53.76,53.36,53.6000,4463003,September,Tuesday,2017,USB,-0.00018653236336500673,2,9,0.007496251874062942
67,75,2017-09-25,53.5000,53.8,53.265,53.6100,4445640,September,Monday,2017,USB,0.0020560747663551297,1,9,0.010044119027503925
68,76,2017-09-22,53.4800,53.71,53.05,53.6700,5539431,September,Friday,2017,USB,0.003552729992520659,5,9,0.012441093308199883
