,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,29.8500,29.8800,29.5200,29.5200,40133412,December,Friday,2017,BAC,-0.009395973154362454,5,12
1,7,2017-12-28,29.7300,29.8200,29.6600,29.8000,35842803,December,Thursday,2017,BAC,0.002354524049781375,4,12
2,8,2017-12-27,29.6600,29.7300,29.6010,29.7300,31827793,December,Wednesday,2017,BAC,-0.0016789791806581837,3,12
3,9,2017-12-26,29.7400,29.9400,29.5800,29.7800,42254735,December,Tuesday,2017,BAC,-0.0033467202141900226,2,12
4,10,2017-12-22,29.9650,30.0300,29.6200,29.8800,54073301,December,Friday,2017,BAC,0.002012072434607603,5,12
5,11,2017-12-21,29.5950,29.9800,29.5800,29.8200,72441696,December,Thursday,2017,BAC,0.011533242876526453,4,12
6,12,2017-12-20,29.7650,29.8400,29.4500,29.4800,80849633,December,Wednesday,2017,BAC,0.001018675721562008,3,12
7,13,2017-12-19,29.6250,29.6400,29.3700,29.4500,65397545,December,Tuesday,2017,BAC,-0.0010176390773406084,2,12
8,14,2017-12-18,29.3200,29.5000,29.2700,29.4800,69139708,December,Monday,2017,BAC,0.015151515151515195,1,12
9,15,2017-12-15,28.9050,29.1800,28.7400,29.0400,119265023,December,Friday,2017,BAC,0.010790114862513007,5,12
10,16,2017-12-14,29.0650,29.1800,28.7100,28.7300,59891544,December,Thursday,2017,BAC,-0.0038141470180304937,4,12
11,17,2017-12-13,29.3100,29.4400,28.8300,28.8400,78318859,December,Wednesday,2017,BAC,-0.016371077762619386,3,12
12,18,2017-12-12,29.0500,29.5000,28.9100,29.3200,75809939,December,Tuesday,2017,BAC,0.01313061506565304,2,12
13,19,2017-12-11,29.0500,29.1700,28.9000,28.9400,53618358,December,Monday,2017,BAC,-0.0037865748709122004,1,12
14,20,2017-12-08,29.0800,29.0900,28.7600,29.0500,60830895,December,Friday,2017,BAC,0.009381514940931188,5,12
15,21,2017-12-07,28.4500,28.9700,28.3700,28.7800,80517375,December,Thursday,2017,BAC,0.004888268156424601,4,12
16,22,2017-12-06,28.7300,28.9700,28.5700,28.6400,73902305,December,Wednesday,2017,BAC,-0.010024196335983379,3,12
17,23,2017-12-05,29.2700,29.3000,28.8500,28.9300,91034474,December,Tuesday,2017,BAC,-0.004473503097040572,2,12
18,24,2017-12-04,28.8500,29.3100,28.8200,29.0600,143880151,December,Monday,2017,BAC,0.034163701067615564,1,12
19,25,2017-12-01,28.2500,28.5100,27.5000,28.1000,133921854,December,Friday,2017,BAC,-0.0024849130280440285,5,12
20,26,2017-11-30,28.6200,28.7200,28.0800,28.1700,122131900,November,Thursday,2017,BAC,-0.0038896746817538696,4,11
21,27,2017-11-29,28.0200,28.4900,27.8400,28.2800,119728368,November,Wednesday,2017,BAC,0.023154848046309715,3,11
22,28,2017-11-28,26.6200,27.7000,26.5650,27.6400,95409925,November,Tuesday,2017,BAC,0.03948852952237686,2,11
23,29,2017-11-27,26.5200,26.9200,26.5100,26.5900,44606588,November,Monday,2017,BAC,0.0,1,11
24,30,2017-11-24,26.7200,26.7400,26.5700,26.5900,14269207,November,Friday,2017,BAC,-0.0026256564141035367,5,11
25,31,2017-11-22,26.7700,26.9000,26.5900,26.6600,37984951,November,Wednesday,2017,BAC,-0.002618780396558185,3,11
26,32,2017-11-21,26.8000,26.8600,26.6900,26.7300,57667414,November,Tuesday,2017,BAC,-0.00037397157815998545,2,11
27,33,2017-11-20,26.7400,26.8400,26.5400,26.7400,45279556,November,Monday,2017,BAC,0.00450788880540937,1,11
28,34,2017-11-17,26.5100,26.7300,26.4447,26.6200,48300548,November,Friday,2017,BAC,-0.005231689088191351,5,11
29,35,2017-11-16,26.9100,27.0500,26.7400,26.7600,54329575,November,Thursday,2017,BAC,-0.001119820828667323,4,11
30,36,2017-11-15,25.9900,26.9300,25.8100,26.7900,98124987,November,Wednesday,2017,BAC,0.020960365853658566,3,11
31,37,2017-11-14,26.2600,26.3500,26.0800,26.2400,61283437,November,Tuesday,2017,BAC,-0.006060606060606067,2,11
32,38,2017-11-13,26.2600,26.4800,26.1400,26.4000,55758728,November,Monday,2017,BAC,-0.004149377593361109,1,11
33,39,2017-11-10,26.5900,26.7400,26.4600,26.5100,60715402,November,Friday,2017,BAC,0.0007550018875048368,5,11
34,40,2017-11-09,26.4900,26.6600,26.1200,26.4900,94715530,November,Thursday,2017,BAC,-0.01119820828667416,4,11
35,41,2017-11-08,26.9600,26.9600,26.4900,26.7900,83128157,November,Wednesday,2017,BAC,-0.014348785871964701,3,11
36,42,2017-11-07,27.7400,27.7700,27.0200,27.1800,67802318,November,Tuesday,2017,BAC,-0.02054054054054055,2,11
37,43,2017-11-06,27.7400,27.8199,27.6200,27.7500,37009301,November,Monday,2017,BAC,-0.0025161754133716852,1,11
38,44,2017-11-03,27.7300,27.8200,27.6200,27.8200,37507075,November,Friday,2017,BAC,-0.0017940437746681273,5,11
39,45,2017-11-02,27.5100,27.9350,27.2750,27.8700,59447338,November,Thursday,2017,BAC,0.012350163458045762,4,11
40,46,2017-11-01,27.6400,27.7300,27.3600,27.5300,46349714,November,Wednesday,2017,BAC,0.005111354508944891,3,11
41,47,2017-10-31,27.6400,27.7200,27.3400,27.3900,49948285,October,Tuesday,2017,BAC,-0.007608695652173944,2,10
42,48,2017-10-30,27.6500,27.7600,27.4600,27.6000,50834744,October,Monday,2017,BAC,-0.007194244604316521,1,10
43,49,2017-10-27,27.6800,27.9600,27.6180,27.8000,57370313,October,Friday,2017,BAC,0.0021629416005768667,5,10
44,50,2017-10-26,27.6900,27.9800,27.6800,27.7400,55130369,October,Thursday,2017,BAC,0.0037995295820516324,4,10
45,51,2017-10-25,27.8900,27.9200,27.3400,27.6350,74498649,October,Wednesday,2017,BAC,-0.0016257225433525344,3,10
46,52,2017-10-24,27.3500,27.8400,27.3400,27.6800,89650873,October,Tuesday,2017,BAC,0.019145802650957274,2,10
47,53,2017-10-23,27.2200,27.4300,27.0900,27.1600,68483125,October,Monday,2017,BAC,-0.0003680529996320045,1,10
48,54,2017-10-20,27.0400,27.1800,26.9000,27.1700,83484210,October,Friday,2017,BAC,0.022197140707298852,5,10
49,55,2017-10-19,26.2000,26.5900,26.1500,26.5800,54361634,October,Thursday,2017,BAC,0.00377643504531714,4,10
50,56,2017-10-18,26.3400,26.5500,26.3300,26.4800,55149623,October,Wednesday,2017,BAC,0.010687022900763402,3,10
51,57,2017-10-17,26.3700,26.4300,26.1100,26.2000,48392625,October,Tuesday,2017,BAC,-0.0015243902439024066,2,10
52,58,2017-10-16,25.8700,26.3300,25.8700,26.2400,71718295,October,Monday,2017,BAC,0.01587301587301588,1,10
53,59,2017-10-13,25.3800,26.0000,25.1200,25.8300,103608867,October,Friday,2017,BAC,0.014931237721021572,5,10
