,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,75.1700,75.2900,74.3800,74.4100,10020995,December,Friday,2017,C,-0.00892381459776241,5,12
1,7,2017-12-28,74.9100,75.1700,74.8400,75.0800,7934819,December,Thursday,2017,C,0.0025370543463746524,4,12
2,8,2017-12-27,74.6700,75.0800,74.5200,74.8900,9650457,December,Wednesday,2017,C,0.0014709815458678714,3,12
3,9,2017-12-26,75.4500,75.7200,74.4150,74.7800,10852736,December,Tuesday,2017,C,-0.009405219234335592,2,12
4,10,2017-12-22,75.8700,75.9900,75.0500,75.4900,11491632,December,Friday,2017,C,-0.004352413611184362,5,12
5,11,2017-12-21,74.9800,76.0800,74.9400,75.8200,13907019,December,Thursday,2017,C,0.015537101526922002,4,12
6,12,2017-12-20,75.3700,75.7650,74.6100,74.6600,15611957,December,Wednesday,2017,C,-0.0005354752342704987,3,12
7,13,2017-12-19,75.9400,76.1500,74.6500,74.7000,16939060,December,Tuesday,2017,C,-0.012818818554248696,2,12
8,14,2017-12-18,75.3900,76.0050,75.2700,75.6700,16291919,December,Monday,2017,C,0.012036913200481553,1,12
9,15,2017-12-15,74.5000,75.1500,74.2700,74.7700,35798271,December,Friday,2017,C,0.011498917748917672,5,12
10,16,2017-12-14,75.2500,75.4305,73.7800,73.9200,22687542,December,Thursday,2017,C,-0.016236358796912414,4,12
11,17,2017-12-13,75.9500,76.3150,75.0500,75.1400,18922320,December,Wednesday,2017,C,-0.01326329612606704,3,12
12,18,2017-12-12,76.0400,76.8000,75.5244,76.1500,18063062,December,Tuesday,2017,C,0.003955174686882154,2,12
13,19,2017-12-11,75.5500,76.1300,75.5300,75.8500,10309149,December,Monday,2017,C,0.0018491612732796272,1,12
14,20,2017-12-08,75.3200,75.7200,74.9650,75.7100,12393028,December,Friday,2017,C,0.009735929581221521,5,12
