,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,61.4600,61.5800,60.6700,60.6700,10523617,December,Friday,2017,WFC,-0.010277324632952618,5,12
1,7,2017-12-28,61.0300,61.3100,60.9100,61.3000,10523325,December,Thursday,2017,WFC,0.00574241181296135,4,12
2,8,2017-12-27,61.1000,61.2400,60.6600,60.9500,8814128,December,Wednesday,2017,WFC,-0.0029445444135448996,3,12
3,9,2017-12-26,61.4950,61.7200,60.8000,61.1300,11504935,December,Tuesday,2017,WFC,-0.006823720552396338,2,12
4,10,2017-12-22,62.0200,62.2400,61.1900,61.5500,11625303,December,Friday,2017,WFC,-0.0009738678785911748,5,12
5,11,2017-12-21,60.7700,62.1150,60.6800,61.6100,21312814,December,Thursday,2017,WFC,0.024442966411706,4,12
6,12,2017-12-20,60.8100,61.0700,60.0600,60.1400,16000144,December,Wednesday,2017,WFC,-0.0036447978793903058,3,12
7,13,2017-12-19,61.1800,61.2700,60.2800,60.3600,16756730,December,Tuesday,2017,WFC,-0.00919238345370982,2,12
8,14,2017-12-18,60.4200,61.1300,60.3700,60.9200,19269294,December,Monday,2017,WFC,0.0175379989978287,1,12
9,15,2017-12-15,59.3600,60.6500,59.3500,59.8700,36043545,December,Friday,2017,WFC,0.010976021614319462,5,12
10,16,2017-12-14,59.4800,59.9900,59.2100,59.2200,14550713,December,Thursday,2017,WFC,-0.0030303030303030255,4,12
11,17,2017-12-13,60.3100,60.5000,59.3800,59.4000,16996351,December,Wednesday,2017,WFC,-0.015415216310293382,3,12
12,18,2017-12-12,58.7100,60.5600,58.7100,60.3300,24283560,December,Tuesday,2017,WFC,0.024800407677934448,2,12
13,19,2017-12-11,59.2700,59.3000,58.6200,58.8700,15600612,December,Monday,2017,WFC,-0.007418647782836028,1,12
14,20,2017-12-08,59.7100,59.9200,59.1450,59.3100,21749452,December,Friday,2017,WFC,-0.0008423180592991435,5,12
15,21,2017-12-07,58.4500,60.0000,58.2900,59.3600,32210127,December,Thursday,2017,WFC,0.013488133856923325,4,12
16,22,2017-12-06,58.5600,59.1000,58.1200,58.5700,26539700,December,Wednesday,2017,WFC,0.0003415883859949296,3,12
17,23,2017-12-05,57.6500,59.4100,57.4438,58.5500,39453005,December,Tuesday,2017,WFC,0.02021258058895272,2,12
18,24,2017-12-04,57.2700,57.9900,57.2000,57.3900,27884642,December,Monday,2017,WFC,0.021174377224199247,1,12
19,25,2017-12-01,56.5700,57.1800,55.4400,56.2000,31242412,December,Friday,2017,WFC,-0.004781299805206234,5,12
20,26,2017-11-30,57.0300,57.3300,56.3750,56.4700,30984403,November,Thursday,2017,WFC,-0.0037050105857445456,4,11
21,27,2017-11-29,55.8400,57.2500,55.7000,56.6800,29631806,November,Wednesday,2017,WFC,0.019974806550296913,3,11
22,28,2017-11-28,53.8700,55.8900,53.7200,55.5700,24892264,November,Tuesday,2017,WFC,0.030027803521779375,2,11
23,29,2017-11-27,54.0200,54.4600,53.8600,53.9500,10954581,November,Monday,2017,WFC,-0.0025882787946016,1,11
24,30,2017-11-24,54.1900,54.3100,54.0000,54.0900,5386489,November,Friday,2017,WFC,0.0005549389567147824,5,11
25,31,2017-11-22,54.4600,54.6200,54.0250,54.0600,11159888,November,Wednesday,2017,WFC,-0.008437270726338974,3,11
26,32,2017-11-21,54.0800,54.5790,53.9900,54.5200,13757036,November,Tuesday,2017,WFC,0.008695652173913155,2,11
27,33,2017-11-20,54.1200,54.2100,53.8500,54.0500,16531133,November,Monday,2017,WFC,-0.001846722068328743,1,11
28,34,2017-11-17,54.2100,54.4600,53.9700,54.1500,14944812,November,Friday,2017,WFC,-0.008241758241758294,5,11
29,35,2017-11-16,53.9500,54.8600,53.8600,54.6000,22845657,November,Thursday,2017,WFC,0.01581395348837212,4,11
30,36,2017-11-15,53.6300,54.1200,53.4900,53.7500,18238600,November,Wednesday,2017,WFC,-0.005366395262768304,3,11
31,37,2017-11-14,53.5200,54.1000,53.3200,54.0400,20830100,November,Tuesday,2017,WFC,0.005956813104988836,2,11
32,38,2017-11-13,53.5200,53.9100,53.4100,53.7200,13169283,November,Monday,2017,WFC,-0.0016725515703401488,1,11
33,39,2017-11-10,54.0200,54.1300,53.7900,53.8100,12881112,November,Friday,2017,WFC,-0.0035185185185184764,5,11
34,40,2017-11-09,53.9000,54.1900,53.2100,54.0000,24240951,November,Thursday,2017,WFC,-0.004791743457427166,4,11
35,41,2017-11-08,54.8000,54.9900,54.0500,54.2600,24047114,November,Wednesday,2017,WFC,-0.014350590372388722,3,11
36,42,2017-11-07,56.1700,56.2900,54.6700,55.0500,18139328,November,Tuesday,2017,WFC,-0.02011391954432187,2,11
37,43,2017-11-06,56.1000,56.4300,56.0000,56.1800,10377539,November,Monday,2017,WFC,-0.0030168589174800657,1,11
38,44,2017-11-03,56.2500,56.4400,55.9000,56.3500,9982760,November,Friday,2017,WFC,-0.0023016997167138007,5,11
39,45,2017-11-02,55.8000,56.5200,55.3500,56.4800,15345977,November,Thursday,2017,WFC,0.004803415762319801,4,11
40,46,2017-11-01,56.3200,56.8400,56.1900,56.2100,11629564,November,Wednesday,2017,WFC,0.0012468827930174613,3,11
41,47,2017-10-31,55.9500,56.5200,55.9000,56.1400,14332927,October,Tuesday,2017,WFC,0.005192479856759161,2,10
42,48,2017-10-30,55.4500,55.9600,55.3100,55.8500,12205797,October,Monday,2017,WFC,-0.00035797386790757153,1,10
43,49,2017-10-27,55.2300,56.0400,55.1300,55.8700,17226526,October,Friday,2017,WFC,0.004494786048184107,5,10
44,50,2017-10-26,55.4500,56.1700,55.4500,55.6200,15646446,October,Thursday,2017,WFC,0.006696832579185474,4,10
45,51,2017-10-25,55.4900,55.5800,54.8700,55.2500,13487351,October,Wednesday,2017,WFC,-0.003067484662576718,3,10
46,52,2017-10-24,55.0000,55.5600,55.0000,55.4200,18099399,October,Tuesday,2017,WFC,0.00928792569659452,2,10
47,53,2017-10-23,54.7500,55.0400,54.7000,54.9100,17910776,October,Monday,2017,WFC,-0.00018208302986171004,1,10
48,54,2017-10-20,54.2100,55.0700,54.0400,54.9200,27603515,October,Friday,2017,WFC,0.02176744186046515,5,10
49,55,2017-10-19,53.1100,53.9300,53.0000,53.7500,12436831,October,Thursday,2017,WFC,0.0063658490919304145,4,10
50,56,2017-10-18,53.4100,54.0700,53.3200,53.4100,21427469,October,Wednesday,2017,WFC,0.004136115811242694,3,10
51,57,2017-10-17,53.9800,54.0000,53.1200,53.1900,18452102,October,Tuesday,2017,WFC,-0.011338289962825269,2,10
52,58,2017-10-16,53.6500,53.9700,53.4200,53.8000,22716134,October,Monday,2017,WFC,0.00204879865896814,1,10
53,59,2017-10-13,53.4900,53.7100,52.8400,53.6900,35208723,October,Friday,2017,WFC,-0.02753124433979357,5,10
54,60,2017-10-12,55.6900,55.7100,55.0600,55.2100,14666966,October,Thursday,2017,WFC,-0.008084800574919076,4,10
55,61,2017-10-11,55.4400,55.7100,55.2600,55.6600,12392549,October,Wednesday,2017,WFC,0.0008991188635137054,3,10
56,62,2017-10-10,55.3700,55.7200,55.1500,55.6100,12771612,October,Tuesday,2017,WFC,0.008523757707653226,2,10
57,63,2017-10-09,55.6200,55.7000,54.9200,55.1400,11265346,October,Monday,2017,WFC,-0.007916516732637598,1,10
58,64,2017-10-06,55.4800,55.6800,55.2200,55.5800,11035898,October,Friday,2017,WFC,0.003430222061743956,5,10
59,65,2017-10-05,55.0000,55.7700,54.7800,55.3900,14453217,October,Thursday,2017,WFC,0.007823871906841334,4,10
60,66,2017-10-04,55.3100,55.3500,54.9000,54.9600,14169643,October,Wednesday,2017,WFC,-0.011155091759625719,3,10
61,67,2017-10-03,55.3300,55.6200,54.8500,55.5800,16746036,October,Tuesday,2017,WFC,0.001983053903010626,2,10
62,68,2017-10-02,55.1600,55.4700,54.8600,55.4700,11412009,October,Monday,2017,WFC,0.005802357207615599,1,10
63,69,2017-09-29,54.2500,55.2300,54.0900,55.1500,20615055,September,Friday,2017,WFC,0.016589861751152048,5,9
64,70,2017-09-28,54.2900,54.3300,53.7400,54.2500,14355647,September,Thursday,2017,WFC,0.000737871241468348,4,9
65,71,2017-09-27,54.4700,54.5300,54.0600,54.2100,15604679,September,Wednesday,2017,WFC,0.00762081784386624,3,9
66,72,2017-09-26,54.1000,54.2800,53.7600,53.8000,11502331,September,Tuesday,2017,WFC,-0.004256894317971571,2,9
67,73,2017-09-25,54.0700,54.3300,53.5500,54.0300,11479183,September,Monday,2017,WFC,-0.004055299539170486,1,9
68,74,2017-09-22,53.9200,54.3600,53.7500,54.2500,17758323,September,Friday,2017,WFC,0.00351461339252678,5,9
69,75,2017-09-21,53.5500,54.2400,53.5200,54.0600,15775315,September,Thursday,2017,WFC,0.005767441860465158,4,9
70,76,2017-09-20,53.3900,54.1100,53.2800,53.7500,21377841,September,Wednesday,2017,WFC,0.007308845577211405,3,9
71,77,2017-09-19,52.7200,53.5900,52.5300,53.3600,16861407,September,Tuesday,2017,WFC,0.012331625877442583,2,9
72,78,2017-09-18,51.6700,52.8400,51.6100,52.7100,20647794,September,Monday,2017,WFC,0.020325203252032603,1,9
73,79,2017-09-15,51.2800,51.6800,51.2500,51.6600,27432519,September,Friday,2017,WFC,0.007213881848313461,5,9
74,80,2017-09-14,51.5400,51.7200,51.0800,51.2900,13560314,September,Thursday,2017,WFC,-0.003303536727555416,4,9
75,81,2017-09-13,51.3900,51.5100,51.1800,51.4600,12384710,September,Wednesday,2017,WFC,-0.0021330230754314414,3,9
76,82,2017-09-12,50.8500,51.7300,50.8400,51.5700,17106508,September,Tuesday,2017,WFC,0.017962889853928223,2,9
77,83,2017-09-11,50.0000,50.8000,49.9400,50.6600,17650672,September,Monday,2017,WFC,0.02178297700685757,1,9
78,84,2017-09-08,49.6100,49.9800,49.4300,49.5800,18424728,September,Friday,2017,WFC,-0.002012882447665085,5,9
79,85,2017-09-07,49.9400,49.9400,49.2700,49.6800,23134696,September,Thursday,2017,WFC,-0.004009623095429087,4,9
80,86,2017-09-06,50.2500,50.2700,49.5600,49.8800,26527704,September,Wednesday,2017,WFC,-0.004391217564870237,3,9
81,87,2017-09-05,50.6300,50.6700,49.7600,50.1000,31161332,September,Tuesday,2017,WFC,-0.017068864037669166,2,9
82,88,2017-09-01,51.0600,51.4900,50.9300,50.9700,16191937,September,Friday,2017,WFC,-0.0019580967299784886,5,9
83,89,2017-08-31,51.0000,51.2400,50.8700,51.0700,24992608,August,Thursday,2017,WFC,-0.005646417445482849,4,8
84,90,2017-08-30,51.4600,51.7400,51.2000,51.3600,11301612,August,Wednesday,2017,WFC,-0.0011668611435239648,3,8
85,91,2017-08-29,51.2100,51.5000,51.1300,51.4200,10642169,August,Tuesday,2017,WFC,-0.00406740267286463,2,8
86,92,2017-08-28,51.9500,52.0200,51.4200,51.6300,12211668,August,Monday,2017,WFC,-0.002704268881591666,1,8
87,93,2017-08-25,52.2700,52.5700,51.7600,51.7700,15250744,August,Friday,2017,WFC,-0.00747699386503055,5,8
88,94,2017-08-24,52.1900,52.5300,52.0400,52.1600,12212331,August,Thursday,2017,WFC,0.0024985585239284155,4,8
89,95,2017-08-23,51.8300,52.4800,51.8000,52.0300,9932131,August,Wednesday,2017,WFC,-0.003638452700114855,3,8
90,96,2017-08-22,51.9500,52.2700,51.9200,52.2200,12919904,August,Tuesday,2017,WFC,0.0077190274025472514,2,8
91,97,2017-08-21,51.7400,51.9100,51.4000,51.8200,12279363,August,Monday,2017,WFC,0.0027089783281733855,1,8
92,98,2017-08-18,51.6300,52.1400,51.3800,51.6800,16947183,August,Friday,2017,WFC,-0.0023166023166022675,5,8
93,99,2017-08-17,52.4700,52.6300,51.7900,51.8000,16441191,August,Thursday,2017,WFC,-0.016891250711710014,4,8
94,100,2017-08-16,53.0100,53.2100,52.4600,52.6900,11101577,August,Wednesday,2017,WFC,-0.0030274361400189913,3,8
95,101,2017-08-15,53.2000,53.3600,52.8300,52.8500,10845323,August,Tuesday,2017,WFC,0.00018925056775166558,2,8
96,102,2017-08-14,52.3700,53.0900,52.3400,52.8400,16262065,August,Monday,2017,WFC,0.017327685791297762,1,8
97,103,2017-08-11,51.8300,52.2100,51.7400,51.9400,14540797,August,Friday,2017,WFC,-0.00019249278152079144,5,8
