Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,29.85,29.88,29.52,29.52,40133412,December,Friday,2017,BAC,-0.01105527638190961,5,12,0.012195121951219494
1,9,2017-12-28,29.73,29.82,29.66,29.8,35842803,December,Thursday,2017,BAC,0.002354524049781375,4,12,0.00539447066756575
2,10,2017-12-27,29.66,29.73,29.601,29.73,31827793,December,Wednesday,2017,BAC,0.002360080917060023,3,12,0.004357960879700055
3,11,2017-12-26,29.74,29.94,29.58,29.78,42254735,December,Tuesday,2017,BAC,0.0013449899125757465,2,12,0.012170385395537628
4,12,2017-12-22,29.965,30.03,29.62,29.88,54073301,December,Friday,2017,BAC,-0.0028366427498748826,5,12,0.013841998649561113
5,13,2017-12-21,29.595,29.98,29.58,29.82,72441696,December,Thursday,2017,BAC,0.007602635580334564,4,12,0.013522650439486212
6,14,2017-12-20,29.765,29.84,29.45,29.48,80849633,December,Wednesday,2017,BAC,-0.00957500419956325,3,12,0.013242784380305624
7,15,2017-12-19,29.625,29.64,29.37,29.45,65397545,December,Tuesday,2017,BAC,-0.005907172995780615,2,12,0.009193054136874346
8,16,2017-12-18,29.32,29.5,29.27,29.48,69139708,December,Monday,2017,BAC,0.0054570259208731285,1,12,0.007857874957294172
9,17,2017-12-15,28.905,29.18,28.74,29.04,119265023,December,Friday,2017,BAC,0.004670472236637191,5,12,0.015309672929714729
10,18,2017-12-14,29.065,29.18,28.71,28.73,59891544,December,Thursday,2017,BAC,-0.011525890246000372,4,12,0.016370602577499088
11,19,2017-12-13,29.31,29.44,28.83,28.84,78318859,December,Wednesday,2017,BAC,-0.016035482770385495,3,12,0.021158515435310544
12,20,2017-12-12,29.05,29.5,28.91,29.32,75809939,December,Tuesday,2017,BAC,0.009294320137693615,2,12,0.020408163265306117
13,21,2017-12-11,29.05,29.17,28.9,28.94,53618358,December,Monday,2017,BAC,-0.0037865748709122,1,12,0.009342560553633326
14,22,2017-12-08,29.08,29.09,28.76,29.05,60830895,December,Friday,2017,BAC,-0.001031636863823851,5,12,0.011474269819193264
15,23,2017-12-07,28.45,28.97,28.37,28.78,80517375,December,Thursday,2017,BAC,0.01159929701230235,4,12,0.021149101163200488
