Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,63.59,63.83,63.12,63.32,3188465,December,Friday,2017,ATVI,-0.004245950621166899,5,12,0.011248415716096338
1,9,2017-12-28,63.34,63.5,62.6001,63.4,3102865,December,Thursday,2017,ATVI,0.0009472687085569176,4,12,0.014375376397162343
2,10,2017-12-27,63.67,63.7399,63.07,63.34,4764842,December,Wednesday,2017,ATVI,-0.005182974713365766,3,12,0.010621531631520508
3,11,2017-12-26,64.24,64.47,63.38,63.45,3203245,December,Tuesday,2017,ATVI,-0.012297633872976216,2,12,0.01719785421268533
4,12,2017-12-22,64.86,64.95,64.38,64.51,3297781,December,Friday,2017,ATVI,-0.005396238051187085,5,12,0.008853681267474486
5,13,2017-12-21,64.51,65.2,64.14,65.08,3333438,December,Thursday,2017,ATVI,0.008835839404743345,4,12,0.016526348612410386
6,14,2017-12-20,65.31,65.44,64.0061,64.38,4676308,December,Wednesday,2017,ATVI,-0.014239779513091516,3,12,0.02240255225673794
7,15,2017-12-19,66.1,66.25,64.3901,64.9,5928911,December,Tuesday,2017,ATVI,-0.018154311649016472,2,12,0.028884875159380024
8,16,2017-12-18,67.08,67.4,65.88,66.01,6179536,December,Monday,2017,ATVI,-0.015951103160405385,1,12,0.023072252580449457
9,17,2017-12-15,65.47,67.0,64.99,66.73,9306372,December,Friday,2017,ATVI,0.019245455934015655,5,12,0.030927835051546476
10,18,2017-12-14,64.7,65.45,64.54,65.03,4683251,December,Thursday,2017,ATVI,0.005100463678516202,4,12,0.01409978308026025
11,19,2017-12-13,64.85,65.28,64.3,64.6,5405265,December,Wednesday,2017,ATVI,-0.003855050115651504,3,12,0.015241057542768338
12,20,2017-12-12,64.11,64.69,63.2,64.4,6413495,December,Tuesday,2017,ATVI,0.0045234752768679816,2,12,0.023575949367088525
13,21,2017-12-11,62.14,63.18,62.14,63.17,3495142,December,Monday,2017,ATVI,0.016575474734470567,1,12,0.016736401673640152
14,22,2017-12-08,62.26,63.51,62.0403,62.43,5742404,December,Friday,2017,ATVI,0.002730485062640567,5,12,0.0236894405733047
15,23,2017-12-07,60.8,62.45,60.69,61.57,6940997,December,Thursday,2017,ATVI,0.012664473684210578,4,12,0.02899983522820902
16,24,2017-12-06,59.48,60.81,58.63,60.75,8237480,December,Wednesday,2017,ATVI,0.021351714862138587,3,12,0.037182329865256686
17,25,2017-12-05,57.635,60.72,57.29,59.55,7587949,December,Tuesday,2017,ATVI,0.033226338162574816,2,12,0.05987083260603945
18,26,2017-12-04,62.39,62.48,58.35,58.6,12287139,December,Monday,2017,ATVI,-0.06074691456964256,1,12,0.07077977720651235
19,27,2017-12-01,61.96,62.69,60.7128,61.96,5414035,December,Friday,2017,ATVI,0.0,5,12,0.032566443978864365
20,28,2017-11-30,62.55,62.73,60.86,62.4,8942328,November,Thursday,2017,ATVI,-0.0023980815347721595,4,11,0.03072625698324018
21,29,2017-11-29,65.61,65.71,61.95,62.01,9258335,November,Wednesday,2017,ATVI,-0.05486968449931416,3,11,0.06069410815173513
22,30,2017-11-28,66.02,66.46,65.84,65.97,3336450,November,Tuesday,2017,ATVI,-0.000757346258709439,2,11,0.009416767922235577
23,31,2017-11-27,66.18,66.45,65.63,65.74,4079998,November,Monday,2017,ATVI,-0.0066485343003930475,1,11,0.012494286149626808
24,32,2017-11-24,65.18,66.14,65.12,66.03,1644818,November,Friday,2017,ATVI,0.013040810064436857,5,11,0.015663390663390602
25,33,2017-11-22,64.91,66.31,64.89,65.14,5711411,November,Wednesday,2017,ATVI,0.003543367739947681,3,11,0.021883186931730646
26,34,2017-11-21,64.49,64.95,64.19,64.5,3542389,November,Tuesday,2017,ATVI,0.00015506280043425515,2,11,0.011839850443994472
27,35,2017-11-20,63.93,64.18,63.28,63.93,3115714,November,Monday,2017,ATVI,0.0,1,11,0.014222503160556347
28,36,2017-11-17,64.0,64.44,63.18,64.1,4116771,November,Friday,2017,ATVI,0.0015624999999999114,5,11,0.019943019943019908
29,37,2017-11-16,63.13,64.41,63.04,64.13,4325436,November,Thursday,2017,ATVI,0.015840329478853048,4,11,0.021732233502538032
30,38,2017-11-15,63.43,63.67,62.5,62.89,4101191,November,Wednesday,2017,ATVI,-0.008513321772032147,3,11,0.018720000000000032
31,39,2017-11-14,63.37,64.4,62.79,64.03,4344145,November,Tuesday,2017,ATVI,0.010415022881489723,2,11,0.025641025641025744
32,40,2017-11-13,62.72,63.97,62.67,63.62,3019231,November,Monday,2017,ATVI,0.014349489795918343,1,11,0.020743577469283504
33,41,2017-11-10,62.87,63.07,62.25,63.0,4809846,November,Friday,2017,ATVI,0.002067758867504415,5,11,0.013172690763052214
34,42,2017-11-09,63.49,64.18,62.59,63.31,5195422,November,Thursday,2017,ATVI,-0.002835092140494561,4,11,0.02540341907652985
35,43,2017-11-08,62.5,64.9,62.15,64.55,12604699,November,Wednesday,2017,ATVI,0.032799999999999954,3,11,0.04424778761061959
36,44,2017-11-07,61.09,61.35,60.1,60.96,7200634,November,Tuesday,2017,ATVI,-0.0021280078572598225,2,11,0.020798668885191347
37,45,2017-11-06,63.41,63.72,60.71,60.87,12925543,November,Monday,2017,ATVI,-0.04005677337959311,1,11,0.04957997035084826
38,46,2017-11-03,66.87,67.03,62.11,63.2,18650840,November,Friday,2017,ATVI,-0.05488260804546136,5,11,0.07921429721461926
39,47,2017-11-02,65.41,65.84,64.83,65.45,5587306,November,Thursday,2017,ATVI,0.0006115272894053852,4,11,0.015579207157180397
40,48,2017-11-01,65.69,65.78,64.25,65.33,5109759,November,Wednesday,2017,ATVI,-0.005480286192723389,3,11,0.023813229571984455
41,49,2017-10-31,65.34,66.03,64.86,65.49,6852101,October,Tuesday,2017,ATVI,0.002295684113865801,2,10,0.018038852913968572
42,50,2017-10-30,64.33,65.58,64.27,65.3,6555910,October,Monday,2017,ATVI,0.015078501476760438,1,10,0.02038276023027855
43,51,2017-10-27,62.36,64.27,62.36,64.14,6158704,October,Friday,2017,ATVI,0.02854393842206545,5,10,0.030628608082103864
44,52,2017-10-26,62.27,62.59,61.88,62.06,4717884,October,Thursday,2017,ATVI,-0.0033724104705315696,4,10,0.011473820297349722
45,53,2017-10-25,62.28,62.6,61.19,61.81,5224099,October,Wednesday,2017,ATVI,-0.007546563904945389,3,10,0.02304298087922869
46,54,2017-10-24,61.94,63.33,61.74,62.73,5938768,October,Tuesday,2017,ATVI,0.012754278333871476,2,10,0.02575315840621957
47,55,2017-10-23,62.7,62.88,61.23,61.46,4174942,October,Monday,2017,ATVI,-0.01977671451355665,1,10,0.026947574718275448
48,56,2017-10-20,62.48,63.14,62.23,62.63,5186464,October,Friday,2017,ATVI,0.00240076824583876,5,10,0.014623172103487125
49,57,2017-10-19,60.95,62.03,60.36,61.99,4982706,October,Thursday,2017,ATVI,0.01706316652994256,4,10,0.02766732935719022
50,58,2017-10-18,61.72,62.12,61.46,61.5,3835502,October,Wednesday,2017,ATVI,-0.003564484769928692,3,10,0.010738691832085851
51,59,2017-10-17,61.53,61.86,60.97,61.66,2663198,October,Tuesday,2017,ATVI,0.002112790508694872,2,10,0.014597342955551918
52,60,2017-10-16,61.12,61.97,61.01,61.48,4536670,October,Monday,2017,ATVI,0.005890052356020933,1,10,0.015735125389280458
53,61,2017-10-13,62.38,62.44,60.55,61.08,7081978,October,Friday,2017,ATVI,-0.020840012824623343,5,10,0.031213872832369958
54,62,2017-10-12,61.45,62.58,61.2,62.05,4599444,October,Thursday,2017,ATVI,0.009764035801464512,4,10,0.02254901960784306
55,63,2017-10-11,61.27,61.39,60.52,61.36,5604004,October,Wednesday,2017,ATVI,0.001468908111636956,3,10,0.014375413086582902
56,64,2017-10-10,61.15,61.56,60.76,61.45,5664133,October,Tuesday,2017,ATVI,0.00490596892886352,2,10,0.01316655694535886
57,65,2017-10-09,61.5,61.74,60.56,61.18,8723115,October,Monday,2017,ATVI,-0.0052032520325203295,1,10,0.019484808454425358
58,66,2017-10-06,62.73,63.38,62.29,63.25,3427459,October,Friday,2017,ATVI,0.008289494659652528,5,10,0.017498795954406864
59,67,2017-10-05,62.65,63.24,62.21,63.09,3963933,October,Thursday,2017,ATVI,0.0070231444533121285,4,10,0.016556823661790728
60,68,2017-10-04,63.07,63.33,62.15,62.63,6662786,October,Wednesday,2017,ATVI,-0.006976375455842679,3,10,0.01898632341110217
61,69,2017-10-03,63.61,63.79,62.95,63.45,3761704,October,Tuesday,2017,ATVI,-0.002515327778651102,2,10,0.013343923749007091
62,70,2017-10-02,64.42,64.71,62.99,63.39,5567851,October,Monday,2017,ATVI,-0.01598882334678673,1,10,0.02730592157485302
63,71,2017-09-29,63.49,64.71,63.44,64.51,5006537,September,Friday,2017,ATVI,0.016065522129469257,5,9,0.02001891551071873
64,72,2017-09-28,63.05,63.6,62.63,63.54,5906305,September,Thursday,2017,ATVI,0.007771609833465536,4,9,0.015487785406354763
65,73,2017-09-27,62.0,63.45,61.99,63.09,4899792,September,Wednesday,2017,ATVI,0.017580645161290383,3,9,0.02355218583642524
66,74,2017-09-26,62.53,62.75,61.58,61.76,5336494,September,Tuesday,2017,ATVI,-0.012314089237166209,2,9,0.01899967521922705
67,75,2017-09-25,63.62,63.75,61.32,62.14,9200416,September,Monday,2017,ATVI,-0.023263124803520857,1,9,0.039628180039138934
68,76,2017-09-22,63.74,64.59,63.34,63.9,5638985,September,Friday,2017,ATVI,0.0025101976780670947,5,9,0.019734764761604042
69,77,2017-09-21,64.78,64.97,63.84,64.11,4448593,September,Thursday,2017,ATVI,-0.010342698363692523,4,9,0.017700501253132758
70,78,2017-09-20,64.81,65.19,63.87,65.0,6236055,September,Wednesday,2017,ATVI,0.002931646350871744,3,9,0.020666979802724292
71,79,2017-09-19,64.34,64.61,63.33,64.31,6589225,September,Tuesday,2017,ATVI,-0.000466272925085501,2,9,0.020211590083688637
72,80,2017-09-18,65.0,65.45,64.02,64.2,6226270,September,Monday,2017,ATVI,-0.012307692307692264,1,9,0.02233676975945028
73,81,2017-09-15,65.32,65.46,64.68,65.0,14774606,September,Friday,2017,ATVI,-0.004898958971218512,5,9,0.012059369202226142
74,82,2017-09-14,65.03,66.0,64.68,65.17,4610832,September,Thursday,2017,ATVI,0.0021528525296017308,4,9,0.020408163265306013
75,83,2017-09-13,65.91,66.07,64.87,65.4,4495018,September,Wednesday,2017,ATVI,-0.007737824305871506,3,9,0.01849853553260349
76,84,2017-09-12,66.48,66.5,65.25,66.09,4926225,September,Tuesday,2017,ATVI,-0.00586642599277979,2,9,0.019157088122605363
77,85,2017-09-11,65.54,66.5,65.33,66.16,5293767,September,Monday,2017,ATVI,0.00945987183399436,1,9,0.017909076993724196
78,86,2017-09-08,65.54,66.17,64.71,64.93,5189893,September,Friday,2017,ATVI,-0.009307293256026843,5,9,0.022562200587235483
79,87,2017-09-07,64.3,65.87,64.06,65.83,6974759,September,Thursday,2017,ATVI,0.02379471228615865,4,9,0.028254761161411214
80,88,2017-09-06,65.09,65.3,63.87,64.0,5388790,September,Wednesday,2017,ATVI,-0.016746043939161213,3,9,0.02238922811961797
81,89,2017-09-05,64.84,65.25,64.16,65.05,4821767,September,Tuesday,2017,ATVI,0.003238741517581643,2,9,0.0169887780548629
82,90,2017-09-01,65.66,65.86,63.43,65.12,5538632,September,Friday,2017,ATVI,-0.008224185196466527,5,9,0.03830994797414472
83,91,2017-08-31,66.0,66.58,65.14,65.56,7461099,August,Thursday,2017,ATVI,-0.006666666666666632,4,8,0.022106232729505643
84,92,2017-08-30,63.53,65.8,63.38,65.68,7353791,August,Wednesday,2017,ATVI,0.03384227923815529,3,8,0.03818239192174179
85,93,2017-08-29,62.04,63.81,61.95,63.48,4372206,August,Tuesday,2017,ATVI,0.023210831721469986,2,8,0.030024213075060518
86,94,2017-08-28,63.09,63.12,62.37,62.75,3898031,August,Monday,2017,ATVI,-0.005389126644476199,1,8,0.012025012025012024
87,95,2017-08-25,63.63,63.96,62.49,62.58,4317179,August,Friday,2017,ATVI,-0.01650165016501657,5,8,0.02352376380220833
88,96,2017-08-24,64.31,64.45,62.8,63.43,3801020,August,Thursday,2017,ATVI,-0.013683719483750622,4,8,0.026273885350318563
89,97,2017-08-23,63.68,64.48,63.4,64.01,5273608,August,Wednesday,2017,ATVI,0.005182160804020185,3,8,0.0170347003154575
90,98,2017-08-22,62.09,64.29,62.0,64.26,7380847,August,Tuesday,2017,ATVI,0.03494926719278469,2,8,0.03693548387096785
91,99,2017-08-21,62.0,62.29,61.43,61.78,3416406,August,Monday,2017,ATVI,-0.003548387096774175,1,8,0.013999674426176126
92,100,2017-08-18,61.27,62.4,61.05,62.01,4402145,August,Friday,2017,ATVI,0.012077688917904271,5,8,0.022113022113022136
93,101,2017-08-17,62.57,63.04,61.37,61.37,3251495,August,Thursday,2017,ATVI,-0.01917852005753561,4,8,0.02721199283037317
94,102,2017-08-16,62.13,63.21,61.81,62.89,4454664,August,Wednesday,2017,ATVI,0.01223241590214064,3,8,0.022650056625141538
95,103,2017-08-15,62.14,62.3,61.4,61.97,2856194,August,Tuesday,2017,ATVI,-0.0027357579658835165,2,8,0.014657980456026037
96,104,2017-08-14,61.5,63.06,61.3,61.89,5091548,August,Monday,2017,ATVI,0.006341463414634155,1,8,0.028711256117455224
97,105,2017-08-11,60.26,61.08,59.77,60.74,5481477,August,Friday,2017,ATVI,0.007965482907401327,5,8,0.021917349841057303
98,106,2017-08-10,60.84,61.25,60.1,60.21,6821616,August,Thursday,2017,ATVI,-0.010355029585798856,4,8,0.019134775374376016
99,107,2017-08-09,60.63,61.57,60.35,61.38,5996796,August,Wednesday,2017,ATVI,0.012370113805047009,3,8,0.02021541010770504
100,108,2017-08-08,62.31,62.52,61.15,61.33,8612543,August,Tuesday,2017,ATVI,-0.015727812550152532,2,8,0.022403924775143167
101,109,2017-08-07,62.14,62.85,61.8,62.51,7287073,August,Monday,2017,ATVI,0.0059542967492757885,1,8,0.01699029126213599
102,110,2017-08-04,63.02,63.3,61.22,62.01,10409797,August,Friday,2017,ATVI,-0.016026658203744926,5,8,0.033975824893825515
103,111,2017-08-03,63.01,64.06,61.76,63.97,11572024,August,Thursday,2017,ATVI,0.015235676876686257,4,8,0.037240932642487116
104,112,2017-08-02,62.6,62.65,60.43,61.45,5485914,August,Wednesday,2017,ATVI,-0.01837060702875397,3,8,0.03673672017209993
105,113,2017-08-01,62.26,62.48,61.52,62.4,4350007,August,Tuesday,2017,ATVI,0.002248634757468689,2,8,0.015604681404421224
106,114,2017-07-31,61.55,61.98,60.98,61.78,4911192,July,Monday,2017,ATVI,0.003736799350121917,1,7,0.01639881928501148
107,115,2017-07-28,60.76,61.8,60.25,61.45,4243511,July,Friday,2017,ATVI,0.011356155365372034,5,7,0.025726141078838128
108,116,2017-07-27,63.17,63.19,59.88,61.17,7945318,July,Thursday,2017,ATVI,-0.031660598385309484,4,7,0.05527722110888435
109,117,2017-07-26,61.15,62.64,61.14,62.64,4829386,July,Wednesday,2017,ATVI,0.024366312346688502,3,7,0.02453385672227674
110,118,2017-07-25,61.61,61.97,60.92,60.95,4680111,July,Tuesday,2017,ATVI,-0.01071254666450246,2,7,0.017235718975705798
111,119,2017-07-24,60.95,61.58,60.8,61.44,3935825,July,Monday,2017,ATVI,0.008039376538145937,1,7,0.012828947368421072
112,120,2017-07-21,60.74,61.37,60.63,60.93,5480738,July,Friday,2017,ATVI,0.003128086927889327,5,7,0.012205178954312959
113,121,2017-07-20,61.42,61.76,60.78,61.08,3540433,July,Thursday,2017,ATVI,-0.005535656138065832,4,7,0.016123724909509654
114,122,2017-07-19,61.57,62.39,60.87,61.33,5358093,July,Wednesday,2017,ATVI,-0.003898002273834692,3,7,0.024971250205355733
115,123,2017-07-18,60.61,61.36,60.2792,61.33,4589117,July,Tuesday,2017,ATVI,0.01187922785018972,2,7,0.017929899534167612
116,124,2017-07-17,60.82,60.89,60.11,60.5,3060245,July,Monday,2017,ATVI,-0.005261427162117729,1,7,0.012976210281151241
117,125,2017-07-14,60.85,61.29,60.59,60.75,4522094,July,Friday,2017,ATVI,-0.0016433853738701961,5,7,0.011553061561313678
118,126,2017-07-13,61.4,61.4,60.16,60.5,7182630,July,Thursday,2017,ATVI,-0.014657980456026037,4,7,0.020611702127659608
119,127,2017-07-12,58.59,61.33,58.4,61.02,10006236,July,Wednesday,2017,ATVI,0.04147465437788018,3,7,0.05017123287671232
120,128,2017-07-11,58.43,58.57,57.68,57.98,4458047,July,Tuesday,2017,ATVI,-0.007701523190142098,2,7,0.01542995839112345
121,129,2017-07-10,58.28,58.92,57.97,58.51,4644753,July,Monday,2017,ATVI,0.003946465339739137,1,7,0.01638778678626881
