,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,36.2300,36.49,36.22,36.2200,11337557,December,Friday,2017,PFE,-0.0002760143527462879,5,12,0.007454445057979104
1,9,2017-12-28,36.3600,36.53,36.25,36.3700,6574788,December,Thursday,2017,PFE,0.0002750275027502203,4,12,0.007724137931034514
2,10,2017-12-27,36.3100,36.46,36.23,36.3300,8132093,December,Wednesday,2017,PFE,0.0005508124483612234,3,12,0.006348330113165995
3,11,2017-12-26,36.0900,36.27,35.95,36.2100,10885234,December,Tuesday,2017,PFE,0.0033250207813798126,2,12,0.008901251738525738
4,12,2017-12-22,36.2600,36.38,36.05,36.1400,8575461,December,Friday,2017,PFE,-0.003309431880860382,5,12,0.009153952843273382
5,13,2017-12-21,36.5850,36.6,36.19,36.2400,14577781,December,Thursday,2017,PFE,-0.009430094300942979,4,12,0.011329096435479517
6,14,2017-12-20,36.9800,37.14,36.425,36.4600,14288514,December,Wednesday,2017,PFE,-0.01406165494862077,3,12,0.01962937542896372
7,15,2017-12-19,37.1700,37.23,36.88,36.9400,13816019,December,Tuesday,2017,PFE,-0.006187785848802905,2,12,0.009490238611713511
8,16,2017-12-18,37.1600,37.35,37.06,37.1300,16602604,December,Monday,2017,PFE,-0.0008073196986004853,1,12,0.007825148407987025
9,17,2017-12-15,36.8100,37.225,36.71,37.2000,35613216,December,Friday,2017,PFE,0.010594947025264888,5,12,0.014028874965949348
10,18,2017-12-14,36.6600,36.89,36.34,36.4600,14603725,December,Thursday,2017,PFE,-0.005455537370430872,4,12,0.015134837644468825
11,19,2017-12-13,36.5700,36.8,36.47,36.6400,15678542,December,Wednesday,2017,PFE,0.0019141372709871557,3,12,0.009048533040855452
12,20,2017-12-12,36.3600,36.82,36.25,36.5800,21907784,December,Tuesday,2017,PFE,0.006050605060506019,2,12,0.01572413793103449
13,21,2017-12-11,35.7900,36.26,35.69,36.2100,13719146,December,Monday,2017,PFE,0.011735121542330309,1,12,0.01597086018492576
14,22,2017-12-08,35.3200,35.77,35.32,35.7400,14580055,December,Friday,2017,PFE,0.011891279728199368,5,12,0.01274065685164221
15,23,2017-12-07,35.5600,35.64,35.15,35.5000,15761894,December,Thursday,2017,PFE,-0.001687289088863956,4,12,0.01394025604551926
16,24,2017-12-06,35.6900,35.88,35.51,35.5600,17049466,December,Wednesday,2017,PFE,-0.0036424768842811843,3,12,0.010419600112644454
17,25,2017-12-05,36.1200,36.185,35.51,35.6300,22235224,December,Tuesday,2017,PFE,-0.013565891472868076,2,12,0.019008729935229635
18,26,2017-12-04,36.4900,36.62,36.05,36.0600,13716972,December,Monday,2017,PFE,-0.011784050424773903,1,12,0.0158113730929265
19,27,2017-12-01,36.2900,36.5,36.01,36.3500,18584945,December,Friday,2017,PFE,0.0016533480297603272,5,12,0.013607331296862039
20,28,2017-11-30,36.2100,36.48,36.08,36.2600,22830776,November,Thursday,2017,PFE,0.0013808340237502668,4,11,0.011086474501108608
21,29,2017-11-29,35.9400,36.41,35.875,36.2100,15296837,November,Wednesday,2017,PFE,0.00751252086811361,3,11,0.014912891986062623
22,30,2017-11-28,35.5900,35.89,35.52,35.8500,12682149,November,Tuesday,2017,PFE,0.007305422871593087,2,11,0.010416666666666593
23,31,2017-11-27,35.5200,35.65,35.38,35.4900,9991179,November,Monday,2017,PFE,-0.0008445945945946265,1,11,0.007631430186545958
24,32,2017-11-24,35.5100,35.56,35.37,35.4900,6397307,November,Friday,2017,PFE,-0.000563221627710392,5,11,0.0053717839977383336
25,33,2017-11-22,35.4500,35.5,35.32,35.4300,10298174,November,Wednesday,2017,PFE,-0.0005641748942172954,3,11,0.005096262740656844
26,34,2017-11-21,35.4000,35.73,35.38,35.5400,12084293,November,Tuesday,2017,PFE,0.003954802259887022,2,11,0.009892594686263264
27,35,2017-11-20,35.3800,35.45,35.27,35.3500,11809132,November,Monday,2017,PFE,-0.00084793668739404,1,11,0.0051034873830450725
28,36,2017-11-17,35.3700,35.49,35.17,35.3700,14817055,November,Friday,2017,PFE,0.0,5,11,0.009098663633778797
29,37,2017-11-16,35.3400,35.58,35.25,35.5600,12661564,November,Thursday,2017,PFE,0.006225240520656447,4,11,0.009361702127659527
30,38,2017-11-15,35.2800,35.5,35.23,35.3600,12153318,November,Wednesday,2017,PFE,0.002267573696145076,3,11,0.007663922793074174
31,39,2017-11-14,35.2500,35.7,35.22,35.3800,14425260,November,Tuesday,2017,PFE,0.0036879432624114202,2,11,0.013628620102214764
32,40,2017-11-13,35.2200,35.48,35.14,35.3000,22976528,November,Monday,2017,PFE,0.0022714366837023933,1,11,0.009675583380762558
33,41,2017-11-10,35.1000,35.19,34.8,35.1800,13381484,November,Friday,2017,PFE,0.0022792022792022305,5,11,0.011206896551724155
