,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,178.0000,178.85,176.46,176.4600,10028758,December,Friday,2017,FB,-0.008651685393258382,5,12,0.01354414598209218
1,9,2017-12-28,177.9500,178.9367,177.68,177.9200,11008996,December,Thursday,2017,FB,-0.0001685866816521559,4,12,0.007072827555155307
2,10,2017-12-27,176.5500,178.44,176.26,177.6200,9296258,December,Wednesday,2017,FB,0.006060606060606022,3,12,0.01236809259049136
3,11,2017-12-26,176.6300,177.0,174.67,175.9900,8726829,December,Tuesday,2017,FB,-0.003623393534507085,2,12,0.013339440087021313
4,12,2017-12-22,177.1400,177.53,176.23,177.2000,8462491,December,Friday,2017,FB,0.00033871514056679617,5,12,0.007376723599841182
5,13,2017-12-21,177.9400,178.68,177.05,177.4500,11050969,December,Thursday,2017,FB,-0.002753737214791554,4,12,0.00920643885907933
6,14,2017-12-20,179.8100,179.81,177.36,177.8900,11754823,December,Wednesday,2017,FB,-0.010677937823257972,3,12,0.01381371222372569
7,15,2017-12-19,179.9500,180.08,178.22,179.5100,14769239,December,Tuesday,2017,FB,-0.002445123645457059,2,12,0.010436539108966523
8,16,2017-12-18,181.0100,181.3,179.75,180.8200,17014337,December,Monday,2017,FB,-0.0010496657643224007,1,12,0.008623087621696864
9,17,2017-12-15,179.0200,180.4934,178.36,180.1800,26225100,December,Friday,2017,FB,0.0064797229359847865,5,12,0.011961202063242849
10,18,2017-12-14,178.2900,180.3601,177.68,178.3900,13393757,December,Thursday,2017,FB,0.0005608839531100697,4,12,0.01508385862224213
11,19,2017-12-13,177.3000,179.16,177.25,178.3000,14406776,December,Wednesday,2017,FB,0.0056401579244218835,3,12,0.010775740479548641
12,20,2017-12-12,178.6000,179.18,176.6,176.9600,16675275,December,Tuesday,2017,FB,-0.009182530795072712,2,12,0.014609286523216379
13,21,2017-12-11,179.3000,180.22,178.8,179.0400,12630207,December,Monday,2017,FB,-0.0014500836586727234,1,12,0.007941834451901495
14,22,2017-12-08,181.5300,182.28,178.7401,179.0000,19377310,December,Friday,2017,FB,-0.013937090288106656,5,12,0.019804733241169655
15,23,2017-12-07,175.8000,180.39,175.8,180.1400,19588217,December,Thursday,2017,FB,0.024687144482366183,4,12,0.026109215017064702
16,24,2017-12-06,172.5000,176.77,171.9,176.0600,20059293,December,Wednesday,2017,FB,0.0206376811594203,3,12,0.028330424665503225
