,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,108.0900,108.28,106.94,106.9400,8849977,December,Friday,2017,JPM,-0.010639282079748411,5,12,0.012530390873386978
1,9,2017-12-28,107.4000,107.84,107.1601,107.7900,7428401,December,Thursday,2017,JPM,0.0036312849162011226,4,12,0.006344712257640703
2,10,2017-12-27,106.6700,107.29,106.67,107.2200,8816072,December,Wednesday,2017,JPM,0.0051560888722227164,3,12,0.005812318365051135
3,11,2017-12-26,107.2000,107.99,106.4,107.0200,7383122,December,Tuesday,2017,JPM,-0.0016791044776120038,2,12,0.014943609022556288
4,12,2017-12-22,108.1300,108.46,106.805,107.4500,10017748,December,Friday,2017,JPM,-0.006288726532877024,5,12,0.015495529235522557
5,13,2017-12-21,106.6300,108.07,106.56,107.8300,12227285,December,Thursday,2017,JPM,0.01125386851730285,4,12,0.014170420420420335
6,14,2017-12-20,107.6100,107.7305,106.09,106.1400,12991794,December,Wednesday,2017,JPM,-0.01366044047950933,3,12,0.015463285889339267
7,15,2017-12-19,107.2900,107.49,106.44,106.5100,12026582,December,Tuesday,2017,JPM,-0.007270015844906339,2,12,0.009864712514092419
8,16,2017-12-18,107.3100,107.63,106.48,106.9600,12633719,December,Monday,2017,JPM,-0.0032615786040444367,1,12,0.0108001502629601
9,17,2017-12-15,105.7200,106.52,105.2,106.1400,29181431,December,Friday,2017,JPM,0.00397275822928492,5,12,0.0125475285171102
10,18,2017-12-14,106.0150,106.45,104.64,104.6600,12981961,December,Thursday,2017,JPM,-0.012781210206102947,4,12,0.017297400611620817
11,19,2017-12-13,106.7000,107.11,105.48,105.5100,14873861,December,Wednesday,2017,JPM,-0.011152764761012162,3,12,0.01545316647705722
12,20,2017-12-12,105.9200,107.37,105.54,106.8500,13974084,December,Tuesday,2017,JPM,0.008780211480362468,2,12,0.017339397384877754
13,21,2017-12-11,105.7200,106.06,105.31,105.6200,10542969,December,Monday,2017,JPM,-0.0009458948164963518,1,12,0.007121830785300541
14,22,2017-12-08,105.0800,105.94,104.34,105.9300,13426210,December,Friday,2017,JPM,0.008089074990483523,5,12,0.015334483419589748
15,23,2017-12-07,103.9500,105.185,103.73,104.6200,13352416,December,Thursday,2017,JPM,0.006445406445406462,4,12,0.014026800347054837
16,24,2017-12-06,105.4100,105.76,104.525,104.9300,15276021,December,Wednesday,2017,JPM,-0.0045536476615120934,3,12,0.01181535517818703
17,25,2017-12-05,107.1700,107.41,104.12,105.7200,17157120,December,Tuesday,2017,JPM,-0.0135299057572082,2,12,0.03159815597387622
18,26,2017-12-04,107.7300,108.4,106.77,106.9500,23576608,December,Monday,2017,JPM,-0.007240323029796724,1,12,0.015266460616278071
19,27,2017-12-01,104.9000,105.316,102.2,104.7900,19683510,December,Friday,2017,JPM,-0.0010486177311725398,5,12,0.03048923679060665
20,28,2017-11-30,104.7400,106.66,104.04,104.5200,23945890,November,Thursday,2017,JPM,-0.0021004391827381982,4,11,0.025182622068435124
21,29,2017-11-29,102.4100,104.22,101.96,103.7300,21105546,November,Wednesday,2017,JPM,0.012889366272824993,3,11,0.022165555119654817
22,30,2017-11-28,98.2100,101.7,97.97,101.3600,16659336,November,Tuesday,2017,JPM,0.032074126870990795,2,11,0.03807287945289378
23,31,2017-11-27,98.3100,99.13,97.93,97.9300,10640797,November,Monday,2017,JPM,-0.003865323975180505,1,11,0.012253650566731222
24,32,2017-11-24,98.8300,98.9,98.26,98.3200,3680043,November,Friday,2017,JPM,-0.005160376403925985,5,11,0.006513331976389177
25,33,2017-11-22,99.0300,99.5239,98.59,98.6400,7339392,November,Wednesday,2017,JPM,-0.003938200545289312,3,11,0.009472563140277859
26,34,2017-11-21,99.5000,99.55,98.91,98.9300,9754591,November,Tuesday,2017,JPM,-0.005728643216080334,2,11,0.0064705287635224
27,35,2017-11-20,98.4500,99.145,97.76,99.0100,9439004,November,Monday,2017,JPM,0.0056881665820213536,1,11,0.014167348608837877
28,36,2017-11-17,97.8200,98.41,97.57,98.1400,8989195,November,Friday,2017,JPM,0.003271314659578894,5,11,0.008609203648662534
29,37,2017-11-16,98.5300,99.06,98.31,98.4700,9766570,November,Thursday,2017,JPM,-0.0006089515883487493,4,11,0.007628928898382667
30,38,2017-11-15,96.3900,98.74,95.95,98.1900,15301763,November,Wednesday,2017,JPM,0.018674136321195117,3,11,0.029077644606565835
31,39,2017-11-14,97.3400,97.78,96.85,97.2700,10011823,November,Tuesday,2017,JPM,-0.0007191288267927613,2,11,0.009602478058853968
32,40,2017-11-13,96.6900,98.05,96.62,97.8600,9238254,November,Monday,2017,JPM,0.012100527458889251,1,11,0.014800248395777194
33,41,2017-11-10,97.8100,98.34,97.5,97.5100,9237057,November,Friday,2017,JPM,-0.0030671710459052974,5,11,0.00861538461538465
34,42,2017-11-09,97.1200,98.215,96.81,97.6300,13680076,November,Thursday,2017,JPM,0.0052512355848433985,4,11,0.01451296353682472
35,43,2017-11-08,98.2700,98.37,97.15,97.6400,18524671,November,Wednesday,2017,JPM,-0.006410908720871023,3,11,0.012557900154400399
36,44,2017-11-07,100.5600,100.75,98.25,98.7500,15207594,November,Tuesday,2017,JPM,-0.017999204455051734,2,11,0.02544529262086514
37,45,2017-11-06,101.3400,101.6874,100.66,100.7800,8103382,November,Monday,2017,JPM,-0.005525952239984234,1,11,0.01020663620107292
38,46,2017-11-03,101.1000,101.525,100.73,101.4100,7059798,November,Friday,2017,JPM,0.0030662710187932965,5,11,0.007892385585227854
39,47,2017-11-02,100.8700,101.765,100.16,101.5900,8667658,November,Thursday,2017,JPM,0.007137900267671249,4,11,0.016024361022364257
40,48,2017-11-01,101.1000,101.7,100.73,100.9200,8334064,November,Wednesday,2017,JPM,-0.0017804154302669894,3,11,0.009629703166881751
41,49,2017-10-31,101.3700,101.7,100.57,100.6100,8582219,October,Tuesday,2017,JPM,-0.0074972871658282045,2,10,0.011235955056179872
42,50,2017-10-30,101.1300,101.93,100.87,101.4100,8835379,October,Monday,2017,JPM,0.002768713537031555,1,10,0.0105085753940716
43,51,2017-10-27,101.4300,102.2263,101.05,101.7700,9854515,October,Friday,2017,JPM,0.003352065463866599,5,10,0.011640771895101413
44,52,2017-10-26,101.3500,102.4201,101.32,101.7400,13044172,October,Thursday,2017,JPM,0.0038480513073507706,4,10,0.010857678641926686
45,53,2017-10-25,101.2500,101.45,100.19,101.0400,12852002,October,Wednesday,2017,JPM,-0.0020740740740740125,3,10,0.012576105399740545
46,54,2017-10-24,99.8800,101.19,99.76,100.9200,12867365,October,Tuesday,2017,JPM,0.010412494993992855,2,10,0.014334402566158706
47,55,2017-10-23,99.5100,99.99,99.24,99.3400,9081984,October,Monday,2017,JPM,-0.001708371017988159,1,10,0.007557436517533253
48,56,2017-10-20,99.2800,99.89,98.7301,99.5100,15245764,October,Friday,2017,JPM,0.0023166800966962528,5,10,0.011748190268216153
49,57,2017-10-19,97.1900,98.2,97.09,98.1100,9131766,October,Thursday,2017,JPM,0.009465994443872845,4,10,0.011432691317334426
50,58,2017-10-18,98.1500,98.55,97.63,97.9900,9971531,October,Wednesday,2017,JPM,-0.00163015792154876,3,10,0.009423332991908243
51,59,2017-10-17,98.0700,98.179,97.32,97.6200,10222345,October,Tuesday,2017,JPM,-0.004588559192413466,2,10,0.00882655158240864
52,60,2017-10-16,96.3400,97.95,96.34,97.8400,12390156,October,Monday,2017,JPM,0.015569856757317832,1,10,0.016711646252854467
53,61,2017-10-13,95.4800,96.71,94.96,95.8600,13150851,October,Friday,2017,JPM,0.003979891076665222,5,10,0.01842881213142376
54,62,2017-10-12,97.3000,97.5,95.62,95.9900,18166884,October,Thursday,2017,JPM,-0.013463514902363846,4,10,0.01966115875339882
55,63,2017-10-11,96.8300,97.01,96.14,96.8400,14075067,October,Wednesday,2017,JPM,0.00010327377878761868,3,10,0.009049303099646397
56,64,2017-10-10,96.4550,97.18,96.24,97.1300,10601283,October,Tuesday,2017,JPM,0.006998082007153566,2,10,0.009767248545303532
57,65,2017-10-09,96.9600,97.07,96.14,96.4100,7755464,October,Monday,2017,JPM,-0.005672442244224393,1,10,0.009673392968587399
58,66,2017-10-06,97.5500,97.64,96.47,96.9200,9034019,October,Friday,2017,JPM,-0.006458226550486884,5,10,0.012128122732455704
59,67,2017-10-05,96.0000,97.4,95.55,97.0900,13455414,October,Thursday,2017,JPM,0.011354166666666702,4,10,0.01936159079016231
60,68,2017-10-04,97.3000,97.44,96.28,96.3600,12135140,October,Wednesday,2017,JPM,-0.009660842754367911,3,10,0.012048192771084302
61,69,2017-10-03,96.8300,97.43,96.7739,97.3500,9616424,October,Tuesday,2017,JPM,0.0053702364969533825,2,10,0.006779720565152476
62,70,2017-10-02,95.7700,96.88,95.46,96.8400,12873045,October,Monday,2017,JPM,0.011172601023285031,1,10,0.014875340456735824
63,71,2017-09-29,95.3000,95.52,95.02,95.5100,11112065,September,Friday,2017,JPM,0.002203567681007429,5,9,0.005262050094716902
64,72,2017-09-28,95.5900,95.88,94.91,95.3800,10226296,September,Thursday,2017,JPM,-0.0021968825190920383,4,9,0.01022020861869138
