,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,59.4900,60.1499,59.28,59.2900,2420632,December,Friday,2017,GIS,-0.003361909564632759,5,12,0.01467442645074226
1,9,2017-12-28,60.1000,60.17,59.34,59.5500,2236819,December,Thursday,2017,GIS,-0.009151414309484263,4,12,0.013987192450286455
2,10,2017-12-27,60.0000,60.59,59.931,60.1800,2268142,December,Wednesday,2017,GIS,0.0029999999999999953,3,12,0.01099597870884861
3,11,2017-12-26,60.0400,60.32,59.95,60.1200,2223547,December,Tuesday,2017,GIS,0.0013324450366422101,2,12,0.006171809841534569
4,12,2017-12-22,59.9350,60.19,59.63,60.1300,6496319,December,Friday,2017,GIS,0.0032535246517060193,5,12,0.009391246017105403
5,13,2017-12-21,58.9700,60.08,58.78,59.5300,7526993,December,Thursday,2017,GIS,0.00949635407834496,4,12,0.022116366110922034
6,14,2017-12-20,58.1900,59.03,56.63,58.7600,6874802,December,Wednesday,2017,GIS,0.00979549750816292,3,12,0.04238036376478895
7,15,2017-12-19,58.0100,58.38,57.56,57.6300,5565634,December,Tuesday,2017,GIS,-0.006550594725047328,2,12,0.0142460041695622
8,16,2017-12-18,57.6100,58.1,57.43,57.8000,5102019,December,Monday,2017,GIS,0.003298038534976527,1,12,0.011666376458297087
9,17,2017-12-15,56.3900,57.17,56.16,56.8900,8177880,December,Friday,2017,GIS,0.008866820358219542,5,12,0.017984330484330575
10,18,2017-12-14,56.3600,56.48,56.12,56.1300,2842044,December,Thursday,2017,GIS,-0.004080908445706119,4,12,0.006414825374198137
11,19,2017-12-13,56.0600,56.58,55.84,56.4700,4257631,December,Wednesday,2017,GIS,0.0073135925793791755,3,12,0.013252148997134578
12,20,2017-12-12,56.0400,56.36,55.97,56.0600,2767809,December,Tuesday,2017,GIS,0.00035688793718777884,2,12,0.006968018581382894
13,21,2017-12-11,55.6500,55.93,55.38,55.8900,3303354,December,Monday,2017,GIS,0.004312668463611896,1,12,0.009931383170819739
14,22,2017-12-08,56.7100,56.71,55.47,55.8400,3937153,December,Friday,2017,GIS,-0.015341209663198685,5,12,0.0223544258157563
15,23,2017-12-07,57.2000,57.235,56.5299,56.6900,3124260,December,Thursday,2017,GIS,-0.008916083916084006,4,12,0.012473045238006818
16,24,2017-12-06,57.2000,57.63,57.0618,57.4100,2968630,December,Wednesday,2017,GIS,0.003671328671328562,3,12,0.009957624890907832
17,25,2017-12-05,57.9000,58.09,56.78,57.2500,4072709,December,Tuesday,2017,GIS,-0.011226252158894622,2,12,0.023071504050722124
18,26,2017-12-04,56.6500,57.93,56.5,57.8600,6292244,December,Monday,2017,GIS,0.02135922330097089,1,12,0.02530973451327433
19,27,2017-12-01,56.5100,56.66,55.29,56.4600,4289523,December,Friday,2017,GIS,-0.0008847991505927652,5,12,0.024778440947730105
20,28,2017-11-30,56.3200,56.96,55.71,56.5600,6381557,November,Thursday,2017,GIS,0.004261363636363672,4,11,0.022437623406928738
21,29,2017-11-29,54.7900,56.56,54.78,56.3400,5637692,November,Wednesday,2017,GIS,0.02828983391129776,3,11,0.03249361080686384
22,30,2017-11-28,54.2000,54.85,53.88,54.8400,3932752,November,Tuesday,2017,GIS,0.011808118081180822,2,11,0.018002969561989584
