,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,77.7000,78.68,77.69,77.7600,2381845,December,Friday,2017,KHC,0.0007722007722008015,5,12,0.012742952760973215
1,9,2017-12-28,78.2200,78.29,77.72,77.9200,1824653,December,Thursday,2017,KHC,-0.003835336231142894,4,12,0.007334019557385582
2,10,2017-12-27,78.2400,78.6,77.95,77.9800,1721021,December,Wednesday,2017,KHC,-0.0033231083844579615,3,12,0.008338678640153835
3,11,2017-12-26,78.1200,78.47,78.0,78.1100,2524144,December,Tuesday,2017,KHC,-0.00012800819252438704,2,12,0.006025641025641011
4,12,2017-12-22,78.1400,78.6,77.88,78.2400,3081942,December,Friday,2017,KHC,0.0012797542871767892,5,12,0.009244992295839739
5,13,2017-12-21,77.8400,78.17,77.07,77.8800,4313946,December,Thursday,2017,KHC,0.0005138746145939368,4,12,0.014272739068379506
6,14,2017-12-20,78.8100,78.89,77.32,77.3800,3683971,December,Wednesday,2017,KHC,-0.018144905468849216,3,12,0.02030522503879989
7,15,2017-12-19,79.5200,79.82,78.39,78.5200,2872284,December,Tuesday,2017,KHC,-0.012575452716297788,2,12,0.018242122719734567
8,16,2017-12-18,79.9800,80.36,79.29,79.3700,2630886,December,Monday,2017,KHC,-0.007626906726681663,1,12,0.013494766048681966
9,17,2017-12-15,79.8000,79.83,79.01,79.5400,6197047,December,Friday,2017,KHC,-0.0032581453634084076,5,12,0.010378433109732858
10,18,2017-12-14,79.2800,79.7,78.87,78.9800,3291294,December,Thursday,2017,KHC,-0.0037840565085771587,4,12,0.010523646506910083
11,19,2017-12-13,79.2500,79.6,78.7699,79.2800,2938776,December,Wednesday,2017,KHC,0.00037854889589906797,3,12,0.01053828937195537
12,20,2017-12-12,78.3300,79.09,78.12,78.9500,3088605,December,Tuesday,2017,KHC,0.007915230435337732,2,12,0.012416794674859176
