,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,170.5200,170.59,169.22,169.2300,25643711,December,Friday,2017,AAPL,-0.007565095003518769,5,12,0.00809596974352916
1,9,2017-12-28,171.0000,171.85,170.48,171.0800,15997739,December,Thursday,2017,AAPL,0.00046783625731001467,4,12,0.008036133270764927
2,10,2017-12-27,170.1000,170.78,169.71,170.6000,21672062,December,Wednesday,2017,AAPL,0.0029394473838918285,3,12,0.006304873018678882
3,11,2017-12-26,170.8000,171.47,169.679,170.5700,32968167,December,Tuesday,2017,AAPL,-0.0013466042154567808,2,12,0.010555224865775946
4,12,2017-12-22,174.6800,175.424,174.5,175.0100,16052615,December,Friday,2017,AAPL,0.001889168765742982,5,12,0.005295128939828118
5,13,2017-12-21,174.1700,176.02,174.1,175.0100,20356826,December,Thursday,2017,AAPL,0.004822874203364549,4,12,0.011028144744399861
6,14,2017-12-20,174.8700,175.42,173.25,174.3500,23000392,December,Wednesday,2017,AAPL,-0.0029736375593298462,3,12,0.012525252525252453
7,15,2017-12-19,175.0300,175.39,174.09,174.5400,27078872,December,Tuesday,2017,AAPL,-0.0027995200822716624,2,12,0.00746740191854778
8,16,2017-12-18,174.8800,177.2,174.86,176.4200,28831533,December,Monday,2017,AAPL,0.008806038426349451,1,12,0.013382134278851508
9,17,2017-12-15,173.6300,174.17,172.46,173.9700,37054632,December,Friday,2017,AAPL,0.0019581869492599404,5,12,0.009915342688159454
10,18,2017-12-14,172.4000,173.13,171.65,172.2200,20219307,December,Thursday,2017,AAPL,-0.0010440835266821741,4,12,0.008622196329740692
11,19,2017-12-13,172.5000,173.54,172.0,172.2700,23142242,December,Wednesday,2017,AAPL,-0.001333333333333274,3,12,0.008953488372092977
12,20,2017-12-12,172.1500,172.39,171.461,171.7000,18945457,December,Tuesday,2017,AAPL,-0.002613999419111339,2,12,0.005418141734855002
13,21,2017-12-11,169.2000,172.89,168.79,172.6700,33092051,December,Monday,2017,AAPL,0.020508274231678482,1,12,0.024290538539012942
14,22,2017-12-08,170.4900,171.0,168.82,169.3700,23096872,December,Friday,2017,AAPL,-0.006569300252214232,5,12,0.012913161947636576
15,23,2017-12-07,169.0300,170.44,168.91,169.3200,24469613,December,Thursday,2017,AAPL,0.001715671774241212,4,12,0.009058078266532479
16,24,2017-12-06,167.5000,170.2047,166.46,169.0100,28224357,December,Wednesday,2017,AAPL,0.009014925373134274,3,12,0.02249609515799588
17,25,2017-12-05,169.0600,171.52,168.4,169.6400,27008428,December,Tuesday,2017,AAPL,0.003430734650419875,2,12,0.018527315914489337
18,26,2017-12-04,172.4800,172.62,169.63,169.8000,32115052,December,Monday,2017,AAPL,-0.015538033395176128,1,12,0.01762659906856104
19,27,2017-12-01,169.9500,171.67,168.5,171.0500,39590080,December,Friday,2017,AAPL,0.006472491909385247,5,12,0.018813056379821884
20,28,2017-11-30,170.4300,172.14,168.44,171.8500,40172368,November,Thursday,2017,AAPL,0.008331866455436175,4,11,0.02196627879363565
21,29,2017-11-29,172.6300,172.92,167.16,169.4800,40788324,November,Wednesday,2017,AAPL,-0.01824711811388522,3,11,0.03445800430725048
22,30,2017-11-28,174.3000,174.87,171.86,173.0700,25468442,November,Tuesday,2017,AAPL,-0.007056798623063788,2,11,0.017514255789596127
23,31,2017-11-27,175.0500,175.08,173.34,174.0900,20536313,November,Monday,2017,AAPL,-0.005484147386461056,1,11,0.010038075458636258
24,32,2017-11-24,175.1000,175.5,174.6459,174.9700,14026519,November,Friday,2017,AAPL,-0.0007424328954882664,5,11,0.0048904669391035705
25,33,2017-11-22,173.3600,175.0,173.05,174.9600,24997274,November,Wednesday,2017,AAPL,0.00922934933087214,3,11,0.011268419531927122
26,34,2017-11-21,170.7800,173.7,170.78,173.1400,24875471,November,Tuesday,2017,AAPL,0.01381894835460818,2,11,0.01709802084553219
27,35,2017-11-20,170.2900,170.56,169.56,169.9800,15974387,November,Monday,2017,AAPL,-0.0018204239826179005,1,11,0.005897617362585515
28,36,2017-11-17,171.0400,171.39,169.64,170.1500,21665811,November,Friday,2017,AAPL,-0.005203461178671576,5,11,0.01031596321622259
29,37,2017-11-16,171.1800,171.87,170.3,171.1000,23497326,November,Thursday,2017,AAPL,-0.0004673443159248306,4,11,0.00921902524955956
30,38,2017-11-15,169.9700,170.3197,168.38,169.0800,28702351,November,Wednesday,2017,AAPL,-0.005236218156145122,3,11,0.01151977669556964
31,39,2017-11-14,173.0400,173.48,171.18,171.3400,23588451,November,Tuesday,2017,AAPL,-0.009824318076745196,2,11,0.01343614908283668
32,40,2017-11-13,173.5000,174.5,173.4,173.9700,16828025,November,Monday,2017,AAPL,0.002708933717579244,1,11,0.00634371395617067
33,41,2017-11-10,175.1100,175.38,174.27,174.6700,25061183,November,Friday,2017,AAPL,-0.002512706298897985,5,11,0.006369426751592271
34,42,2017-11-09,175.1100,176.095,173.14,175.8800,28636531,November,Thursday,2017,AAPL,0.004397236023071108,4,11,0.017067113318701702
35,43,2017-11-08,174.6600,176.24,174.33,176.2400,24409527,November,Wednesday,2017,AAPL,0.009046146799496236,3,11,0.010956232432742479
36,44,2017-11-07,173.9100,175.25,173.6,174.8100,23910914,November,Tuesday,2017,AAPL,0.005175090564084904,2,11,0.009504608294930909
37,45,2017-11-06,172.3650,174.99,171.72,174.2500,34242566,November,Monday,2017,AAPL,0.010936094914860852,1,11,0.01904262753319363
38,46,2017-11-03,174.0000,174.26,171.12,172.5000,58683826,November,Friday,2017,AAPL,-0.008620689655172414,5,11,0.018349696119682013
39,47,2017-11-02,167.6400,168.5,165.28,168.1100,32710040,November,Thursday,2017,AAPL,0.002803626819375014,4,11,0.01948209099709583
40,48,2017-11-01,169.8700,169.94,165.61,166.8900,33100847,November,Wednesday,2017,AAPL,-0.017542826867604746,3,11,0.026145764144677154
41,49,2017-10-31,167.9000,169.6499,166.94,169.0400,35474672,October,Tuesday,2017,AAPL,0.006789755807027911,2,10,0.01623277824368039
42,50,2017-10-30,163.8900,168.07,163.72,166.7200,43923292,October,Monday,2017,AAPL,0.017267679541155732,1,10,0.02656975323723427
43,51,2017-10-27,159.2900,163.6,158.7,163.0500,43904150,October,Friday,2017,AAPL,0.023604746060644232,5,10,0.030875866414618817
44,52,2017-10-26,157.2300,157.8295,156.78,157.4100,16751691,October,Thursday,2017,AAPL,0.001144819690898727,4,10,0.006694093634392108
45,53,2017-10-25,156.9100,157.55,155.27,156.4100,20126554,October,Wednesday,2017,AAPL,-0.003186540054808489,3,10,0.014684098666838417
46,54,2017-10-24,156.2900,157.42,156.2,157.1000,17137731,October,Tuesday,2017,AAPL,0.005182673235651688,2,10,0.007810499359795128
47,55,2017-10-23,156.8900,157.69,155.5,156.1700,21654461,October,Monday,2017,AAPL,-0.004589202626043718,1,10,0.014083601286173619
48,56,2017-10-20,156.6100,157.75,155.96,156.2500,23612246,October,Friday,2017,AAPL,-0.002298703786476046,5,10,0.01147730187227489
49,57,2017-10-19,156.7500,157.08,155.02,155.9800,42111326,October,Thursday,2017,AAPL,-0.004912280701754451,4,10,0.013288607921558523
50,58,2017-10-18,160.4200,160.71,159.6,159.7600,16158659,October,Wednesday,2017,AAPL,-0.004114200224410901,3,10,0.006954887218045198
51,59,2017-10-17,159.7800,160.87,159.23,160.4700,18816438,October,Tuesday,2017,AAPL,0.00431843785204655,2,10,0.010299566664573353
52,60,2017-10-16,157.9000,160.0,157.65,159.8800,23894630,October,Monday,2017,AAPL,0.012539582013932803,1,10,0.01490643831271801
53,61,2017-10-13,156.7300,157.28,156.41,156.9900,16287608,October,Friday,2017,AAPL,0.0016589038473809694,5,10,0.005562304200498719
54,62,2017-10-12,156.3500,157.37,155.7299,156.0000,16045720,October,Thursday,2017,AAPL,-0.0022385673169171365,4,10,0.010531696225323578
55,63,2017-10-11,155.9700,156.98,155.75,156.5500,16607693,October,Wednesday,2017,AAPL,0.0037186638456114156,3,10,0.00789727126805772
56,64,2017-10-10,156.0550,158.0,155.1,155.9000,15456331,October,Tuesday,2017,AAPL,-0.0009932395629745996,2,10,0.01869761444229533
57,65,2017-10-09,155.8100,156.73,155.485,155.8400,16200129,October,Monday,2017,AAPL,0.00019254219883191794,1,10,0.008007203267196039
58,66,2017-10-06,154.9700,155.49,154.56,155.3000,16423749,October,Friday,2017,AAPL,0.002129444408595293,5,10,0.006017080745341659
59,67,2017-10-05,154.1800,155.44,154.05,155.3900,21032800,October,Thursday,2017,AAPL,0.007847969905305355,4,10,0.00902304446608235
60,68,2017-10-04,153.6300,153.86,152.46,153.4800,19844177,October,Wednesday,2017,AAPL,-0.0009763718023823842,3,10,0.009182736455463764
61,69,2017-10-03,154.0100,155.09,153.91,154.4800,16146388,October,Tuesday,2017,AAPL,0.0030517498863710077,2,10,0.0076668182704178215
62,70,2017-10-02,154.2600,154.45,152.72,153.8100,18524860,October,Monday,2017,AAPL,-0.0029171528588097283,1,10,0.01132792037716075
63,71,2017-09-29,153.2100,154.13,152.0,154.1200,25856530,September,Friday,2017,AAPL,0.005939560080934643,5,9,0.014013157894736812
64,72,2017-09-28,153.8900,154.28,152.7,153.2800,21896592,September,Thursday,2017,AAPL,-0.003963870296965269,4,9,0.010347085789129094
65,73,2017-09-27,153.8000,154.7189,153.54,154.2300,24959552,September,Wednesday,2017,AAPL,0.002795838751625347,3,9,0.007678129477660537
66,74,2017-09-26,151.7800,153.92,151.69,153.1400,35470985,September,Tuesday,2017,AAPL,0.008960337330346457,2,9,0.014701035005603467
