,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,1055.4900,1058.05,1052.7,1053.4000,1156357,December,Friday,2017,GOOGL,-0.0019801229760584354,5,12,0.00508216965897208
1,9,2017-12-28,1062.2500,1064.84,1053.38,1055.9500,982285,December,Thursday,2017,GOOGL,-0.0059308072487643726,4,12,0.01087926484269666
2,10,2017-12-27,1066.6000,1068.27,1058.38,1060.2000,1027634,December,Wednesday,2017,GOOGL,-0.006000375023438837,3,12,0.009344469850148219
3,11,2017-12-26,1068.6400,1068.86,1058.64,1065.8500,914574,December,Tuesday,2017,GOOGL,-0.002610795029196166,2,12,0.009653895564119813
4,12,2017-12-22,1070.0000,1071.72,1067.64,1068.8600,860800,December,Friday,2017,GOOGL,-0.0010654205607477571,5,12,0.0038215128695065067
5,13,2017-12-21,1075.3900,1077.52,1069.0,1070.8500,1211012,December,Thursday,2017,GOOGL,-0.004221724211681521,4,12,0.007970065481758637
6,14,2017-12-20,1080.9200,1081.23,1068.6,1073.5600,1429035,December,Wednesday,2017,GOOGL,-0.006809014543167049,3,12,0.011819202695115208
7,15,2017-12-19,1083.0200,1084.97,1072.27,1079.7800,1287930,December,Tuesday,2017,GOOGL,-0.002991634503517949,2,12,0.0118440318203438
8,16,2017-12-18,1076.4500,1086.49,1070.37,1085.0900,1482768,December,Monday,2017,GOOGL,0.008026383018254328,1,12,0.015060212823603165
9,17,2017-12-15,1063.7800,1075.25,1060.09,1072.0000,3080738,December,Friday,2017,GOOGL,0.0077271616311643644,5,12,0.01430067258440329
10,18,2017-12-14,1055.4900,1067.08,1053.6,1057.4700,1531504,December,Thursday,2017,GOOGL,0.0018759059773186086,4,12,0.012794229309035706
11,19,2017-12-13,1052.0800,1055.48,1046.58,1051.3900,1369580,December,Wednesday,2017,GOOGL,-0.0006558436620787651,3,12,0.008503888857039205
12,20,2017-12-12,1050.0000,1062.5,1044.87,1048.7700,1684977,December,Tuesday,2017,GOOGL,-0.0011714285714285887,2,12,0.016872912419726962
13,21,2017-12-11,1051.1100,1056.0,1044.12,1051.9700,1096997,December,Monday,2017,GOOGL,0.0008181826830684966,1,12,0.011378002528445112
14,22,2017-12-08,1051.8100,1056.42,1045.86,1049.3800,1479665,December,Friday,2017,GOOGL,-0.0023103031916409202,5,12,0.010096953703172675
15,23,2017-12-07,1036.0700,1048.92,1035.36,1044.5700,1437448,December,Thursday,2017,GOOGL,0.00820407887497949,4,12,0.013096893834028912
16,24,2017-12-06,1016.5200,1039.58,1015.31,1032.7200,1369276,December,Wednesday,2017,GOOGL,0.015936725298075834,3,12,0.023904029311244825
17,25,2017-12-05,1010.9900,1036.68,1002.32,1019.6000,1927802,December,Tuesday,2017,GOOGL,0.008516404712212796,2,12,0.034280469311198034
18,26,2017-12-04,1027.8000,1031.34,1009.22,1011.8700,1896325,December,Monday,2017,GOOGL,-0.015499124343257394,1,12,0.02191791680703899
19,27,2017-12-01,1030.4100,1037.24,1016.9,1025.0700,1866985,December,Friday,2017,GOOGL,-0.005182403121087863,5,12,0.020001966761726848
20,28,2017-11-30,1039.9400,1044.14,1030.07,1036.1700,2231818,November,Thursday,2017,GOOGL,-0.0036252091466815214,4,11,0.013659265875134859
21,29,2017-11-29,1056.1800,1058.77,1029.65,1037.3800,2787784,November,Wednesday,2017,GOOGL,-0.01779999621276672,3,11,0.028281454863302954
22,30,2017-11-28,1073.9900,1080.0,1054.54,1063.2900,1694098,November,Tuesday,2017,GOOGL,-0.009962848816097027,2,11,0.024143228327043107
23,31,2017-11-27,1058.5700,1073.04,1054.77,1072.0100,1708195,November,Monday,2017,GOOGL,0.012696373409410861,1,11,0.017321311755169357
24,32,2017-11-24,1054.3900,1060.07,1051.92,1056.5200,825342,November,Friday,2017,GOOGL,0.002020125380551676,5,11,0.0077477374705299485
25,33,2017-11-22,1051.1600,1055.43,1047.25,1051.9200,721498,November,Wednesday,2017,GOOGL,0.0007230107690551304,3,11,0.007810933396992183
26,34,2017-11-21,1040.0400,1050.39,1039.14,1050.3000,1075568,November,Tuesday,2017,GOOGL,0.009865005192107987,2,11,0.010826260176684565
27,35,2017-11-20,1036.0000,1038.7,1032.68,1034.6600,850423,November,Monday,2017,GOOGL,-0.0012934362934362144,1,11,0.005829492195065249
28,36,2017-11-17,1049.8000,1051.0,1033.73,1035.8900,1286044,November,Friday,2017,GOOGL,-0.013250142884358787,5,11,0.016706490089288286
29,37,2017-11-16,1038.7500,1051.76,1038.0,1048.4700,1125995,November,Thursday,2017,GOOGL,0.009357400722021687,4,11,0.013256262042389201
30,38,2017-11-15,1035.0000,1039.63,1030.76,1036.4100,900695,November,Wednesday,2017,GOOGL,0.0013623188405797893,3,11,0.008605300942993634
31,39,2017-11-14,1037.7200,1042.3,1029.33,1041.6400,982782,November,Tuesday,2017,GOOGL,0.0037775122383688015,2,11,0.012600429405535667
32,40,2017-11-13,1040.8000,1048.74,1039.26,1041.2000,914852,November,Monday,2017,GOOGL,0.0003843197540354448,1,11,0.009121875180416853
33,41,2017-11-10,1043.8700,1046.63,1041.22,1044.1500,955500,November,Friday,2017,GOOGL,0.00026823263433205295,5,11,0.005195827971034058
34,42,2017-11-09,1048.0000,1050.88,1035.85,1047.7200,1776722,November,Thursday,2017,GOOGL,-0.0002671755725190579,4,11,0.014509822850799055
35,43,2017-11-08,1050.0500,1062.69,1047.05,1058.2900,1214600,November,Wednesday,2017,GOOGL,0.00784724536926814,3,11,0.014937204527004538
36,44,2017-11-07,1049.6500,1053.41,1043.0,1052.3900,1254965,November,Tuesday,2017,GOOGL,0.0026103939408374304,2,11,0.009980824544583012
37,45,2017-11-06,1049.1000,1052.59,1042.0,1042.6800,897897,November,Monday,2017,GOOGL,-0.006119531026594077,1,11,0.010163147792706256
38,46,2017-11-03,1042.7500,1050.66,1037.65,1049.9900,1370874,November,Friday,2017,GOOGL,0.006943179093742516,5,11,0.01253794632101382
39,47,2017-11-02,1039.9900,1045.52,1028.66,1042.9700,1233333,November,Thursday,2017,GOOGL,0.002865412167424704,4,11,0.016390255283572706
40,48,2017-11-01,1036.3200,1047.86,1034.0,1042.6000,2105729,November,Wednesday,2017,GOOGL,0.006059904276671272,3,11,0.01340425531914884
41,49,2017-10-31,1033.0000,1041.0,1026.3,1033.0400,1490660,October,Tuesday,2017,GOOGL,3.87221684413975e-05,2,10,0.014323297281496684
42,50,2017-10-30,1029.1600,1039.83,1022.33,1033.1300,2245352,October,Monday,2017,GOOGL,0.0038575148664930885,1,10,0.017117760410043613
43,51,2017-10-27,1030.9900,1063.62,1026.85,1033.6700,5139945,October,Friday,2017,GOOGL,0.0025994432535718713,5,10,0.03580854068267029
