Date,Price,Open,High,Low,Vol.,Change %,Change
29-Dec-17,"2,673.61","2,689.15","2,692.12","2,673.61",0,-0.52,-0.005183179
28-Dec-17,"2,687.54","2,686.10","2,687.66","2,682.69",0,0.18,0.001834028
27-Dec-17,"2,682.62","2,682.10","2,685.64","2,678.91",0,0.08,0.000790897
26-Dec-17,"2,680.50","2,679.09","2,682.74","2,677.96",0,-0.11,-0.001058382
22-Dec-17,"2,683.34","2,684.22","2,685.35","2,678.13",0,-0.05,-0.000458174
21-Dec-17,"2,684.57","2,683.02","2,692.64","2,682.40",0,0.2,0.00198563
20-Dec-17,"2,679.25","2,688.18","2,691.01","2,676.11",0,-0.08,-0.000827904
19-Dec-17,"2,681.47","2,692.71","2,694.44","2,680.74",0,-0.32,-0.003230291
18-Dec-17,"2,690.16","2,685.92","2,694.97","2,685.92",0,0.54,0.005362862
15-Dec-17,"2,675.81","2,660.63","2,679.63","2,659.14",0,0.9,0.008974325
14-Dec-17,"2,652.01","2,665.87","2,668.09","2,652.01",0,-0.41,-0.004070826
13-Dec-17,"2,662.85","2,667.59","2,671.88","2,662.85",0,-0.05,-0.000472953
12-Dec-17,"2,664.11","2,661.73","2,669.72","2,659.78",0,0.15,0.001548878
11-Dec-17,"2,659.99","2,652.19","2,660.33","2,651.47",0,0.32,0.003201961
8-Dec-17,"2,651.50","2,646.21","2,651.65","2,644.10",0,0.55,0.005506299
7-Dec-17,"2,636.98","2,628.38","2,640.99","2,626.53",0,0.29,0.002932373
6-Dec-17,"2,629.27","2,626.24","2,634.41","2,624.75",0,-0.01,-0.000114087
5-Dec-17,"2,629.57","2,639.78","2,648.72","2,627.73",0,-0.37,-0.00373943
4-Dec-17,"2,639.44","2,657.19","2,665.19","2,639.03",0,-0.11,-0.001052146
1-Dec-17,"2,642.22","2,645.10","2,650.62","2,605.52",0,-0.2,-0.00202449
30-Nov-17,"2,647.58","2,633.93","2,657.74","2,633.93",0,0.82,0.008190947
29-Nov-17,"2,626.07","2,627.82","2,634.89","2,620.32",0,-0.04,-0.000369237
28-Nov-17,"2,627.04","2,605.94","2,627.69","2,605.44",0,0.98,0.009848467
27-Nov-17,"2,601.42","2,602.66","2,606.41","2,598.87",0,-0.04,-0.000384258
24-Nov-17,"2,602.42","2,600.42","2,604.21","2,600.42",0,0.21,0.002056155
22-Nov-17,"2,597.08","2,600.31","2,600.94","2,595.23",0,-0.08,-0.00075028
21-Nov-17,"2,599.03","2,589.17","2,601.19","2,589.17",0,0.65,0.006541086
20-Nov-17,"2,582.14","2,579.49","2,584.64","2,578.24",0,0.13,0.001275762
17-Nov-17,"2,578.85","2,582.94","2,583.96","2,577.62",0,-0.26,-0.002626042
16-Nov-17,"2,585.64","2,572.95","2,590.09","2,572.95",0,0.82,0.008196146
