,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,63.5900,63.8300,63.1200,63.3200,3188465,December,Friday,2017,ATVI,-0.0012618296529968186,5,12
1,7,2017-12-28,63.3400,63.5000,62.6001,63.4000,3102865,December,Thursday,2017,ATVI,0.0009472687085569177,4,12
2,8,2017-12-27,63.6700,63.7399,63.0700,63.3400,4764842,December,Wednesday,2017,ATVI,-0.0017336485421591715,3,12
3,9,2017-12-26,64.2400,64.4700,63.3800,63.4500,3203245,December,Tuesday,2017,ATVI,-0.01643156099829487,2,12
4,10,2017-12-22,64.8600,64.9500,64.3800,64.5100,3297781,December,Friday,2017,ATVI,-0.008758451137061973,5,12
5,11,2017-12-21,64.5100,65.2000,64.1400,65.0800,3333438,December,Thursday,2017,ATVI,0.01087294190742471,4,12
6,12,2017-12-20,65.3100,65.4400,64.0061,64.3800,4676308,December,Wednesday,2017,ATVI,-0.00801232665639461,3,12
7,13,2017-12-19,66.1000,66.2500,64.3901,64.9000,5928911,December,Tuesday,2017,ATVI,-0.016815633994849255,2,12
8,14,2017-12-18,67.0800,67.4000,65.8800,66.0100,6179536,December,Monday,2017,ATVI,-0.01078974973774912,1,12
9,15,2017-12-15,65.4700,67.0000,64.9900,66.7300,9306372,December,Friday,2017,ATVI,0.026141780716592386,5,12
10,16,2017-12-14,64.7000,65.4500,64.5400,65.0300,4683251,December,Thursday,2017,ATVI,0.006656346749226112,4,12
11,17,2017-12-13,64.8500,65.2800,64.3000,64.6000,5405265,December,Wednesday,2017,ATVI,0.0031055900621116245,3,12
12,18,2017-12-12,64.1100,64.6900,63.2000,64.4000,6413495,December,Tuesday,2017,ATVI,0.019471268006965393,2,12
13,19,2017-12-11,62.1400,63.1800,62.1400,63.1700,3495142,December,Monday,2017,ATVI,0.01185327566874903,1,12
14,20,2017-12-08,62.2600,63.5100,62.0403,62.4300,5742404,December,Friday,2017,ATVI,0.013967841481240854,5,12
15,21,2017-12-07,60.8000,62.4500,60.6900,61.5700,6940997,December,Thursday,2017,ATVI,0.013497942386831281,4,12
16,22,2017-12-06,59.4800,60.8100,58.6300,60.7500,8237480,December,Wednesday,2017,ATVI,0.020151133501259494,3,12
17,23,2017-12-05,57.6350,60.7200,57.2900,59.5500,7587949,December,Tuesday,2017,ATVI,0.016211604095563065,2,12
18,24,2017-12-04,62.3900,62.4800,58.3500,58.6000,12287139,December,Monday,2017,ATVI,-0.054228534538411866,1,12
19,25,2017-12-01,61.9600,62.6900,60.7128,61.9600,5414035,December,Friday,2017,ATVI,-0.007051282051282015,5,12
20,26,2017-11-30,62.5500,62.7300,60.8600,62.4000,8942328,November,Thursday,2017,ATVI,0.006289308176100638,4,11
21,27,2017-11-29,65.6100,65.7100,61.9500,62.0100,9258335,November,Wednesday,2017,ATVI,-0.06002728512960438,3,11
22,28,2017-11-28,66.0200,66.4600,65.8400,65.9700,3336450,November,Tuesday,2017,ATVI,0.003498630970489869,2,11
23,29,2017-11-27,66.1800,66.4500,65.6300,65.7400,4079998,November,Monday,2017,ATVI,-0.0043919430561866766,1,11
24,30,2017-11-24,65.1800,66.1400,65.1200,66.0300,1644818,November,Friday,2017,ATVI,0.013662879950875046,5,11
25,31,2017-11-22,64.9100,66.3100,64.8900,65.1400,5711411,November,Wednesday,2017,ATVI,0.009922480620155048,3,11
26,32,2017-11-21,64.4900,64.9500,64.1900,64.5000,3542389,November,Tuesday,2017,ATVI,0.00891600187705303,2,11
27,33,2017-11-20,63.9300,64.1800,63.2800,63.9300,3115714,November,Monday,2017,ATVI,-0.0026521060842432855,1,11
28,34,2017-11-17,64.0000,64.4400,63.1800,64.1000,4116771,November,Friday,2017,ATVI,-0.000467799781693453,5,11
29,35,2017-11-16,63.1300,64.4100,63.0400,64.1300,4325436,November,Thursday,2017,ATVI,0.019716966131340354,4,11
30,36,2017-11-15,63.4300,63.6700,62.5000,62.8900,4101191,November,Wednesday,2017,ATVI,-0.01780415430267063,3,11
31,37,2017-11-14,63.3700,64.4000,62.7900,64.0300,4344145,November,Tuesday,2017,ATVI,0.006444514303678147,2,11
32,38,2017-11-13,62.7200,63.9700,62.6700,63.6200,3019231,November,Monday,2017,ATVI,0.0098412698412698,1,11
33,39,2017-11-10,62.8700,63.0700,62.2500,63.0000,4809846,November,Friday,2017,ATVI,-0.0048965408308324476,5,11
