,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,105.2900,105.6800,104.3900,105.0600,2033331,December,Friday,2017,EA,-0.0023739435951001804,5,12
1,7,2017-12-28,105.2900,105.5500,104.5500,105.3100,1431096,December,Thursday,2017,EA,0.0007602394754347457,4,12
2,8,2017-12-27,105.4000,106.4400,104.5800,105.2300,2427713,December,Wednesday,2017,EA,0.0016181229773462944,3,12
3,9,2017-12-26,105.6600,106.0200,104.6500,105.0600,1685265,December,Tuesday,2017,EA,-0.009054895302773003,2,12
4,10,2017-12-22,108.3100,108.3100,105.6750,106.0200,2401349,December,Friday,2017,EA,-0.01806057238121703,5,12
5,11,2017-12-21,107.8800,108.7350,107.7800,107.9700,2784216,December,Thursday,2017,EA,-0.004426002766251765,4,12
6,12,2017-12-20,107.5000,108.8700,107.1500,108.4500,2642416,December,Wednesday,2017,EA,0.013551401869158906,3,12
7,13,2017-12-19,107.4200,107.7558,106.6900,107.0000,1985332,December,Tuesday,2017,EA,-0.003167505123905379,2,12
8,14,2017-12-18,109.8900,110.0000,106.5600,107.3400,4241871,December,Monday,2017,EA,-0.01775256222547582,1,12
9,15,2017-12-15,107.7700,109.6800,106.6300,109.2800,5755867,December,Friday,2017,EA,0.02687464762262732,5,12
10,16,2017-12-14,105.2000,107.6200,104.7000,106.4200,2580582,December,Thursday,2017,EA,0.008338070873602383,4,12
11,17,2017-12-13,107.7100,108.3100,105.2200,105.5400,3730504,December,Wednesday,2017,EA,-0.01969162177224587,3,12
12,18,2017-12-12,108.0000,108.9200,107.0200,107.6600,3512468,December,Tuesday,2017,EA,-0.0024091919940697286,2,12
13,19,2017-12-11,105.6100,108.1600,105.0000,107.9200,3271833,December,Monday,2017,EA,0.025173363731357517,1,12
14,20,2017-12-08,104.4900,106.4000,104.4200,105.2700,3194502,December,Friday,2017,EA,0.008623167576889829,5,12
15,21,2017-12-07,103.2300,105.6000,102.7500,104.3700,3486643,December,Thursday,2017,EA,0.011533242876526436,4,12
16,22,2017-12-06,102.9600,103.9200,100.4100,103.1800,4441608,December,Wednesday,2017,EA,-0.0019346101760494162,3,12
17,23,2017-12-05,100.5500,105.1926,99.6300,103.3800,4454836,December,Tuesday,2017,EA,0.025290092234454005,2,12
18,24,2017-12-04,105.5300,105.8750,100.6800,100.8300,6476227,December,Monday,2017,EA,-0.04895302773061685,1,12
19,25,2017-12-01,105.8600,106.8700,103.9500,106.0200,3836107,December,Friday,2017,EA,-0.0031029619181946245,5,12
20,26,2017-11-30,106.1100,106.5000,105.0600,106.3500,5395105,November,Thursday,2017,EA,0.008152431510095738,4,11
21,27,2017-11-29,109.2100,109.3900,104.9500,105.4900,5576689,November,Wednesday,2017,EA,-0.036356992783411014,3,11
22,28,2017-11-28,106.9900,110.5200,106.7400,109.4700,5362601,November,Tuesday,2017,EA,0.023179736423964894,2,11
23,29,2017-11-27,107.8600,108.2850,106.7900,106.9900,2398540,November,Monday,2017,EA,-0.008801185843987426,1,11
24,30,2017-11-24,107.6600,108.5800,107.5900,107.9400,1306290,November,Friday,2017,EA,0.005777115169586327,5,11
25,31,2017-11-22,108.0400,108.4400,106.6100,107.3200,2512190,November,Wednesday,2017,EA,-0.0036208337201745484,3,11
26,32,2017-11-21,107.7800,108.7700,107.5400,107.7100,3089096,November,Tuesday,2017,EA,0.0006503158677071087,2,11
27,33,2017-11-20,108.2800,108.4500,106.7500,107.6400,5948591,November,Monday,2017,EA,-0.010843594927402984,1,11
28,34,2017-11-17,108.9900,109.5500,107.5000,108.8200,8476713,November,Friday,2017,EA,-0.024910394265232987,5,11
29,35,2017-11-16,111.8500,113.1300,111.2100,111.6000,2308873,November,Thursday,2017,EA,0.0010764262648007745,4,11
30,36,2017-11-15,112.7200,112.8700,110.5200,111.4800,2483272,November,Wednesday,2017,EA,-0.007036608176716773,3,11
31,37,2017-11-14,110.6000,113.9000,110.3900,112.2700,3554816,November,Tuesday,2017,EA,0.0023212213195249612,2,11
32,38,2017-11-13,112.0000,113.2400,111.1900,112.0100,3157879,November,Monday,2017,EA,-0.006563192904656274,1,11
33,39,2017-11-10,111.2600,112.8300,110.8200,112.7500,2515313,November,Friday,2017,EA,0.007686120296719987,5,11
34,40,2017-11-09,112.9900,113.3000,110.9400,111.8900,3331403,November,Thursday,2017,EA,-0.019798510731493694,4,11
