,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,18.2300,18.3300,17.9400,17.9500,2063900,December,Friday,2017,GME,-0.012107870115575256,5,12
1,7,2017-12-28,18.2700,18.2800,18.0200,18.1700,1939400,December,Thursday,2017,GME,-0.004383561643835523,4,12
2,8,2017-12-27,18.5100,18.5700,18.2000,18.2500,1837600,December,Wednesday,2017,GME,-0.01404646137223131,3,12
3,9,2017-12-26,18.2900,19.1800,18.2700,18.5100,3234200,December,Tuesday,2017,GME,0.012028430836522823,2,12
4,10,2017-12-22,18.4500,18.5300,18.2500,18.2900,2085400,December,Friday,2017,GME,-0.008672086720867217,5,12
5,11,2017-12-21,18.2900,18.4700,18.0100,18.4500,2862100,December,Thursday,2017,GME,0.010958904109589003,4,12
6,12,2017-12-20,18.5300,18.6300,18.2100,18.2500,2304500,December,Wednesday,2017,GME,-0.007612833061446469,3,12
7,13,2017-12-19,18.7000,18.8000,18.3700,18.3900,2253700,December,Tuesday,2017,GME,-0.014469453376205765,2,12
8,14,2017-12-18,18.4500,18.7500,18.4000,18.6600,3206400,December,Monday,2017,GME,0.01744820065430754,1,12
9,15,2017-12-15,18.4400,18.5800,18.1700,18.3400,3875200,December,Friday,2017,GME,-0.0021762785636561016,5,12
10,16,2017-12-14,18.8100,18.9300,18.3400,18.3800,2818100,December,Thursday,2017,GME,-0.015532940546331156,4,12
11,17,2017-12-13,19.1000,19.1600,18.6100,18.6700,3086600,December,Wednesday,2017,GME,-0.023024594453165764,3,12
12,18,2017-12-12,19.1500,19.3000,18.9600,19.1100,2532900,December,Tuesday,2017,GME,0.0020975353959097613,2,12
13,19,2017-12-11,19.2800,19.3600,18.6700,19.0700,3652500,December,Monday,2017,GME,-0.0067708333333332815,1,12
14,20,2017-12-08,18.8800,19.3800,18.6700,19.2000,3142100,December,Friday,2017,GME,0.030595813204508875,5,12
15,21,2017-12-07,18.9900,19.1500,18.6100,18.6300,3277300,December,Thursday,2017,GME,-0.01998947922146252,4,12
16,22,2017-12-06,19.2700,19.3500,18.9300,19.0100,2430300,December,Wednesday,2017,GME,-0.013492475350285315,3,12
17,23,2017-12-05,19.5300,19.6500,18.9500,19.2700,3080900,December,Tuesday,2017,GME,-0.006701030927835001,2,12
18,24,2017-12-04,19.0400,19.8600,18.9900,19.4000,4361300,December,Monday,2017,GME,0.03356419818859878,1,12
19,25,2017-12-01,18.7300,19.1600,18.4800,18.7700,3831900,December,Friday,2017,GME,0.001066666666666644,5,12
20,26,2017-11-30,19.2200,19.3400,18.7000,18.7500,5024700,November,Thursday,2017,GME,-0.03944672131147539,4,11
21,27,2017-11-29,19.0900,19.6900,19.0600,19.5200,6477300,November,Wednesday,2017,GME,0.026288117770767613,3,11
22,28,2017-11-28,18.1700,19.0600,18.1700,19.0200,5883400,November,Tuesday,2017,GME,0.04678040726472195,2,11
23,29,2017-11-27,17.5900,18.1900,17.5900,18.1700,5846800,November,Monday,2017,GME,0.04305396096440872,1,11
24,30,2017-11-24,17.4300,18.1800,17.3500,17.4200,6474200,November,Friday,2017,GME,0.0028785261945884115,5,11
25,31,2017-11-22,17.8500,18.7000,17.3000,17.3700,20142400,November,Wednesday,2017,GME,0.03825463239689184,3,11
26,32,2017-11-21,16.5000,16.7900,16.2600,16.7300,9352400,November,Tuesday,2017,GME,0.017639902676398974,2,11
27,33,2017-11-20,16.4000,16.4600,16.0300,16.4400,3796700,November,Monday,2017,GME,0.007970570202330017,1,11
28,34,2017-11-17,16.3100,16.5800,16.1500,16.3100,3194500,November,Friday,2017,GME,0.00803461063040785,5,11
29,35,2017-11-16,16.0100,16.7900,16.0100,16.1800,4855100,November,Thursday,2017,GME,0.011249999999999982,4,11
30,36,2017-11-15,16.0800,16.5000,15.8500,16.0000,3821500,November,Wednesday,2017,GME,-0.011735639283508417,3,11
31,37,2017-11-14,16.1000,16.3800,15.8500,16.1900,3517800,November,Tuesday,2017,GME,-0.0006172839506171612,2,11
