,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,109.4000,110.2200,108.2500,109.7800,1173865,December,Friday,2017,TTWO,0.0017337348298202182,5,12
1,7,2017-12-28,108.3000,109.8100,107.1150,109.5900,785273,December,Thursday,2017,TTWO,0.01660482374768095,4,12
2,8,2017-12-27,108.6100,109.7900,107.5300,107.8000,874339,December,Wednesday,2017,TTWO,-0.004157043879907648,3,12
3,9,2017-12-26,108.8700,109.0200,107.6800,108.2500,612333,December,Tuesday,2017,TTWO,-0.008154663734652744,2,12
4,10,2017-12-22,110.5400,110.7600,108.9700,109.1400,724511,December,Friday,2017,TTWO,-0.011950027159152573,5,12
5,11,2017-12-21,108.6600,111.1600,107.4600,110.4600,1128328,December,Thursday,2017,TTWO,0.015724137931034426,4,12
6,12,2017-12-20,109.8600,109.8600,107.6600,108.7500,987089,December,Wednesday,2017,TTWO,-0.004849926793557844,3,12
7,13,2017-12-19,109.7700,110.6100,108.5700,109.2800,2282054,December,Tuesday,2017,TTWO,-0.009427121102247934,2,12
8,14,2017-12-18,113.8000,114.4600,108.9600,110.3200,2469655,December,Monday,2017,TTWO,-0.007824444644302587,1,12
9,15,2017-12-15,109.4900,111.9500,109.3600,111.1900,5185405,December,Friday,2017,TTWO,0.019904604659695485,5,12
10,16,2017-12-14,107.3300,110.5800,107.2450,109.0200,1914914,December,Thursday,2017,TTWO,0.011880452942268435,4,12
11,17,2017-12-13,108.0000,110.1590,106.8600,107.7400,2007666,December,Wednesday,2017,TTWO,0.0011150343802266338,3,12
12,18,2017-12-12,107.9500,108.3860,107.1100,107.6200,1234410,December,Tuesday,2017,TTWO,-0.0056361452462348645,2,12
13,19,2017-12-11,107.0000,108.4000,105.6900,108.2300,1656179,December,Monday,2017,TTWO,0.013294635333770262,1,12
14,20,2017-12-08,107.6200,108.9600,106.4300,106.8100,1718254,December,Friday,2017,TTWO,0.002534259433076741,5,12
