,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,14.0300,14.0600,13.9700,14.0600,4385,December,Friday,2017,TYO,-0.003536524000878757,5,12
1,7,2017-12-28,14.0500,14.1099,14.0000,14.1099,241557,December,Thursday,2017,TYO,0.002835820895522344,4,12
2,8,2017-12-27,14.0500,14.2400,14.0500,14.0700,30118,December,Wednesday,2017,TYO,-0.009168884945282483,3,12
3,9,2017-12-26,14.2500,14.2500,14.1818,14.2002,5740,December,Tuesday,2017,TYO,7.042203928124938e-06,2,12
4,10,2017-12-22,14.2800,14.2850,14.2001,14.2001,9928,December,Friday,2017,TYO,-0.004305297479227221,5,12
5,11,2017-12-21,14.3200,14.3200,14.2545,14.2615,2609,December,Thursday,2017,TYO,-0.0054741980474198055,4,12
6,12,2017-12-20,14.2600,14.3600,14.2011,14.3400,75972,December,Wednesday,2017,TYO,0.00843881856540079,3,12
7,13,2017-12-19,14.1100,14.2450,14.0455,14.2200,325409,December,Tuesday,2017,TYO,0.01675282610094604,2,12
8,14,2017-12-18,13.9300,14.0000,13.9100,13.9857,28224,December,Monday,2017,TYO,0.002559139784946257,1,12
9,15,2017-12-15,13.8900,13.9665,13.8900,13.9500,1432,December,Friday,2017,TYO,0.005767844268204764,5,12
10,16,2017-12-14,13.9600,13.9600,13.8600,13.8700,5167,December,Thursday,2017,TYO,-0.0014398848092153599,4,12
11,17,2017-12-13,14.0000,14.0000,13.8700,13.8900,4336,December,Wednesday,2017,TYO,-0.011387900355871896,3,12
12,18,2017-12-12,14.0600,14.0650,14.0300,14.0500,10087,December,Tuesday,2017,TYO,0.0074428876683255265,2,12
13,19,2017-12-11,13.9200,13.9800,13.9200,13.9462,1349,December,Monday,2017,TYO,-0.0038428571428571956,1,12
14,20,2017-12-08,13.9650,14.0000,13.9650,14.0000,734,December,Friday,2017,TYO,0.0028653295128939216,5,12
15,21,2017-12-07,13.8463,13.9600,13.8463,13.9600,11308,December,Thursday,2017,TYO,0.009399855386840258,4,12
16,22,2017-12-06,13.8300,13.8872,13.8100,13.8300,18401,December,Wednesday,2017,TYO,-0.010729613733905604,3,12
17,23,2017-12-05,14.0200,14.0200,13.9800,13.9800,7031,December,Tuesday,2017,TYO,-0.0014285714285713982,2,12
18,24,2017-12-04,14.0500,14.0703,14.0000,14.0000,13617,December,Monday,2017,TYO,0.007186998654685929,1,12
19,25,2017-12-01,14.0305,14.1100,13.8000,13.9001,8319,December,Friday,2017,TYO,-0.016277308723929795,5,12
20,26,2017-11-30,14.0304,14.1301,14.0301,14.1301,3918,November,Thursday,2017,TYO,0.009300066429045944,4,11
21,27,2017-11-29,13.9800,14.0399,13.9800,13.9999,2904,November,Wednesday,2017,TYO,0.013017366136034728,3,11
22,28,2017-11-28,13.8000,13.8400,13.7800,13.8200,10391,November,Tuesday,2017,TYO,-0.001546086378545513,2,11
23,29,2017-11-27,13.8300,13.9047,13.8300,13.8414,2521,November,Monday,2017,TYO,-0.0027809798270893825,1,11
24,30,2017-11-24,13.8500,13.9100,13.8500,13.8800,1599,November,Friday,2017,TYO,0.0014430014430015404,5,11
25,31,2017-11-22,13.9500,13.9500,13.8600,13.8600,2869,November,Wednesday,2017,TYO,-0.008583690987124535,3,11
26,32,2017-11-21,13.8600,14.0200,13.8600,13.9800,25750,November,Tuesday,2017,TYO,0.0,2,11
27,33,2017-11-20,13.9800,14.0000,13.9500,13.9800,7727,November,Monday,2017,TYO,0.005755395683453243,1,11
28,34,2017-11-17,13.9000,13.9000,13.9000,13.9000,865,November,Friday,2017,TYO,-0.0035842293906809273,5,11
29,35,2017-11-16,13.9500,13.9500,13.9200,13.9500,1681,November,Thursday,2017,TYO,0.005767844268204764,4,11
30,36,2017-11-15,13.9700,13.9700,13.8500,13.8700,10091,November,Wednesday,2017,TYO,-0.01069900142653355,3,11
31,37,2017-11-14,14.1000,14.1000,14.0200,14.0200,829,November,Tuesday,2017,TYO,-0.0021352313167260595,2,11
32,38,2017-11-13,14.0800,14.0900,13.9900,14.0500,17284,November,Monday,2017,TYO,-0.0014214641080312418,1,11
33,39,2017-11-10,13.9700,14.0700,13.9700,14.0700,655,November,Friday,2017,TYO,0.015884476534296074,5,11
34,40,2017-11-09,13.8700,13.8800,13.8400,13.8500,1545,November,Thursday,2017,TYO,0.0021707670043414878,4,11
35,41,2017-11-08,13.8400,13.8400,13.7700,13.8200,2482,November,Wednesday,2017,TYO,0.005822416302765653,3,11
36,42,2017-11-07,13.8000,13.8000,13.7400,13.7400,1304,November,Tuesday,2017,TYO,-0.0036258158085568483,2,11
37,43,2017-11-06,13.8500,13.8500,13.7900,13.7900,927,November,Monday,2017,TYO,-0.009339080459770171,1,11
38,44,2017-11-03,13.9000,13.9200,13.8900,13.9200,1289,November,Friday,2017,TYO,-0.0014347202295552062,5,11
39,45,2017-11-02,13.9100,13.9400,13.8700,13.9400,2362,November,Thursday,2017,TYO,-0.0007168458781361854,4,11
40,46,2017-11-01,13.9800,13.9800,13.9500,13.9500,1689,November,Wednesday,2017,TYO,-0.003571428571428622,3,11
41,47,2017-10-31,14.0000,14.0200,13.9800,14.0000,1006,October,Tuesday,2017,TYO,0.0,2,10
42,48,2017-10-30,14.0200,14.0400,13.9800,14.0000,8416,October,Monday,2017,TYO,-0.010600706713780944,1,10
43,49,2017-10-27,14.2100,14.2800,14.1500,14.1500,10074,October,Friday,2017,TYO,-0.0035211267605633053,5,10
44,50,2017-10-26,14.2200,14.2300,14.2000,14.2000,2314,October,Thursday,2017,TYO,-0.0014064697609002354,4,10
45,51,2017-10-25,14.3400,14.3400,14.2000,14.2200,30998,October,Wednesday,2017,TYO,0.00708215297450435,3,10
46,52,2017-10-24,14.1000,14.1700,14.0900,14.1200,8004,October,Tuesday,2017,TYO,0.0021291696238466542,2,10
47,53,2017-10-23,14.0800,14.0900,13.9600,14.0900,1841,October,Monday,2017,TYO,0.006428571428571418,1,10
48,54,2017-10-20,14.0300,14.0400,14.0000,14.0000,26901,October,Friday,2017,TYO,0.014492753623188354,5,10
49,55,2017-10-19,13.8100,13.8300,13.8000,13.8000,4981,October,Thursday,2017,TYO,-0.007194244604316521,4,10
50,56,2017-10-18,13.9400,13.9600,13.9000,13.9000,4715,October,Wednesday,2017,TYO,0.004335260115606972,3,10
51,57,2017-10-17,13.8600,13.9100,13.8200,13.8400,756,October,Tuesday,2017,TYO,0.0021723388848659928,2,10
52,58,2017-10-16,13.7700,13.8100,13.7700,13.8100,876,October,Monday,2017,TYO,0.0043636363636364,1,10
53,59,2017-10-13,13.7500,13.8100,13.7300,13.7500,4487,October,Friday,2017,TYO,-0.01007919366450688,5,10
54,60,2017-10-12,13.9000,13.9300,13.8900,13.8900,753,October,Thursday,2017,TYO,-0.00501432664756449,4,10
55,61,2017-10-11,13.9900,13.9900,13.9200,13.9600,4459,October,Wednesday,2017,TYO,-0.0007158196134573934,3,10
56,62,2017-10-10,13.9200,13.9700,13.9100,13.9700,1622,October,Tuesday,2017,TYO,0.0021520803443329365,2,10
57,63,2017-10-09,14.1000,14.1000,13.9400,13.9400,2379,October,Monday,2017,TYO,-0.0042857142857143215,1,10
58,64,2017-10-06,14.0800,14.1500,13.9700,14.0000,8701,October,Friday,2017,TYO,0.0028653295128939216,5,10
59,65,2017-10-05,13.9400,14.0000,13.9400,13.9600,2891,October,Thursday,2017,TYO,0.00503959683225344,4,10
60,66,2017-10-04,13.8800,13.9700,13.8800,13.8900,2440,October,Wednesday,2017,TYO,-0.002871500358937484,3,10
61,67,2017-10-03,13.9400,13.9500,13.8700,13.9300,7303,October,Tuesday,2017,TYO,-0.00500000000000002,2,10
62,68,2017-10-02,13.9500,14.0000,13.9500,14.0000,484,October,Monday,2017,TYO,0.007194244604316521,1,10
63,69,2017-09-29,13.7400,13.9500,13.7400,13.9000,1797,September,Friday,2017,TYO,0.000719942404607616,5,9
