Unnamed: 0,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,63.59,63.83,63.12,63.32,3188465,December,Friday,2017,ATVI,-0.0012618296529968186,5,12
1,7,2017-12-28,63.34,63.5,62.6001,63.4,3102865,December,Thursday,2017,ATVI,0.0009472687085569176,4,12
2,8,2017-12-27,63.67,63.7399,63.07,63.34,4764842,December,Wednesday,2017,ATVI,-0.0017336485421591715,3,12
3,9,2017-12-26,64.24,64.47,63.38,63.45,3203245,December,Tuesday,2017,ATVI,-0.016431560998294868,2,12
4,10,2017-12-22,64.86,64.95,64.38,64.51,3297781,December,Friday,2017,ATVI,-0.008758451137061973,5,12
5,11,2017-12-21,64.51,65.2,64.14,65.08,3333438,December,Thursday,2017,ATVI,0.010872941907424709,4,12
6,12,2017-12-20,65.31,65.44,64.0061,64.38,4676308,December,Wednesday,2017,ATVI,-0.008012326656394609,3,12
7,13,2017-12-19,66.1,66.25,64.3901,64.9,5928911,December,Tuesday,2017,ATVI,-0.016815633994849255,2,12
8,14,2017-12-18,67.08,67.4,65.88,66.01,6179536,December,Monday,2017,ATVI,-0.01078974973774912,1,12
9,15,2017-12-15,65.47,67.0,64.99,66.73,9306372,December,Friday,2017,ATVI,0.026141780716592386,5,12
10,16,2017-12-14,64.7,65.45,64.54,65.03,4683251,December,Thursday,2017,ATVI,0.006656346749226111,4,12
11,17,2017-12-13,64.85,65.28,64.3,64.6,5405265,December,Wednesday,2017,ATVI,0.0031055900621116245,3,12
12,18,2017-12-12,64.11,64.69,63.2,64.4,6413495,December,Tuesday,2017,ATVI,0.019471268006965397,2,12
13,19,2017-12-11,62.14,63.18,62.14,63.17,3495142,December,Monday,2017,ATVI,0.01185327566874903,1,12
14,20,2017-12-08,62.26,63.51,62.0403,62.43,5742404,December,Friday,2017,ATVI,0.013967841481240854,5,12
15,21,2017-12-07,60.8,62.45,60.69,61.57,6940997,December,Thursday,2017,ATVI,0.01349794238683128,4,12
16,22,2017-12-06,59.48,60.81,58.63,60.75,8237480,December,Wednesday,2017,ATVI,0.02015113350125949,3,12
17,23,2017-12-05,57.635,60.72,57.29,59.55,7587949,December,Tuesday,2017,ATVI,0.016211604095563062,2,12
18,24,2017-12-04,62.39,62.48,58.35,58.6,12287139,December,Monday,2017,ATVI,-0.054228534538411866,1,12
19,25,2017-12-01,61.96,62.69,60.7128,61.96,5414035,December,Friday,2017,ATVI,-0.007051282051282016,5,12
20,26,2017-11-30,62.55,62.73,60.86,62.4,8942328,November,Thursday,2017,ATVI,0.006289308176100638,4,11
21,27,2017-11-29,65.61,65.71,61.95,62.01,9258335,November,Wednesday,2017,ATVI,-0.060027285129604376,3,11
22,28,2017-11-28,66.02,66.46,65.84,65.97,3336450,November,Tuesday,2017,ATVI,0.003498630970489869,2,11
23,29,2017-11-27,66.18,66.45,65.63,65.74,4079998,November,Monday,2017,ATVI,-0.004391943056186677,1,11
24,30,2017-11-24,65.18,66.14,65.12,66.03,1644818,November,Friday,2017,ATVI,0.013662879950875045,5,11
25,31,2017-11-22,64.91,66.31,64.89,65.14,5711411,November,Wednesday,2017,ATVI,0.009922480620155048,3,11
26,32,2017-11-21,64.49,64.95,64.19,64.5,3542389,November,Tuesday,2017,ATVI,0.008916001877053029,2,11
27,33,2017-11-20,63.93,64.18,63.28,63.93,3115714,November,Monday,2017,ATVI,-0.002652106084243285,1,11
28,34,2017-11-17,64.0,64.44,63.18,64.1,4116771,November,Friday,2017,ATVI,-0.00046779978169345305,5,11
29,35,2017-11-16,63.13,64.41,63.04,64.13,4325436,November,Thursday,2017,ATVI,0.019716966131340358,4,11
30,36,2017-11-15,63.43,63.67,62.5,62.89,4101191,November,Wednesday,2017,ATVI,-0.01780415430267063,3,11
31,37,2017-11-14,63.37,64.4,62.79,64.03,4344145,November,Tuesday,2017,ATVI,0.006444514303678147,2,11
32,38,2017-11-13,62.72,63.97,62.67,63.62,3019231,November,Monday,2017,ATVI,0.0098412698412698,1,11
33,39,2017-11-10,62.87,63.07,62.25,63.0,4809846,November,Friday,2017,ATVI,-0.0048965408308324476,5,11
