level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4527,2017-12-29,1182.35,1184.0,1167.5,1169.47,2625283,December,Friday,2017,AMZN,-0.014020740241126279
4526,2017-12-28,1189.0,1190.1,1184.38,1186.1,1803460,December,Thursday,2017,AMZN,0.0032480165107505268
4525,2017-12-27,1179.91,1187.29,1175.61,1182.26,1779382,December,Wednesday,2017,AMZN,0.004673850232842721
4524,2017-12-26,1168.36,1178.32,1160.55,1176.76,1964871,December,Tuesday,2017,AMZN,0.007189564860145923
4523,2017-12-22,1172.08,1174.62,1167.83,1168.36,1553997,December,Friday,2017,AMZN,-0.0054479212775376176
4522,2017-12-21,1175.9,1179.17,1167.64,1174.76,2042448,December,Thursday,2017,AMZN,-0.002428627231195037
4521,2017-12-20,1190.5,1191.0,1176.0,1177.62,2318916,December,Wednesday,2017,AMZN,-0.00821977799861899
4520,2017-12-19,1189.15,1192.97,1179.14,1187.38,2555235,December,Tuesday,2017,AMZN,-0.002687765626837187
4519,2017-12-18,1187.37,1194.78,1180.91,1190.58,2767271,December,Monday,2017,AMZN,0.009701986193327192
4518,2017-12-15,1179.03,1182.75,1169.33,1179.14,4539895,December,Friday,2017,AMZN,0.004155808764668906
4517,2017-12-14,1163.71,1177.93,1162.45,1174.26,3069993,December,Thursday,2017,AMZN,0.00870177729291392
4516,2017-12-13,1170.0,1170.87,1160.27,1164.13,2555053,December,Wednesday,2017,AMZN,-0.0008153946510109332
4515,2017-12-12,1166.51,1173.6,1161.61,1165.08,2197697,December,Tuesday,2017,AMZN,-0.003285083666974768
4514,2017-12-11,1164.6,1169.9,1157.0,1168.92,2257922,December,Monday,2017,AMZN,0.005955249569707464
4513,2017-12-08,1170.4,1172.79,1157.1,1162.0,2957785,December,Friday,2017,AMZN,0.001905517378146075
4512,2017-12-07,1156.59,1163.19,1151.0,1159.79,2408323,December,Thursday,2017,AMZN,0.006456371762051508
4511,2017-12-06,1137.99,1155.89,1136.08,1152.35,2756730,December,Wednesday,2017,AMZN,0.009443135331166705
4510,2017-12-05,1128.26,1159.27,1124.74,1141.57,4033184,December,Tuesday,2017,AMZN,0.006719873010273725
4509,2017-12-04,1173.85,1175.2,1128.0,1133.95,5872358,December,Monday,2017,AMZN,-0.024433260205617813
4508,2017-12-01,1172.05,1179.65,1152.0,1162.35,4070722,December,Friday,2017,AMZN,-0.012237093690248644
4507,2017-11-30,1167.1,1178.57,1160.0,1176.75,4470183,November,Thursday,2017,AMZN,0.0133302332790824
4506,2017-11-29,1194.8,1194.8,1145.19,1161.27,9239087,November,Wednesday,2017,AMZN,-0.02708612600536188
4505,2017-11-28,1204.88,1205.34,1188.52,1193.6,4463476,November,Tuesday,2017,AMZN,-0.0018648135604559329
4504,2017-11-27,1202.66,1213.41,1191.15,1195.83,6701343,November,Monday,2017,AMZN,0.008288364249578354
4503,2017-11-24,1160.7,1186.84,1160.7,1186.0,3526582,November,Friday,2017,AMZN,0.025809576529200042
4502,2017-11-22,1141.0,1160.27,1141.0,1156.16,3516336,November,Wednesday,2017,AMZN,0.01462935172752729
4501,2017-11-21,1132.86,1140.0,1128.2,1139.49,2449503,November,Tuesday,2017,AMZN,0.011701929308982487
4500,2017-11-20,1129.77,1133.42,1122.55,1126.31,2134381,November,Monday,2017,AMZN,-0.0031596275710696385
4499,2017-11-17,1138.28,1138.8,1125.81,1129.88,2333554,November,Friday,2017,AMZN,-0.00651548857371458
4498,2017-11-16,1130.16,1138.16,1130.05,1137.29,2190456,November,Thursday,2017,AMZN,0.009408089181584915
4497,2017-11-15,1127.01,1131.75,1121.63,1126.69,3897230,November,Wednesday,2017,AMZN,-0.008928257274550391
4496,2017-11-14,1130.11,1138.0,1123.89,1136.84,3042295,November,Tuesday,2017,AMZN,0.006792599874243776
4495,2017-11-13,1123.0,1139.9,1122.34,1129.17,2897563,November,Monday,2017,AMZN,0.003394499489047997
4494,2017-11-10,1126.1,1131.75,1124.06,1125.35,2162985,November,Friday,2017,AMZN,-0.003347710183947109
4493,2017-11-09,1125.96,1129.62,1115.77,1129.13,3661411,November,Thursday,2017,AMZN,-0.0033101475884471433
4492,2017-11-08,1122.82,1135.54,1119.11,1132.88,2581451,November,Wednesday,2017,AMZN,0.008645173927366325
4491,2017-11-07,1124.74,1130.6,1117.5,1123.17,2623474,November,Tuesday,2017,AMZN,0.0022397515749647445
4490,2017-11-06,1109.15,1125.41,1108.77,1120.66,3313857,November,Monday,2017,AMZN,0.008150413817920272
4489,2017-11-03,1091.15,1112.68,1088.52,1111.6,3685172,November,Friday,2017,AMZN,0.015883460364460422
4488,2017-11-02,1097.81,1101.94,1086.87,1094.22,3658748,November,Thursday,2017,AMZN,-0.008571325021745466
4487,2017-11-01,1105.4,1108.97,1096.74,1103.68,3723680,November,Wednesday,2017,AMZN,-0.0014475969889981807
4486,2017-10-31,1109.0,1110.54,1101.12,1105.28,3428461,October,Tuesday,2017,AMZN,-0.005014178331907941
4485,2017-10-30,1095.01,1122.79,1093.56,1110.85,6516639,October,Monday,2017,AMZN,0.008992233979744642
4484,2017-10-27,1058.14,1105.58,1050.55,1100.95,16360527,October,Friday,2017,AMZN,0.13216375471756334
4483,2017-10-26,980.33,982.9,968.55,972.43,3670282,October,Thursday,2017,AMZN,-0.000493365265029672
4482,2017-10-25,978.0,984.44,966.24,972.91,2969295,October,Wednesday,2017,AMZN,-0.0030638385080438662
4481,2017-10-24,969.0,979.85,965.0,975.9,2666782,October,Tuesday,2017,AMZN,0.009934802856255844
4480,2017-10-23,986.73,986.775,962.5,966.3,3465469,October,Monday,2017,AMZN,-0.016898800500554492
4479,2017-10-20,993.53,994.62,982.0,982.91,2294145,October,Friday,2017,AMZN,-0.003750215383991695
4478,2017-10-19,990.0,991.05,980.24,986.61,3040066,October,Thursday,2017,AMZN,-0.010421263791374109
4477,2017-10-18,1009.27,1022.31,996.55,997.0,2477357,October,Wednesday,2017,AMZN,-0.01202025507119994
