level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4527,2017-12-29,56.83,56.99,56.27,56.27,8403394,December,Friday,2017,MRK,-0.005830388692579475
4526,2017-12-28,56.34,56.8,56.3,56.6,4848123,December,Thursday,2017,MRK,0.004614838480653142
4525,2017-12-27,56.39,56.625,56.26,56.34,5541590,December,Wednesday,2017,MRK,0.0
4524,2017-12-26,56.49,56.6,56.27,56.34,4404019,December,Tuesday,2017,MRK,-0.0003548616039743793
4523,2017-12-22,56.54,56.83,56.13,56.36,7934596,December,Friday,2017,MRK,-0.0042402826855124035
4522,2017-12-21,56.16,56.795,56.08,56.6,9891111,December,Thursday,2017,MRK,0.008732846194974194
4521,2017-12-20,56.38,56.49,55.98,56.11,13093292,December,Wednesday,2017,MRK,-0.0021340921216432057
4520,2017-12-19,56.11,56.6158,56.01,56.23,9450195,December,Tuesday,2017,MRK,0.00017787264318744241
4519,2017-12-18,56.32,56.69,56.2,56.22,11577605,December,Monday,2017,MRK,-0.00035561877667146383
4518,2017-12-15,56.21,56.37,55.75,56.24,21240948,December,Friday,2017,MRK,0.0041064095697197645
4517,2017-12-14,56.6,56.738,55.955,56.01,10048156,December,Thursday,2017,MRK,-0.015814443858724277
4516,2017-12-13,56.94,57.37,56.645,56.91,13171793,December,Wednesday,2017,MRK,-0.002803574557560955
4515,2017-12-12,56.87,57.17,56.63,57.07,13768582,December,Tuesday,2017,MRK,0.012957046503372326
4514,2017-12-11,55.57,56.635,55.56,56.34,9742654,December,Monday,2017,MRK,0.013856397336692515
4513,2017-12-08,55.12,55.57,54.66,55.57,10355778,December,Friday,2017,MRK,0.01460653642505016
4512,2017-12-07,55.38,55.84,54.68,54.77,16451132,December,Thursday,2017,MRK,0.0077276908923643375
4511,2017-12-06,55.55,55.93,54.185,54.35,20052785,December,Wednesday,2017,MRK,-0.02546171776941011
4510,2017-12-05,56.15,56.51,55.72,55.77,11828923,December,Tuesday,2017,MRK,-0.008004268943436425
4509,2017-12-04,55.93,56.71,55.87,56.22,12846770,December,Monday,2017,MRK,0.0062645426883837715
4508,2017-12-01,55.4,55.975,55.22,55.87,12092385,December,Friday,2017,MRK,0.010855798805862028
4507,2017-11-30,55.42,55.89,55.03,55.27,15400374,November,Thursday,2017,MRK,-0.0016257225433525346
4506,2017-11-29,55.04,55.6546,54.93,55.36,10477609,November,Wednesday,2017,MRK,0.007828144911705802
4505,2017-11-28,54.93,55.125,54.41,54.93,12449992,November,Tuesday,2017,MRK,0.006966086159486757
4504,2017-11-27,54.41,54.6,54.2,54.55,10051128,November,Monday,2017,MRK,0.003679852805887686
4503,2017-11-24,54.5,54.63,54.11,54.35,4341296,November,Friday,2017,MRK,-0.00036784991723369547
4502,2017-11-22,54.23,54.57,54.17,54.37,7374403,November,Wednesday,2017,MRK,0.001842638658558952
4501,2017-11-21,54.36,54.85,54.18,54.27,13711279,November,Tuesday,2017,MRK,0.0031423290203327486
4500,2017-11-20,54.04,54.39,53.63,54.1,16886642,November,Monday,2017,MRK,-0.019927536231884084
4499,2017-11-17,55.0,55.43,54.75,55.2,9869660,November,Friday,2017,MRK,0.0005437737901033376
4498,2017-11-16,54.86,55.37,54.75,55.17,11982590,November,Thursday,2017,MRK,0.006751824817518332
4497,2017-11-15,54.76,55.1,54.4,54.8,11636283,November,Wednesday,2017,MRK,-0.003455173667939713
4496,2017-11-14,54.97,55.18,54.75,54.99,12563891,November,Tuesday,2017,MRK,-0.0019963702359346537
4495,2017-11-13,55.31,55.52,55.06,55.1,13348712,November,Monday,2017,MRK,-0.006849315068493069
4494,2017-11-10,56.29,56.29,55.15,55.48,16135755,November,Friday,2017,MRK,-0.012987012987013056
4493,2017-11-09,56.55,56.66,55.615,56.21,14055011,November,Thursday,2017,MRK,-0.006539413220219114
4492,2017-11-08,55.5,56.72,55.46,56.58,15132913,November,Wednesday,2017,MRK,0.01780895844576353
4491,2017-11-07,55.88,56.185,55.38,55.59,14183210,November,Tuesday,2017,MRK,-0.005189692197566198
4490,2017-11-06,56.04,56.175,55.6,55.88,8605235,November,Monday,2017,MRK,-0.0032108455226542943
4489,2017-11-03,55.3,56.275,55.185,56.06,9799072,November,Friday,2017,MRK,0.012461621816868428
4488,2017-11-02,55.48,55.57,55.035,55.37,12291530,November,Thursday,2017,MRK,0.0005421033610407307
4487,2017-11-01,55.54,55.8,55.28,55.34,16077251,November,Wednesday,2017,MRK,0.004538028680341259
4486,2017-10-31,55.17,55.79,55.03,55.09,18058377,October,Tuesday,2017,MRK,0.006945713763480215
4485,2017-10-30,55.75,56.05,54.41,54.71,38479047,October,Monday,2017,MRK,-0.060611263736263764
4484,2017-10-27,60.55,60.55,57.82,58.24,28974238,October,Friday,2017,MRK,-0.06049362800451685
4483,2017-10-26,62.29,62.69,61.805,61.99,10501228,October,Thursday,2017,MRK,-0.00736589271417135
4482,2017-10-25,63.1,63.125,62.33,62.45,8955320,October,Wednesday,2017,MRK,-0.010457930597369618
4481,2017-10-24,63.31,63.31,62.365,63.11,10037074,October,Tuesday,2017,MRK,-0.004574132492113551
4480,2017-10-23,64.03,64.52,63.3,63.4,11551528,October,Monday,2017,MRK,-0.0075140889167189095
4479,2017-10-20,63.85,63.99,63.57,63.88,10237421,October,Friday,2017,MRK,0.00203921568627455
4478,2017-10-19,63.64,64.03,63.59,63.75,9148340,October,Thursday,2017,MRK,0.0037789324515824594
4477,2017-10-18,64.09,64.11,63.41,63.51,7836003,October,Wednesday,2017,MRK,0.004587155963302739
4476,2017-10-17,63.21,63.31,62.88,63.22,6920903,October,Tuesday,2017,MRK,-0.0018945374171140605
4475,2017-10-16,63.49,63.73,63.26,63.34,7442626,October,Monday,2017,MRK,-0.0007887679444706919
4474,2017-10-13,63.95,64.1649,63.38,63.39,7245416,October,Friday,2017,MRK,-0.006893310355632113
4473,2017-10-12,63.79,63.98,63.555,63.83,5977650,October,Thursday,2017,MRK,0.0007839448102853114
4472,2017-10-11,64.34,64.34,63.52,63.78,9893452,October,Wednesday,2017,MRK,-0.01054917778467255
4471,2017-10-10,64.31,64.475,64.195,64.46,4914017,October,Tuesday,2017,MRK,0.0020208300948234953
4470,2017-10-09,64.67,64.74,64.12,64.33,5442261,October,Monday,2017,MRK,-0.0034082106893880536
4469,2017-10-06,64.7,64.9,64.37,64.55,6785589,October,Friday,2017,MRK,-0.0007739938080494916
4468,2017-10-05,64.42,64.795,64.33,64.6,8842820,October,Thursday,2017,MRK,0.0
4467,2017-10-04,64.42,64.62,64.33,64.6,6337610,October,Wednesday,2017,MRK,0.003573093055771163
4466,2017-10-03,64.55,64.5789,63.78,64.37,6493480,October,Tuesday,2017,MRK,-0.0027885360185901267
4465,2017-10-02,64.21,64.68,63.89,64.55,6105156,October,Monday,2017,MRK,0.008121193190691801
4464,2017-09-29,64.29,64.53,63.33,64.03,11412426,September,Friday,2017,MRK,-0.004044174832789005
4463,2017-09-28,64.27,64.66,64.17,64.29,6992210,September,Thursday,2017,MRK,-0.004336379123431732
4462,2017-09-27,64.68,64.75,64.32,64.57,6586716,September,Wednesday,2017,MRK,-0.002933909820877269
4461,2017-09-26,65.1,65.32,64.72,64.76,5793974,September,Tuesday,2017,MRK,-0.0064436943847806325
4460,2017-09-25,65.16,65.4,65.04,65.18,5471183,September,Monday,2017,MRK,0.0007676953784739963
4459,2017-09-22,65.63,65.7,65.065,65.13,7378603,September,Friday,2017,MRK,-0.0071646341463414455
4458,2017-09-21,65.85,65.93,65.52,65.6,5876566,September,Thursday,2017,MRK,-0.002887976896185012
4457,2017-09-20,66.07,66.31,65.19,65.79,9263753,September,Wednesday,2017,MRK,-0.002426080363912003
4456,2017-09-19,66.02,66.16,65.68,65.95,6954343,September,Tuesday,2017,MRK,-0.0006061524473403855
4455,2017-09-18,66.02,66.41,65.805,65.99,10538309,September,Monday,2017,MRK,-0.002569528415961332
4454,2017-09-15,66.17,66.38,65.75,66.16,14271851,September,Friday,2017,MRK,0.0006049606775558385
