level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4527,2017-12-29,84.6,84.69,83.96,83.96,756085,December,Friday,2017,NVS,-0.0034421364985163946
4526,2017-12-28,84.61,84.61,84.17,84.25,723466,December,Thursday,2017,NVS,0.004890267175572478
4525,2017-12-27,84.04,84.06,83.765,83.84,499650,December,Wednesday,2017,NVS,0.008783539886896929
4524,2017-12-26,82.84,83.32,82.84,83.11,400166,December,Tuesday,2017,NVS,0.0019288728149487234
4523,2017-12-22,83.1,83.13,82.77,82.95,803727,December,Friday,2017,NVS,-0.006467840459935227
4522,2017-12-21,83.09,84.02,83.06,83.49,1078804,December,Thursday,2017,NVS,0.005298013245033086
4521,2017-12-20,83.8,83.84,82.88,83.05,1368849,December,Wednesday,2017,NVS,-0.019827687949958768
4520,2017-12-19,85.47,85.47,84.72,84.73,1107211,December,Tuesday,2017,NVS,-0.0039967085929233466
4519,2017-12-18,84.95,85.59,84.91,85.07,1097676,December,Monday,2017,NVS,0.002474664152722057
4518,2017-12-15,84.52,84.95,84.3,84.86,1281851,December,Friday,2017,NVS,0.004617023795430337
4517,2017-12-14,84.82,84.93,84.44,84.47,890999,December,Thursday,2017,NVS,-0.0022442712024568602
4516,2017-12-13,84.93,85.1,84.46,84.66,879329,December,Wednesday,2017,NVS,0.0023679848448970265
4515,2017-12-12,83.82,84.565,83.77,84.46,980707,December,Tuesday,2017,NVS,0.007875894988066786
4514,2017-12-11,83.83,84.09,83.68,83.8,1126454,December,Monday,2017,NVS,-0.0019056693663648953
4513,2017-12-08,83.22,84.18,83.2,83.96,1054160,December,Friday,2017,NVS,0.013030888030888012
4512,2017-12-07,82.61,83.09,82.53,82.88,691589,December,Thursday,2017,NVS,-0.0036066362106276905
4511,2017-12-06,83.03,83.54,82.95,83.18,1256817,December,Wednesday,2017,NVS,-0.007872137404580112
4510,2017-12-05,83.81,84.23,83.72,83.84,1017615,December,Tuesday,2017,NVS,-0.012252591894439115
4509,2017-12-04,86.0,86.13,84.85,84.88,997976,December,Monday,2017,NVS,-0.013596746077861727
4508,2017-12-01,85.58,86.16,85.58,86.05,1178747,December,Friday,2017,NVS,0.002913752913752914
4507,2017-11-30,85.57,86.04,85.3323,85.8,927978,November,Thursday,2017,NVS,0.00763358778625944
4506,2017-11-29,85.01,85.36,84.96,85.15,1004469,November,Wednesday,2017,NVS,-0.0025770176877122977
4505,2017-11-28,85.02,85.48,84.74,85.37,1306220,November,Tuesday,2017,NVS,0.010056791292001994
4504,2017-11-27,85.09,85.11,84.49,84.52,836771,November,Monday,2017,NVS,-0.006582040432534114
4503,2017-11-24,85.18,85.35,84.9,85.08,733965,November,Friday,2017,NVS,0.007102272727272659
4502,2017-11-22,85.05,85.21,84.28,84.48,1540361,November,Wednesday,2017,NVS,0.0023730422401519085
4501,2017-11-21,83.9,84.55,83.9,84.28,1944527,November,Tuesday,2017,NVS,0.012737322758952202
4500,2017-11-20,84.0,84.04,83.19,83.22,4008604,November,Monday,2017,NVS,-0.009049773755656168
4499,2017-11-17,83.65,84.3,83.24,83.98,1545668,November,Friday,2017,NVS,0.01156347867983628
4498,2017-11-16,83.03,83.367,82.93,83.02,1216786,November,Thursday,2017,NVS,0.005084745762711886
4497,2017-11-15,82.75,82.9,82.57,82.6,838953,November,Wednesday,2017,NVS,-0.005178851017704526
