level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4527,2017-12-29,36.23,36.49,36.22,36.22,11337557,December,Friday,2017,PFE,-0.004124278251305982
4526,2017-12-28,36.36,36.53,36.25,36.37,6574788,December,Thursday,2017,PFE,0.001101018442058881
4525,2017-12-27,36.31,36.46,36.23,36.33,8132093,December,Wednesday,2017,PFE,0.0033140016570007576
4524,2017-12-26,36.09,36.27,35.95,36.21,10885234,December,Tuesday,2017,PFE,0.0019369120088544628
4523,2017-12-22,36.26,36.38,36.05,36.14,8575461,December,Friday,2017,PFE,-0.002759381898454785
4522,2017-12-21,36.585,36.6,36.19,36.24,14577781,December,Thursday,2017,PFE,-0.006034009873834308
4521,2017-12-20,36.98,37.14,36.425,36.46,14288514,December,Wednesday,2017,PFE,-0.01299404439631827
4520,2017-12-19,37.17,37.23,36.88,36.94,13816019,December,Tuesday,2017,PFE,-0.0051171559385942604
4519,2017-12-18,37.16,37.35,37.06,37.13,16602604,December,Monday,2017,PFE,-0.0018817204301075344
4518,2017-12-15,36.81,37.225,36.71,37.2,35613216,December,Friday,2017,PFE,0.020296215030170102
4517,2017-12-14,36.66,36.89,36.34,36.46,14603725,December,Thursday,2017,PFE,-0.004912663755458508
4516,2017-12-13,36.57,36.8,36.47,36.64,15678542,December,Wednesday,2017,PFE,0.0016402405686167926
4515,2017-12-12,36.36,36.82,36.25,36.58,21907784,December,Tuesday,2017,PFE,0.010218171775752485
4514,2017-12-11,35.79,36.26,35.69,36.21,13719146,December,Monday,2017,PFE,0.013150531617235558
4513,2017-12-08,35.32,35.77,35.32,35.74,14580055,December,Friday,2017,PFE,0.006760563380281746
4512,2017-12-07,35.56,35.64,35.15,35.5,15761894,December,Thursday,2017,PFE,-0.0016872890888639561
4511,2017-12-06,35.69,35.88,35.51,35.56,17049466,December,Wednesday,2017,PFE,-0.0019646365422396933
4510,2017-12-05,36.12,36.185,35.51,35.63,22235224,December,Tuesday,2017,PFE,-0.01192457016084303
4509,2017-12-04,36.49,36.62,36.05,36.06,13716972,December,Monday,2017,PFE,-0.007977991746905066
4508,2017-12-01,36.29,36.5,36.01,36.35,18584945,December,Friday,2017,PFE,0.0024820739106454328
4507,2017-11-30,36.21,36.48,36.08,36.26,22830776,November,Thursday,2017,PFE,0.0013808340237502668
4506,2017-11-29,35.94,36.41,35.875,36.21,15296837,November,Wednesday,2017,PFE,0.010041841004184085
4505,2017-11-28,35.59,35.89,35.52,35.85,12682149,November,Tuesday,2017,PFE,0.010143702451394742
4504,2017-11-27,35.52,35.65,35.38,35.49,9991179,November,Monday,2017,PFE,0.0
4503,2017-11-24,35.51,35.56,35.37,35.49,6397307,November,Friday,2017,PFE,0.0016934801016088702
4502,2017-11-22,35.45,35.5,35.32,35.43,10298174,November,Wednesday,2017,PFE,-0.003095104108047255
4501,2017-11-21,35.4,35.73,35.38,35.54,12084293,November,Tuesday,2017,PFE,0.00537482319660531
4500,2017-11-20,35.38,35.45,35.27,35.35,11809132,November,Monday,2017,PFE,-0.000565450947130224
4499,2017-11-17,35.37,35.49,35.17,35.37,14817055,November,Friday,2017,PFE,-0.005343082114735794
4498,2017-11-16,35.34,35.58,35.25,35.56,12661564,November,Thursday,2017,PFE,0.0056561085972851475
4497,2017-11-15,35.28,35.5,35.23,35.36,12153318,November,Wednesday,2017,PFE,-0.0005652911249294267
