level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
3903,2017-12-29,43.23,43.24,42.99,43.0,541521,December,Friday,2017,SNY,-0.0013934045517882553
3902,2017-12-28,43.19,43.25,42.96,43.06,629151,December,Thursday,2017,SNY,-0.001159823706796501
3901,2017-12-27,43.03,43.24,42.95,43.11,748579,December,Wednesday,2017,SNY,0.005832944470368642
3900,2017-12-26,42.89,43.155,42.83,42.86,708966,December,Tuesday,2017,SNY,-0.0020954598370198697
3899,2017-12-22,42.96,43.04,42.8,42.95,792849,December,Friday,2017,SNY,0.0
3898,2017-12-21,43.05,43.3,42.94,42.95,1037581,December,Thursday,2017,SNY,-0.0018591680223099766
3897,2017-12-20,43.42,43.52,43.03,43.03,1174220,December,Wednesday,2017,SNY,-0.003473830477072686
3896,2017-12-19,43.36,43.5201,43.13,43.18,1664214,December,Tuesday,2017,SNY,-0.00712807541963675
3895,2017-12-18,43.975,44.045,43.45,43.49,1587418,December,Monday,2017,SNY,0.0074125550150567565
3894,2017-12-15,43.15,43.4,43.035,43.17,1748901,December,Friday,2017,SNY,0.001856579252726811
3893,2017-12-14,43.91,43.98,43.01,43.09,2169232,December,Thursday,2017,SNY,-0.018897996357012708
3892,2017-12-13,44.07,44.0726,43.57,43.92,1108638,December,Wednesday,2017,SNY,-0.0009099181073703172
3891,2017-12-12,43.85,44.05,43.82,43.96,835238,December,Tuesday,2017,SNY,0.005949656750572036
3890,2017-12-11,43.36,43.79,43.3,43.7,1483914,December,Monday,2017,SNY,0.010638297872340444
3889,2017-12-08,42.91,43.28,42.86,43.24,923216,December,Friday,2017,SNY,-0.0011550011550010893
3888,2017-12-07,42.97,43.42,42.93,43.29,1178210,December,Thursday,2017,SNY,0.002779708130646223
3887,2017-12-06,43.22,43.41,43.0999,43.17,1495094,December,Wednesday,2017,SNY,-0.007814295564238022
3886,2017-12-05,43.62,43.8072,43.43,43.51,1150193,December,Tuesday,2017,SNY,-0.014719202898550691
3885,2017-12-04,44.35,44.52,44.15,44.16,1538472,December,Monday,2017,SNY,-0.010309278350515485
3884,2017-12-01,44.71,44.9,44.49,44.62,1767991,December,Friday,2017,SNY,-0.022348816827344502
3883,2017-11-30,45.73,45.8,45.4793,45.64,835016,November,Thursday,2017,SNY,-0.0013129102844639446
3882,2017-11-29,45.84,45.995,45.53,45.7,930161,November,Wednesday,2017,SNY,-0.003054101221640501
3881,2017-11-28,46.0,46.07,45.8,45.84,2235516,November,Tuesday,2017,SNY,0.005042753782065424
3880,2017-11-27,46.11,46.19,45.58,45.61,1209735,November,Monday,2017,SNY,-0.01062906724511935
3879,2017-11-24,45.98,46.25,45.82,46.1,523759,November,Friday,2017,SNY,0.016089927264712454
3878,2017-11-22,45.45,45.63,45.12,45.37,968722,November,Wednesday,2017,SNY,0.012949319044429522
3877,2017-11-21,44.44,45.0,44.44,44.79,858544,November,Tuesday,2017,SNY,0.010604693140794198
3876,2017-11-20,44.62,44.66,44.32,44.32,613754,November,Monday,2017,SNY,-0.00493938033228556
